Type,Id,ExecTime,l2Miss,tlbMiss
SC,1,7486,84,1
SC,1,2244,16,0
SC,1,3756,38,0
SC,1,1865,14,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1865,14,0
SC,1,2297,17,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,2216,16,0
SC,1,1919,14,0
SC,1,1892,14,0
SC,1,2217,16,0
SC,1,3595,39,0
SC,1,1865,14,0
SC,1,2405,16,0
SC,1,1865,14,0
SC,1,1865,15,0
SC,1,2243,16,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1864,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1919,14,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,3567,39,0
SC,1,1919,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1864,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1864,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,15,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,3568,39,0
SC,1,1891,14,0
SC,1,1892,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1837,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1811,14,0
SC,1,1865,15,0
SC,1,1865,14,0
SC,1,1864,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,4027,40,0
SC,1,1892,12,0
SC,1,1892,12,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1865,14,0
SC,1,1892,14,0
SC,1,1864,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1837,14,0
SC,1,1865,15,0
SC,1,1892,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,3459,38,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1919,14,0
SC,1,1892,14,0
SC,1,1891,14,0
