Type,Id,ExecTime,l2Miss,tlbMiss
PART,1,4049459,1599,16
PART,2,3839459,3064,19
PART,3,3670270,299,4
PART,4,6532486,1953,29
PART,5,4662540,2368,19
PART,6,3990216,1298,8
PART,7,4928487,269,5
PART,8,4329919,9955,31
PART,9,6509622,7058,11
PART,0,4063459,1209,9
PART,1,4039270,1424,16
PART,2,3780000,1794,19
PART,3,3671811,287,4
PART,4,6510027,1636,29
PART,5,4655325,2301,19
PART,6,3941324,5086,8
PART,7,4928297,267,5
PART,8,4328190,9936,31
PART,9,6507433,6701,11
PART,0,4061676,1165,9
PART,1,4041513,1420,16
PART,2,3778784,1778,19
PART,3,3669892,287,4
PART,4,6507865,1621,29
PART,5,4655432,2297,19
PART,6,3941783,5090,8
PART,7,4928784,268,5
PART,8,4327811,9937,31
PART,9,6509378,6702,11
PART,0,4061243,1164,9
PART,1,4045568,1440,16
PART,2,3863594,1776,19
PART,3,3669703,286,4
PART,4,6508324,1624,29
PART,5,4654513,2292,19
PART,6,3941162,5089,8
PART,7,4928595,267,5
PART,8,4328432,9936,31
PART,9,6507297,6681,11
PART,0,4060514,1167,9
PART,1,4040189,1426,16
PART,2,3862784,1773,19
PART,3,3665405,289,4
PART,4,6507973,1615,29
PART,5,4652216,2286,19
PART,6,3942027,5086,8
PART,7,4928541,268,5
PART,8,4328351,9936,31
PART,9,6506270,6702,11
PART,0,4059946,1171,9
PART,1,4042784,1388,16
PART,2,3863135,1782,19
PART,3,3665730,289,4
PART,4,6508270,1617,29
PART,5,4657703,2291,19
PART,6,3941946,5093,8
PART,7,4928730,268,5
PART,8,4327811,9939,31
PART,9,6506378,6700,11
PART,0,4061675,1167,9
PART,1,4042837,1425,16
PART,2,3777838,1770,19
PART,3,3669459,292,4
PART,4,6509054,1619,29
PART,5,4657054,2296,19
PART,6,3941027,5083,8
PART,7,4929108,270,5
PART,8,4328136,9939,31
PART,9,6508000,6701,11
PART,0,4060270,1167,9
PART,1,4040054,1420,16
PART,2,3778649,1776,19
PART,3,3665730,289,4
PART,4,6507703,1620,29
PART,5,4654513,2290,19
PART,6,3942054,5084,8
PART,7,4928973,268,5
PART,8,4328162,9939,31
PART,9,6506109,6701,11
PART,0,4060351,1168,9
PART,1,4045244,1424,16
PART,2,3781919,1768,19
PART,3,3671784,288,4
PART,4,6508378,1616,29
PART,5,4659135,2291,19
PART,6,3941594,5094,8
PART,7,4928865,274,5
PART,8,4327784,9939,31
PART,9,6515135,6702,11
PART,0,4063594,1167,9
PART,1,4049351,1431,16
PART,2,3779730,1773,19
PART,3,3669459,285,4
PART,4,6508675,1620,29
PART,5,4659486,2287,19
PART,6,3941297,5094,8
PART,7,4928703,269,5
PART,8,4327757,9940,31
PART,9,6511460,6701,11
PART,0,4060352,1169,9
PART,1,4048324,1426,16
PART,2,3781676,1779,19
PART,3,3669757,286,4
PART,4,6508892,1616,29
PART,5,4659676,2294,19
PART,6,3941243,5085,8
PART,7,4928811,269,5
PART,8,4328000,9937,31
PART,9,6508054,6703,11
PART,0,4060676,1166,9
PART,1,4053649,1433,16
PART,2,3780702,1779,19
PART,3,3669892,290,4
PART,4,6508244,1621,29
PART,5,4658892,2285,19
PART,6,3941703,5104,8
PART,7,4928648,269,5
PART,8,4328351,9938,31
PART,9,6512973,6702,11
PART,0,4065027,1169,9
PART,1,4050676,1424,16
PART,2,3782946,1779,19
PART,3,3669946,287,4
PART,4,6507541,1613,29
PART,5,4658919,2289,19
PART,6,3943244,5093,8
PART,7,4928784,266,5
PART,8,4328027,9938,31
PART,9,6506865,6701,11
PART,0,4061541,1166,9
PART,1,4046000,1424,16
PART,2,3781460,1777,19
PART,3,3669838,282,4
PART,4,6508270,1618,29
PART,5,4660486,2289,19
PART,6,3947162,5091,8
PART,7,4928594,268,5
PART,8,4328108,9939,31
PART,9,6511460,6700,11
PART,0,4105054,1166,9
PART,1,4050540,1422,16
PART,2,3781297,1779,19
PART,3,3669622,285,4
PART,4,6508081,1618,29
PART,5,4659405,2285,19
PART,6,3951405,5094,8
PART,7,4928756,269,5
PART,8,4327919,9939,31
PART,9,6513595,6698,11
PART,0,4063892,1168,9
PART,1,4050000,1391,16
PART,2,3779811,1770,19
PART,3,3669676,290,4
PART,4,6511622,1622,29
PART,5,4658757,2287,19
PART,6,3954352,5093,8
PART,7,4928918,269,5
PART,8,4327892,9939,31
PART,9,6508297,6700,11
PART,0,4061162,1170,9
PART,1,4047757,1424,16
PART,2,3867055,1774,19
PART,3,3669703,286,4
PART,4,6508891,1618,29
PART,5,4658460,2286,19
PART,6,3954703,5090,8
PART,7,4928433,266,5
PART,8,4328243,9940,31
PART,9,6512513,6681,11
PART,0,4064513,1167,9
PART,1,4046405,1434,16
PART,2,3780406,1764,19
PART,3,3671730,288,4
PART,4,6509729,1617,29
PART,5,4659919,2290,19
PART,6,3954892,5090,8
PART,7,4929082,269,5
PART,8,4328352,9939,31
PART,9,6512405,6684,11
PART,0,4061567,1168,9
PART,1,4049783,1434,16
PART,2,3783135,1770,19
PART,3,3669351,288,4
PART,4,6508460,1619,29
PART,5,4660271,2287,19
PART,6,3954379,5084,8
PART,7,4928730,269,5
PART,8,4328081,9939,31
PART,9,6509757,6701,11
PART,0,4062135,1167,9
PART,1,4044540,1431,16
PART,2,3781514,1770,19
PART,3,3665622,286,4
PART,4,6509298,1619,29
PART,5,4659865,2282,19
PART,6,3954513,5084,8
PART,7,4928892,269,5
PART,8,4328054,9938,31
PART,9,6515081,6686,11
PART,0,4063865,1168,9
PART,1,4046649,1427,16
PART,2,3866271,1768,19
PART,3,3670135,289,4
PART,4,6508730,1620,29
PART,5,4656379,2289,19
PART,6,3954000,5091,8
PART,7,4928703,269,5
PART,8,4328271,9939,31
PART,9,6508108,6680,11
PART,0,4062973,1170,9
PART,1,4050595,1428,16
PART,2,3779865,1771,19
PART,3,3669703,287,4
PART,4,6510487,1622,29
PART,5,4659108,2289,19
PART,6,3955622,5094,8
PART,7,4929297,274,5
PART,8,4327865,9939,31
PART,9,6509865,6699,11
PART,0,4062136,1166,9
PART,1,4046973,1429,16
PART,2,3781108,1770,19
PART,3,3669460,288,4
PART,4,6508811,1618,29
PART,5,4658243,2287,19
PART,6,3955054,5083,8
PART,7,4928649,268,5
PART,8,4327892,9939,31
PART,9,6508081,6700,11
PART,0,4066216,1167,9
PART,1,4049000,1423,16
PART,2,3780973,1767,19
PART,3,3673270,284,4
PART,4,6508702,1619,29
PART,5,4657135,2291,19
PART,6,3954892,5085,8
PART,7,4928432,266,5
PART,8,4327784,9938,31
PART,9,6507675,6702,11
PART,0,4062325,1168,9
PART,1,4048568,1430,16
PART,2,3780784,1770,19
PART,3,3667135,288,4
PART,4,6509190,1620,29
PART,5,4657082,2294,19
PART,6,3956567,5095,8
PART,7,4928622,268,5
PART,8,4327946,9939,31
PART,9,6510730,6703,11
PART,0,4062919,1167,9
PART,1,4053054,1430,16
PART,2,3780487,1763,19
PART,3,3669568,288,4
PART,4,6508919,1622,29
PART,5,4656676,2289,19
PART,6,3955946,5084,8
PART,7,4928459,268,5
PART,8,4328406,9937,31
PART,9,6510162,6701,11
PART,0,4061162,1168,9
PART,1,4052243,1429,16
PART,2,3780676,1766,19
PART,3,3669594,289,4
PART,4,6512270,1623,29
PART,5,4658892,2293,19
PART,6,3955162,5083,8
PART,7,4928865,269,5
PART,8,4328622,9935,31
PART,9,6513270,6704,11
PART,0,4063324,1166,9
PART,1,4049703,1394,16
PART,2,3866000,1766,19
PART,3,3665648,284,4
PART,4,6508243,1617,29
PART,5,4659271,2293,19
PART,6,3955459,5082,8
PART,7,4928270,270,5
PART,8,4328244,9936,31
PART,9,6515676,6701,11
PART,0,4063433,1164,9
PART,1,4049514,1419,16
PART,2,3782297,1776,19
PART,3,3669703,290,4
PART,4,6508487,1615,29
PART,5,4657703,2287,19
PART,6,3954703,5094,8
PART,7,4929135,270,5
PART,8,4327973,9935,31
PART,9,6509270,6702,11
PART,0,4063811,1164,9
PART,1,4046757,1427,16
PART,2,3867108,1775,19
PART,3,3671513,287,4
PART,4,6507405,1619,29
PART,5,4659027,2291,19
PART,6,3955892,5087,8
PART,7,4928487,268,5
PART,8,4328135,9936,31
PART,9,6513190,6684,11
PART,0,4061081,1164,9
PART,1,4048270,1421,16
PART,2,3780784,1772,19
PART,3,3670594,289,4
PART,4,6508216,1624,29
PART,5,4659892,2297,19
PART,6,3954622,5097,8
PART,7,4928811,269,5
PART,8,4328136,9936,31
PART,9,6514810,6683,11
PART,0,4062189,1168,9
PART,1,4047162,1425,16
PART,2,3780703,1765,19
PART,3,3670892,289,4
PART,4,6508513,1619,29
PART,5,4659270,2295,19
PART,6,3956865,5101,8
PART,7,4928838,275,5
PART,8,4328054,9936,31
PART,9,6509135,6701,11
PART,0,4063892,1166,9
PART,1,4040730,1420,16
PART,2,3782054,1775,19
PART,3,3669702,290,4
PART,4,6508162,1618,29
PART,5,4659136,2290,19
PART,6,3954243,5091,8
PART,7,4928811,269,5
PART,8,4328000,9939,31
PART,9,6513784,6698,11
PART,0,4062865,1164,9
PART,1,4053108,1421,16
PART,2,3865108,1771,19
PART,3,3669648,290,4
PART,4,6509540,1618,29
PART,5,4658973,2286,19
PART,6,3954270,5094,8
