Type,Id,ExecTime,l2Miss,tlbMiss
ExtINT,1,9216,81,2
ExtINT,1,4648,40,0
ExtINT,1,4405,39,0
ExtINT,1,4513,40,0
ExtINT,1,4351,38,0
ExtINT,1,4351,38,0
ExtINT,1,4378,38,0
ExtINT,1,4568,41,0
ExtINT,1,4487,40,0
ExtINT,1,4352,38,0
ExtINT,1,4595,40,0
ExtINT,1,4379,38,0
ExtINT,1,4352,38,0
ExtINT,1,4865,41,0
ExtINT,1,4351,38,0
ExtINT,1,4378,38,0
ExtINT,1,4729,42,0
ExtINT,1,4378,38,0
ExtINT,1,4351,39,0
ExtINT,1,4568,40,0
ExtINT,1,4351,38,0
ExtINT,1,4378,38,0
ExtINT,1,4351,38,0
ExtINT,1,4378,38,0
ExtINT,1,4486,40,0
ExtINT,1,4351,38,0
ExtINT,1,4324,38,0
ExtINT,1,4351,38,0
ExtINT,1,4351,38,0
ExtINT,1,4378,39,0
ExtINT,1,4378,38,0
ExtINT,1,4378,38,0
ExtINT,1,4513,40,0
ExtINT,1,4378,38,0
ExtINT,1,4378,39,0
ExtINT,1,4351,38,0
ExtINT,1,4351,38,0
ExtINT,1,4351,38,0
ExtINT,1,4351,38,0
ExtINT,1,4378,38,0
ExtINT,1,4486,40,0
ExtINT,1,4351,38,0
ExtINT,1,4324,38,0
ExtINT,1,4325,38,0
ExtINT,1,4325,38,0
ExtINT,1,4325,39,0
ExtINT,1,4325,38,0
ExtINT,1,4352,38,0
ExtINT,1,4730,40,0
ExtINT,1,4351,38,0
ExtINT,1,4352,39,0
ExtINT,1,4352,38,0
ExtINT,1,4352,38,0
ExtINT,1,4325,38,0
ExtINT,1,4352,38,0
ExtINT,1,4352,38,0
ExtINT,1,4487,40,0
ExtINT,1,12703,138,0
ExtINT,1,13567,82,0
ExtINT,1,13270,81,0
ExtINT,1,13622,82,0
ExtINT,1,13298,79,0
ExtINT,1,13162,79,0
ExtINT,1,13054,77,0
ExtINT,1,13108,80,0
ExtINT,1,13027,79,0
ExtINT,1,13027,78,0
ExtINT,1,13027,79,0
ExtINT,1,13027,79,0
ExtINT,1,13027,76,0
ExtINT,1,13054,80,0
ExtINT,1,13000,79,0
ExtINT,1,13189,81,0
ExtINT,1,13000,78,0
ExtINT,1,13027,78,0
ExtINT,1,13081,76,0
ExtINT,1,12919,79,0
ExtINT,1,13027,79,0
ExtINT,1,13027,79,0
ExtINT,1,13325,78,0
ExtINT,1,13325,79,0
ExtINT,1,13135,77,0
ExtINT,1,13082,79,0
ExtINT,1,13162,78,0
ExtINT,1,13135,79,0
ExtINT,1,13081,78,0
ExtINT,1,13081,79,0
ExtINT,1,13162,77,0
ExtINT,1,13297,80,0
ExtINT,1,13162,79,0
ExtINT,1,13108,79,0
ExtINT,1,13108,79,0
ExtINT,1,13135,78,0
ExtINT,1,13136,76,0
ExtINT,1,13108,78,0
ExtINT,1,13081,79,0
ExtINT,1,13270,81,0
ExtINT,1,13216,79,0
ExtINT,1,13351,78,0
ExtINT,1,13189,75,0
ExtINT,1,12946,79,0
ExtINT,1,12973,79,0
ExtINT,1,13054,78,0
ExtINT,1,13054,79,0
ExtINT,1,13189,80,0
ExtINT,1,13108,77,0
ExtINT,1,13000,79,0
ExtINT,1,13054,78,0
ExtINT,1,13054,79,0
ExtINT,1,13000,79,0
ExtINT,1,13000,79,0
ExtINT,1,13108,76,0
ExtINT,1,13135,80,0
ExtINT,1,13027,78,0
ExtINT,1,13027,79,0
ExtINT,1,12973,79,0
ExtINT,1,12919,79,0
ExtINT,1,13297,76,0
ExtINT,1,13081,77,0
ExtINT,1,13000,79,0
ExtINT,1,13163,81,0
ExtINT,1,13027,78,0
ExtINT,1,13081,79,0
ExtINT,1,13054,76,0
ExtINT,1,12973,79,0
ExtINT,1,13027,79,0
ExtINT,1,13027,78,0
ExtINT,1,13027,79,0
ExtINT,1,13027,79,0
