Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4062324,1202,9
PART,1,4067027,1633,16
PART,2,3837810,3073,19
PART,3,3670108,302,4
PART,4,6534838,1939,29
PART,5,4664703,2368,19
PART,6,3990567,1309,8
PART,7,4928405,269,5
PART,8,4329757,9957,31
PART,9,6510433,7057,11
PART,0,4060297,1190,9
PART,1,4046811,1476,16
PART,2,3778784,1779,19
PART,3,3669703,286,5
PART,4,6509784,1631,29
PART,5,4655243,2290,19
PART,6,3941514,5097,8
PART,7,4928919,270,5
PART,8,4327865,9939,31
PART,9,6508190,6807,11
PART,0,4058784,1135,9
PART,1,4058216,1417,16
PART,2,3863865,1781,19
PART,3,3672162,287,4
PART,4,6508703,1608,29
PART,5,4654703,2295,19
PART,6,3941892,5089,8
PART,7,4928541,268,5
PART,8,4327702,9939,31
PART,9,6507703,6798,11
PART,0,4058595,1135,9
PART,1,4040676,1436,16
PART,2,3778865,1781,19
PART,3,3665973,285,4
PART,4,6507595,1602,29
PART,5,4655595,2299,19
PART,6,3941568,5087,8
PART,7,4928622,271,5
PART,8,4327838,9938,31
PART,9,6506919,6798,11
PART,0,4057784,1135,9
PART,1,4047675,1409,16
PART,2,3779271,1773,19
PART,3,3669973,285,4
PART,4,6505081,1603,29
PART,5,4655595,2290,19
PART,6,3941810,5090,8
PART,7,4928351,269,5
PART,8,4328054,9935,31
PART,9,6508649,6781,11
PART,0,4058325,1135,9
PART,1,4037946,1438,16
PART,2,3778432,1766,19
PART,3,3669946,288,4
PART,4,6504541,1605,29
PART,5,4655432,2297,19
PART,6,3941784,5085,8
PART,7,4928865,269,5
PART,8,4328054,9935,31
PART,9,6508757,6798,11
PART,0,4059243,1138,9
PART,1,4062513,1439,16
PART,2,3780054,1783,19
PART,3,3669973,287,4
PART,4,6507432,1603,29
PART,5,4656433,2289,19
PART,6,3942054,5093,8
PART,7,4928513,268,5
PART,8,4328135,9936,31
PART,9,6508946,6781,11
PART,0,4058568,1132,9
PART,1,4057270,1403,16
PART,2,3778729,1774,19
PART,3,3669730,288,4
PART,4,6503865,1598,29
PART,5,4655865,2295,19
PART,6,3941324,5091,8
PART,7,4928838,268,5
PART,8,4328135,9936,31
PART,9,6507946,6798,11
PART,0,4058973,1138,9
PART,1,4042486,1436,16
PART,2,3863702,1781,19
PART,3,3669595,289,4
PART,4,6508595,1604,29
PART,5,4655459,2285,19
PART,6,3941297,5095,8
PART,7,4928271,268,5
PART,8,4328189,9935,31
PART,9,6508432,6780,11
PART,0,4059973,1138,9
PART,1,4056297,1444,16
PART,2,3779271,1767,19
PART,3,3669865,287,4
PART,4,6507081,1603,29
PART,5,4657621,2293,19
PART,6,3941648,5093,8
PART,7,4928594,266,5
PART,8,4328135,9936,31
PART,9,6509108,6799,11
PART,0,4059487,1132,9
PART,1,4061811,1436,16
PART,2,3779216,1774,19
PART,3,3670352,285,4
PART,4,6504676,1603,29
PART,5,4656594,2295,19
PART,6,3941865,5096,8
PART,7,4928892,270,5
PART,8,4328027,9936,31
PART,9,6509486,6798,11
PART,0,4060784,1136,9
PART,1,4066675,1440,16
PART,2,3779405,1773,19
PART,3,3669514,282,4
PART,4,6506730,1605,29
PART,5,4656136,2285,19
PART,6,3942622,5083,8
PART,7,4928487,269,5
PART,8,4328081,9935,31
PART,9,6508540,6797,11
PART,0,4059135,1135,9
PART,1,4063594,1433,16
PART,2,3779271,1767,19
PART,3,3669973,286,4
PART,4,6506675,1603,29
PART,5,4653649,2293,19
PART,6,3943487,5093,8
PART,7,4928379,268,5
PART,8,4328162,9936,31
PART,9,6507568,6798,11
PART,0,4060081,1136,9
PART,1,4043622,1435,16
PART,2,3778919,1775,19
PART,3,3666244,286,4
PART,4,6506567,1603,29
PART,5,4656702,2293,19
PART,6,3946757,5086,8
PART,7,4929000,269,5
PART,8,4327838,9939,31
PART,9,6509270,6799,11
PART,0,4058919,1134,9
PART,1,4041351,1414,16
PART,2,3862486,1772,19
PART,3,3669541,287,4
PART,4,6507487,1614,29
PART,5,4655838,2287,19
PART,6,3951379,5096,8
PART,7,4928757,269,5
PART,8,4328027,9939,31
PART,9,6509108,6797,11
PART,0,4057810,1135,9
PART,1,4045946,1431,16
PART,2,3863540,1769,19
PART,3,3671730,287,4
PART,4,6509189,1611,29
PART,5,4658865,2292,19
PART,6,3954081,5091,8
PART,7,4928649,269,5
PART,8,4328325,9938,31
PART,9,6508648,6797,11
PART,0,4060568,1135,9
PART,1,4043567,1414,16
PART,2,3780648,1753,19
PART,3,3669730,288,4
PART,4,6508189,1608,29
PART,5,4657433,2297,19
PART,6,3955108,5093,8
PART,7,4928811,269,5
PART,8,4328081,9939,31
PART,9,6508162,6798,11
PART,0,4058541,1137,9
PART,1,4064243,1432,16
PART,2,3863243,1771,19
PART,3,3669973,287,4
PART,4,6507595,1601,29
PART,5,4657298,2298,19
PART,6,3954486,5095,8
PART,7,4928784,269,5
PART,8,4327838,9939,31
PART,9,6509622,6794,11
PART,0,4058892,1135,9
PART,1,4061324,1430,16
PART,2,3863460,1765,19
PART,3,3672027,284,4
PART,4,6507298,1605,29
PART,5,4658054,2297,19
PART,6,3955135,5083,8
PART,7,4928730,270,5
PART,8,4328054,9935,31
PART,9,6509135,6782,11
PART,0,4061027,1134,9
PART,1,4043865,1425,16
PART,2,3779162,1764,19
PART,3,3665838,286,4
PART,4,6506567,1606,29
PART,5,4657595,2291,19
PART,6,3955163,5093,8
PART,7,4928729,270,5
PART,8,4327919,9939,31
PART,9,6509297,6797,11
PART,0,4058487,1138,9
PART,1,4041703,1432,16
PART,2,3779243,1778,19
PART,3,3669973,287,4
PART,4,6506865,1607,29
PART,5,4656486,2294,19
PART,6,3954486,5091,8
PART,7,4929135,269,5
PART,8,4327838,9939,31
PART,9,6508649,6798,11
PART,0,4057730,1135,9
PART,1,4043216,1431,16
PART,2,3862540,1774,19
PART,3,3665325,285,4
PART,4,6507216,1610,29
PART,5,4655784,2296,19
PART,6,3954378,5091,8
PART,7,4928919,269,5
PART,8,4327649,9938,31
PART,9,6509270,6797,11
PART,0,4058567,1131,9
PART,1,4057459,1425,16
PART,2,3781000,1774,19
PART,3,3669784,287,4
PART,4,6506946,1606,29
PART,5,4656352,2290,19
PART,6,3954864,5082,8
PART,7,4928865,268,5
PART,8,4327973,9938,31
PART,9,6508486,6799,11
PART,0,4060000,1136,9
PART,1,4044217,1439,16
PART,2,3862567,1762,19
PART,3,3670162,285,4
PART,4,6507000,1603,29
PART,5,4656865,2291,19
PART,6,3954622,5097,8
PART,7,4928784,270,5
PART,8,4328297,9936,31
PART,9,6508865,6797,11
PART,0,4060108,1135,9
PART,1,4063487,1434,16
PART,2,3862622,1751,19
PART,3,3669595,287,4
