Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4104405,9595,9
PART,1,4683378,54417,16
PART,2,5300189,22222,19
PART,3,3671190,14204,4
PART,4,6610946,7247,29
PART,5,4763189,34156,19
PART,6,3996406,43000,8
PART,7,4930055,635,5
PART,8,4334675,16497,31
PART,9,6520486,43387,11
PART,0,4105891,9609,9
PART,1,4678432,54451,16
PART,2,5407432,22365,19
PART,3,3671324,14181,4
PART,4,6613000,7249,29
PART,5,4762432,34161,19
PART,6,3945189,42658,8
PART,7,4930405,633,5
PART,8,4334892,16491,31
PART,9,6520892,43464,11
PART,0,4110486,9644,9
PART,1,4671730,54281,16
PART,2,5301135,22213,19
PART,3,3671379,14168,4
PART,4,6610162,7268,29
PART,5,4762730,34242,19
PART,6,3945594,42668,8
PART,7,4930108,643,5
PART,8,4335865,16519,31
PART,9,6520243,43456,11
PART,0,4104541,9543,9
PART,1,4671270,54259,16
PART,2,5307513,22252,19
PART,3,3670757,14178,4
PART,4,6610270,7252,29
PART,5,4765162,34151,19
PART,6,3945703,42667,8
PART,7,4929838,635,5
PART,8,4335621,16500,31
PART,9,6519973,43466,11
PART,0,4104729,9589,9
PART,1,4668378,54108,16
PART,2,5302594,22271,19
PART,3,3671811,14173,4
PART,4,6612487,7276,29
PART,5,4759622,34113,19
PART,6,3945271,42670,8
PART,7,4930298,636,5
PART,8,4336027,16523,31
PART,9,6519189,43415,11
PART,0,4108811,9615,9
PART,1,4672973,54259,16
PART,2,5410892,22386,19
PART,3,3671405,14183,4
PART,4,6612729,7254,29
PART,5,4759189,34184,19
PART,6,3945459,42661,8
PART,7,4929729,633,5
PART,8,4336433,16525,31
PART,9,6522405,43433,11
PART,0,4105136,9611,9
PART,1,4671271,54350,16
PART,2,5303405,22243,19
PART,3,3671405,14179,4
PART,4,6613919,7300,29
PART,5,4759919,34070,19
PART,6,3946136,42689,8
PART,7,4930027,630,5
PART,8,4335378,16558,31
PART,9,6518541,43456,11
PART,0,4104136,9566,9
PART,1,4669216,54405,16
PART,2,5305973,22275,19
PART,3,3671784,14187,4
PART,4,6612784,7288,29
PART,5,4758351,34065,19
PART,6,3945433,42672,8
PART,7,4929622,633,5
PART,8,4335595,16507,31
PART,9,6518216,43454,11
PART,0,4106189,9607,9
PART,1,4665783,54156,16
PART,2,5407892,22363,19
PART,3,3671784,14196,4
PART,4,6613459,7258,29
PART,5,4760568,34168,19
PART,6,3945676,42697,8
PART,7,4930108,641,5
PART,8,4335946,16532,31
PART,9,6520865,43419,11
PART,0,4105676,9565,9
PART,1,4670622,54173,16
PART,2,5304783,22257,19
PART,3,3671406,14185,4
PART,4,6609000,7248,29
PART,5,4761837,34105,19
PART,6,3946270,42666,8
PART,7,4929865,640,5
PART,8,4335433,16523,31
PART,9,6520243,43435,11
PART,0,4104352,9606,9
PART,1,4673244,54366,16
PART,2,5301892,22220,19
PART,3,3671108,14193,4
PART,4,6613540,7243,29
PART,5,4761892,34144,19
PART,6,3944918,42656,8
PART,7,4930135,634,5
PART,8,4334811,16507,31
PART,9,6520243,43468,11
PART,0,4105811,9582,9
PART,1,4664298,54082,16
PART,2,5303027,22223,19
PART,3,3670487,14172,4
PART,4,6610432,7232,29
PART,5,4760730,34103,19
PART,6,3946406,42693,8
PART,7,4930054,630,5
PART,8,4334649,16502,31
PART,9,6519324,43461,11
PART,0,4104270,9545,9
PART,1,4674459,54387,16
PART,2,5305729,22233,19
PART,3,3671676,14171,4
PART,4,6610217,7230,29
PART,5,4758595,34112,19
PART,6,3948054,42677,8
PART,7,4929703,634,5
PART,8,4335163,16532,31
PART,9,6520027,43435,11
PART,0,4105648,9613,9
PART,1,4663648,54270,16
PART,2,5302918,22239,19
PART,3,3671973,14200,4
PART,4,6611730,7245,29
PART,5,4762514,34119,19
PART,6,3950486,42670,8
PART,7,4929811,619,5
PART,8,4335000,16543,31
PART,9,6522054,43416,11
PART,0,4105702,9580,9
PART,1,4665702,54209,16
PART,2,5301946,22233,19
PART,3,3671594,14190,4
PART,4,6609892,7209,29
PART,5,4762594,34201,19
PART,6,3954594,42691,8
PART,7,4930298,639,5
PART,8,4334513,16508,31
PART,9,6521541,43390,11
PART,0,4105378,9603,9
PART,1,4671000,54173,16
PART,2,5304811,22242,19
PART,3,3672459,14186,4
PART,4,6610162,7243,29
PART,5,4760811,34072,19
PART,6,3957405,42650,8
PART,7,4929757,644,5
PART,8,4334487,16548,31
PART,9,6522000,43475,11
PART,0,4107270,9642,9
PART,1,4680514,54287,16
