Type,Id,ExecTime,l2Miss,tlbMiss
ExtINT,1,13189,329,2
ExtINT,1,5351,144,0
ExtINT,1,4919,136,0
ExtINT,1,5027,130,0
ExtINT,1,4730,135,0
ExtINT,1,5135,136,0
ExtINT,1,4919,131,0
ExtINT,1,4837,135,0
ExtINT,1,5216,136,0
ExtINT,1,4892,129,0
ExtINT,1,4675,135,0
ExtINT,1,4865,136,0
ExtINT,1,4811,131,0
ExtINT,1,5081,136,0
ExtINT,1,4811,134,0
ExtINT,1,4784,129,0
ExtINT,1,4946,138,0
ExtINT,1,4973,134,0
ExtINT,1,4892,132,0
ExtINT,1,4730,135,0
ExtINT,1,4784,134,0
ExtINT,1,5000,129,0
ExtINT,1,4649,135,0
ExtINT,1,4811,136,0
ExtINT,1,5433,133,0
ExtINT,1,5811,135,0
ExtINT,1,5189,135,0
ExtINT,1,4865,130,0
ExtINT,1,4892,135,0
ExtINT,1,4865,135,0
ExtINT,1,4865,130,0
ExtINT,1,4783,135,0
ExtINT,1,5460,139,0
ExtINT,1,4811,131,0
ExtINT,1,4703,136,0
ExtINT,1,4892,135,0
ExtINT,1,4973,130,0
ExtINT,1,5000,135,0
ExtINT,1,4784,136,0
ExtINT,1,4946,130,0
ExtINT,1,4891,137,0
ExtINT,1,5055,134,0
ExtINT,1,4784,129,0
ExtINT,1,4675,135,0
ExtINT,1,4784,136,0
ExtINT,1,5108,130,0
ExtINT,1,4675,135,0
ExtINT,1,4784,136,0
ExtINT,1,5027,132,0
ExtINT,1,4676,135,0
ExtINT,1,4865,135,0
ExtINT,1,4864,129,0
ExtINT,1,4676,135,0
ExtINT,1,4811,134,0
ExtINT,1,4973,130,0
ExtINT,1,19729,456,0
ExtINT,1,22513,529,0
ExtINT,1,21514,514,0
ExtINT,1,21864,523,0
ExtINT,1,22756,543,0
ExtINT,1,21541,518,0
ExtINT,1,20541,502,0
ExtINT,1,21216,511,0
ExtINT,1,21324,520,0
ExtINT,1,21702,515,0
ExtINT,1,21703,519,0
ExtINT,1,21325,511,0
ExtINT,1,21513,511,0
ExtINT,1,21514,508,0
ExtINT,1,20595,512,0
ExtINT,1,21837,509,0
ExtINT,1,21297,515,0
ExtINT,1,21757,519,0
ExtINT,1,21108,520,0
ExtINT,1,21244,513,0
ExtINT,1,21703,518,0
ExtINT,1,22108,518,0
ExtINT,1,21352,504,0
ExtINT,1,23567,559,0
ExtINT,1,22459,523,0
ExtINT,1,24027,525,0
ExtINT,1,21973,520,0
ExtINT,1,22649,525,0
ExtINT,1,21838,512,0
ExtINT,1,21379,514,0
ExtINT,1,22135,526,0
