Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4103135,9555,9
PART,1,4681459,54472,16
PART,2,5300946,22222,19
PART,3,3670649,14176,4
PART,4,6611919,7264,29
PART,5,4766648,34124,19
PART,6,3994297,42916,8
PART,7,4930135,634,5
PART,8,4335406,16490,31
PART,9,6521865,43411,11
PART,0,4107405,9604,9
PART,1,4669162,54278,16
PART,2,5305595,22219,19
PART,3,3671568,14203,4
PART,4,6612649,7226,29
PART,5,4762946,34051,19
PART,6,3945460,42631,8
PART,7,4929676,635,5
PART,8,4334946,16490,31
PART,9,6521594,43448,11
PART,0,4105270,9616,9
PART,1,4666622,54196,16
PART,2,5301676,22226,19
PART,3,3671135,14188,4
PART,4,6611243,7221,29
PART,5,4762405,34157,19
PART,6,3945351,42676,8
PART,7,4929838,623,5
PART,8,4336027,16517,31
PART,9,6520703,43467,11
PART,0,4105676,9579,9
PART,1,4665352,54379,16
PART,2,5302405,22236,19
PART,3,3667433,14175,4
PART,4,6612811,7297,29
PART,5,4760730,34175,19
PART,6,3946271,42677,8
PART,7,4930082,636,5
PART,8,4335892,16524,31
PART,9,6524027,43467,11
PART,0,4105432,9593,9
PART,1,4676649,54307,16
PART,2,5304163,22267,19
PART,3,3670865,14183,4
PART,4,6611730,7281,29
PART,5,4760000,34107,19
PART,6,3945567,42663,8
PART,7,4929730,641,5
PART,8,4335919,16561,31
PART,9,6520703,43393,11
PART,0,4105838,9592,9
PART,1,4666730,54237,16
PART,2,5306460,22287,19
PART,3,3671486,14168,4
PART,4,6612108,7222,29
PART,5,4760000,34174,19
PART,6,3945244,42664,8
PART,7,4929973,634,5
PART,8,4335514,16521,31
PART,9,6520298,43394,11
PART,0,4104730,9605,9
PART,1,4662702,54057,16
PART,2,5302676,22252,19
PART,3,3670891,14189,4
PART,4,6613378,7252,29
PART,5,4763189,34156,19
PART,6,3947027,42688,8
PART,7,4930027,646,5
PART,8,4336351,16536,31
PART,9,6522433,43430,11
PART,0,4103837,9571,9
PART,1,4668054,54236,16
PART,2,5305405,22274,19
PART,3,3670270,14168,4
PART,4,6611892,7271,29
PART,5,4759729,34127,19
PART,6,3945540,42651,8
PART,7,4929649,635,5
PART,8,4336135,16519,31
PART,9,6518514,43470,11
PART,0,4107838,9603,9
PART,1,4695891,54229,16
PART,2,5334486,22433,19
PART,3,3672514,14183,4
PART,4,6617459,7276,29
PART,5,4774027,34241,19
PART,6,3945594,42658,8
PART,7,4930406,643,5
PART,8,4336108,14298,31
PART,9,6532649,43415,11
PART,0,4114676,9618,9
PART,1,4698135,54506,16
PART,2,5345163,22517,19
PART,3,3673757,14193,4
PART,4,6615594,7278,29
PART,5,4763027,34112,19
PART,6,3947162,42706,8
PART,7,4930270,630,5
PART,8,4337108,14089,31
PART,9,6529406,43463,11
PART,0,4107000,9602,9
PART,1,4692864,54326,16
PART,2,5342405,22426,19
PART,3,3671919,14180,4
PART,4,6615108,7337,29
PART,5,4767406,34101,19
PART,6,3944973,42672,8
PART,7,4931649,641,5
PART,8,4334595,14539,31
PART,9,6536973,43428,11
PART,0,4108189,9608,9
PART,1,4689000,54330,16
PART,2,5347513,22483,19
PART,3,3671540,14175,4
PART,4,6620270,7300,29
PART,5,4768919,34163,19
PART,6,3946702,42673,8
PART,7,4930838,631,5
PART,8,4336027,15340,31
PART,9,6530973,43393,11
PART,0,4110919,9592,9
PART,1,4709162,54245,16
PART,2,5456784,22617,19
PART,3,3671838,14182,4
PART,4,6613973,7210,29
PART,5,4769216,34147,19
PART,6,3947541,42660,8
PART,7,4930703,631,5
PART,8,4335054,11629,31
PART,9,6533784,43404,11
PART,0,4109675,9606,9
PART,1,4691352,54096,16
PART,2,5439216,22544,19
PART,3,3672432,14192,4
PART,4,6615703,7259,29
PART,5,4767648,34151,19
PART,6,3951460,42665,8
PART,7,4930378,634,5
PART,8,4335649,13383,31
PART,9,6530486,43459,11
PART,0,4107973,9589,9
PART,1,4698595,54178,16
PART,2,5443946,22589,19
PART,3,3671568,14182,4
PART,4,6616702,7245,29
PART,5,4777784,34248,19
PART,6,3959568,42629,8
PART,7,4930271,627,5
PART,8,4336000,14826,31
PART,9,6530865,43420,11
PART,0,4106730,9626,9
PART,1,4697568,54492,16
PART,2,5345135,22445,19
PART,3,3673190,14215,4
PART,4,6615325,7290,29
PART,5,4771352,34183,19
PART,6,3957837,42677,8
PART,7,4930298,648,5
