Type,Id,ExecTime,l2Miss,tlbMiss
SC,1,7324,183,1
SC,1,3135,71,0
SC,1,2621,67,0
SC,1,2324,67,0
SC,1,2297,67,0
SC,1,2108,64,0
SC,1,2351,67,0
SC,1,2324,67,0
SC,1,2054,65,0
SC,1,2541,67,0
SC,1,2324,67,0
SC,1,2351,64,0
SC,1,2324,65,0
SC,1,2297,66,0
SC,1,2162,65,0
SC,1,2324,66,0
SC,1,2351,68,0
SC,1,2135,65,0
SC,1,2595,68,0
SC,1,2351,66,0
SC,1,2351,65,0
SC,1,2324,67,0
SC,1,2351,67,0
SC,1,2135,64,0
SC,1,2325,66,0
SC,1,2676,66,0
SC,1,2108,66,0
SC,1,2837,66,0
SC,1,3622,64,0
SC,1,2325,66,0
SC,1,2352,66,0
SC,1,2352,67,0
SC,1,2081,65,0
SC,1,2568,67,0
SC,1,2378,68,0
SC,1,2297,65,0
SC,1,2270,66,0
SC,1,2324,67,0
SC,1,2135,64,0
SC,1,2324,66,0
SC,1,2540,66,0
SC,1,2135,65,0
SC,1,2135,66,0
SC,1,2352,68,0
SC,1,2325,64,0
SC,1,2298,66,0
SC,1,2298,67,0
SC,1,2108,65,0
SC,1,2324,67,0
SC,1,2514,66,0
SC,1,2081,66,0
SC,1,2270,66,0
SC,1,2297,66,0
SC,1,2351,64,0
SC,1,2324,66,0
SC,1,2324,66,0
SC,1,2135,66,0
SC,1,2351,66,0
SC,1,2513,66,0
SC,1,2135,65,0
SC,1,2405,66,0
SC,1,2324,66,0
SC,1,2324,64,0
SC,1,2324,67,0
SC,1,2459,67,0
SC,1,2324,64,0
SC,1,2351,69,0
SC,1,2459,67,0
SC,1,2081,64,0
SC,1,2297,66,0
SC,1,2297,66,0
SC,1,2081,64,0
SC,1,2649,72,0
SC,1,2270,64,0
SC,1,2189,62,0
SC,1,2324,66,0
SC,1,2162,66,0
SC,1,2352,68,0
SC,1,2325,66,0
SC,1,2433,66,0
SC,1,2459,67,0
SC,1,2540,67,0
SC,1,2324,66,0
SC,1,2162,66,0
SC,1,2324,66,0
SC,1,2405,67,0
SC,1,2297,68,0
SC,1,2432,66,0
SC,1,2594,66,0
SC,1,2324,67,0
SC,1,2270,66,0
SC,1,2324,67,0
SC,1,2324,67,0
SC,1,2351,67,0
SC,1,2324,67,0
SC,1,2514,68,0
SC,1,2352,66,0
SC,1,2298,66,0
SC,1,2325,66,0
SC,1,2325,66,0
SC,1,2325,66,0
SC,1,2379,67,0
SC,1,2514,66,0
SC,1,2324,66,0
SC,1,2405,65,0
SC,1,2351,66,0
SC,1,2594,66,0
SC,1,2513,66,0
SC,1,2324,68,0
SC,1,2216,67,0
SC,1,2324,66,0
SC,1,2351,66,0
SC,1,2324,67,0
SC,1,2351,67,0
SC,1,2541,66,0
SC,1,2325,67,0
SC,1,2162,67,0
SC,1,2406,67,0
SC,1,2324,68,0
SC,1,2324,68,0
SC,1,2352,66,0
SC,1,2541,66,0
SC,1,2352,68,0
SC,1,2379,66,0
SC,1,2352,68,0
SC,1,2378,66,0
SC,1,2324,66,0
SC,1,2351,66,0
SC,1,2216,66,0
SC,1,2324,67,0
SC,1,2459,67,0
SC,1,2324,67,0
SC,1,2297,66,0
SC,1,2351,67,0
SC,1,2324,67,0
SC,1,2216,66,0
SC,1,2324,67,0
SC,1,2162,66,0
SC,1,2351,66,0
SC,1,2297,66,0
SC,1,2351,66,0
SC,1,2459,66,0
SC,1,2567,66,0
SC,1,2324,68,0
SC,1,2405,66,0
SC,1,2324,66,0
SC,1,2324,66,0
SC,1,2324,66,0
SC,1,2351,66,0
SC,1,2378,70,0
SC,1,2324,67,0
SC,1,2378,67,0
SC,1,2324,66,0
SC,1,2324,67,0
SC,1,2324,66,0
SC,1,2514,66,0
SC,1,2298,64,0
SC,1,2271,65,0
SC,1,2325,66,0
SC,1,2379,66,0
SC,1,2352,66,0
SC,1,2325,66,0
SC,1,2352,67,0
SC,1,2298,68,0
SC,1,2352,66,0
SC,1,2352,67,0
SC,1,2352,66,0
SC,1,2352,68,0
SC,1,2433,67,0
SC,1,2378,67,0
SC,1,2378,66,0
SC,1,2351,66,0
SC,1,2378,68,0
SC,1,2378,68,0
SC,1,2567,66,0
SC,1,2541,66,0
SC,1,2352,67,0
SC,1,2325,68,0
SC,1,2352,66,0
SC,1,2325,66,0
SC,1,2379,66,0
SC,1,2487,66,0
SC,1,2271,66,0
SC,1,2379,66,0
SC,1,2406,67,0
SC,1,2325,66,0
SC,1,2379,68,0
SC,1,2324,66,0
SC,1,2405,66,0
SC,1,2324,66,0
SC,1,2351,66,0
SC,1,2378,67,0
SC,1,2595,73,0
SC,1,2595,70,0
SC,1,2514,66,0
SC,1,2352,67,0
SC,1,2325,66,0
SC,1,2325,66,0
SC,1,2325,66,0
SC,1,2649,69,0
SC,1,2378,67,0
SC,1,2162,67,0
