Type,Id,ExecTime,l2Miss,tlbMiss
ExtINT,1,13243,321,2
ExtINT,1,4838,140,0
ExtINT,1,4946,131,0
ExtINT,1,4973,129,0
ExtINT,1,4622,132,0
ExtINT,1,4621,134,0
ExtINT,1,4757,129,0
ExtINT,1,4919,131,0
ExtINT,1,4757,136,0
ExtINT,1,4595,134,0
ExtINT,1,4594,130,0
ExtINT,1,5054,131,0
ExtINT,1,4946,134,0
ExtINT,1,4595,137,0
ExtINT,1,4702,129,0
ExtINT,1,4919,130,0
ExtINT,1,5163,136,0
ExtINT,1,4595,136,0
ExtINT,1,4595,130,0
ExtINT,1,5054,130,0
ExtINT,1,4594,134,0
ExtINT,1,4730,134,0
ExtINT,1,4595,130,0
ExtINT,1,4892,132,0
ExtINT,1,4946,136,0
ExtINT,1,4595,134,0
ExtINT,1,4865,130,0
ExtINT,1,4891,132,0
ExtINT,1,4649,134,0
ExtINT,1,4595,137,0
ExtINT,1,4595,129,0
ExtINT,1,4946,130,0
ExtINT,1,5108,137,0
ExtINT,1,4594,136,0
ExtINT,1,4595,130,0
ExtINT,1,5081,130,0
ExtINT,1,4784,134,0
ExtINT,1,4621,134,0
ExtINT,1,4568,129,0
ExtINT,1,5027,131,0
ExtINT,1,4811,136,0
ExtINT,1,4756,136,0
ExtINT,1,4595,129,0
ExtINT,1,4919,129,0
ExtINT,1,4702,134,0
ExtINT,1,4595,135,0
ExtINT,1,4973,130,0
ExtINT,1,4865,129,0
ExtINT,1,4973,137,0
ExtINT,1,4649,134,0
ExtINT,1,5217,130,0
ExtINT,1,4892,129,0
ExtINT,1,4567,134,0
ExtINT,1,4595,134,0
ExtINT,1,4541,129,0
ExtINT,1,17621,443,0
ExtINT,1,21838,520,0
ExtINT,1,21163,497,0
ExtINT,1,20622,495,0
ExtINT,1,22729,545,0
ExtINT,1,21622,503,0
ExtINT,1,21000,503,0
ExtINT,1,20811,490,0
ExtINT,1,20837,499,0
ExtINT,1,21433,504,0
ExtINT,1,21622,517,0
ExtINT,1,21108,500,0
ExtINT,1,21378,507,0
ExtINT,1,21541,504,0
ExtINT,1,20892,498,0
ExtINT,1,21622,496,0
ExtINT,1,20487,499,0
ExtINT,1,21297,503,0
ExtINT,1,20648,507,0
ExtINT,1,21270,495,0
ExtINT,1,21432,507,0
ExtINT,1,21838,514,0
ExtINT,1,21487,501,0
ExtINT,1,23703,555,0
ExtINT,1,22379,523,0
ExtINT,1,22216,516,0
ExtINT,1,21783,506,0
ExtINT,1,21973,518,0
ExtINT,1,21406,512,0
ExtINT,1,21676,509,0
ExtINT,1,21892,511,0
ExtINT,1,22622,519,0
ExtINT,1,21433,496,0
ExtINT,1,21702,505,0
ExtINT,1,21244,491,0
ExtINT,1,21919,499,0
ExtINT,1,21514,510,0
ExtINT,1,22325,522,0
ExtINT,1,21325,510,0
ExtINT,1,21433,512,0
ExtINT,1,21865,516,0
ExtINT,1,22568,513,0
ExtINT,1,23243,553,0
ExtINT,1,21243,513,0
ExtINT,1,21541,508,0
ExtINT,1,21567,510,0
ExtINT,1,20919,506,0
ExtINT,1,21190,510,0
ExtINT,1,21190,514,0
ExtINT,1,21432,505,0
ExtINT,1,21486,513,0
ExtINT,1,21595,510,0
ExtINT,1,21324,504,0
ExtINT,1,21378,512,0
ExtINT,1,20946,505,0
ExtINT,1,21135,496,0
ExtINT,1,20892,502,0
ExtINT,1,21244,509,0
ExtINT,1,21162,507,0
ExtINT,1,20595,490,0
ExtINT,1,21162,491,0
ExtINT,1,22568,530,0
ExtINT,1,21379,508,0
ExtINT,1,21730,520,0
ExtINT,1,21108,504,0
ExtINT,1,21027,495,0
ExtINT,1,21568,515,0
ExtINT,1,21189,497,0
ExtINT,1,20540,498,0
ExtINT,1,21351,498,0
ExtINT,1,21027,505,0
ExtINT,1,21568,514,0
ExtINT,1,20865,502,0
ExtINT,1,21190,492,0
ExtINT,1,21000,507,0
ExtINT,1,20730,496,0
ExtINT,1,22054,512,0
ExtINT,1,21459,515,0
ExtINT,1,21675,518,0
ExtINT,1,20838,491,0
ExtINT,1,24163,552,0
ExtINT,1,22108,516,0
ExtINT,1,21973,512,0
ExtINT,1,21541,515,0
ExtINT,1,22054,520,0
