Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4104676,9605,9
PART,1,4666487,54180,16
PART,2,5307514,22266,19
PART,3,3670676,14186,4
PART,4,6614271,7260,29
PART,5,4761351,34149,19
PART,6,3994703,42921,8
PART,7,4929514,623,5
PART,8,4334864,16503,31
PART,9,6518540,43462,11
PART,0,4105730,9611,9
PART,1,4669865,54141,16
PART,2,5310703,22281,19
PART,3,3667162,14183,4
PART,4,6613000,7237,29
PART,5,4763379,34189,19
PART,6,3945784,42661,8
PART,7,4930352,640,5
PART,8,4334973,16497,31
PART,9,6522081,43449,11
PART,0,4105162,9584,9
PART,1,4662217,54100,16
PART,2,5305865,22246,19
PART,3,3671162,14175,4
PART,4,6611568,7195,29
PART,5,4763486,34205,19
PART,6,3945135,42644,8
PART,7,4930054,639,5
PART,8,4335540,16524,31
PART,9,6521513,43465,11
PART,0,4103973,9586,9
PART,1,4667973,54221,16
PART,2,5306000,22265,19
PART,3,3671297,14164,5
PART,4,6608919,7204,29
PART,5,4764162,34153,19
PART,6,3945783,42649,8
PART,7,4929541,631,5
PART,8,4335163,16511,31
PART,9,6520595,43418,11
PART,0,4106702,9610,9
PART,1,4664189,54388,16
PART,2,5306838,22255,19
PART,3,3667270,14185,4
PART,4,6610892,7223,29
PART,5,4760892,34089,19
PART,6,3945459,42632,8
PART,7,4929514,615,5
PART,8,4335567,16521,31
PART,9,6520514,43397,11
PART,0,4105702,9644,9
PART,1,4672892,54367,16
PART,2,5410432,22410,19
PART,3,3671541,14184,4
PART,4,6611973,7217,29
PART,5,4759757,34098,19
PART,6,3945271,42655,8
PART,7,4930054,638,5
PART,8,4336568,16535,31
PART,9,6520243,43412,11
PART,0,4104081,9599,9
PART,1,4664837,54167,16
PART,2,5409243,22388,19
PART,3,3671135,14157,4
PART,4,6614784,7271,29
PART,5,4761108,34063,19
PART,6,3946594,42693,8
PART,7,4929784,635,5
PART,8,4335135,16529,31
PART,9,6522514,43414,11
PART,0,4104892,9605,9
PART,1,4678135,54348,16
PART,2,5310892,22298,19
PART,3,3671297,14171,4
PART,4,6611810,7233,29
PART,5,4759865,34065,19
PART,6,3944459,42657,8
PART,7,4930081,634,5
PART,8,4335703,16515,31
PART,9,6522081,43380,11
PART,0,4107973,9623,9
PART,1,4690460,54342,16
PART,2,5328135,22395,19
PART,3,3672135,14174,4
PART,4,6620000,7256,29
PART,5,4767054,34046,19
PART,6,3945919,42606,8
PART,7,4930676,648,5
PART,8,4335784,16507,31
PART,9,6527000,43405,11
PART,0,4110784,9613,9
PART,1,4693054,54398,16
PART,2,5332135,22429,19
PART,3,3672027,14186,4
PART,4,6612865,7262,29
PART,5,4762784,34187,19
PART,6,3946784,42680,8
PART,7,4930027,635,5
PART,8,4335676,12445,31
PART,9,6537892,43438,11
PART,0,4107972,9592,9
PART,1,4686892,54347,16
PART,2,5431811,22529,19
PART,3,3671892,14196,4
PART,4,6610703,7183,29
PART,5,4762541,34130,19
PART,6,3945324,42626,8
PART,7,4930378,635,5
PART,8,4335054,16496,31
PART,9,6523244,43486,11
PART,0,4108514,9629,9
PART,1,4686298,54388,16
PART,2,5331811,22388,19
PART,3,3671108,14180,4
PART,4,6611459,7200,29
PART,5,4768244,34174,19
PART,6,3945621,42665,8
PART,7,4930433,638,5
PART,8,4335351,16499,31
PART,9,6528487,43366,11
PART,0,4107243,9603,9
PART,1,4682676,54160,16
PART,2,5328270,22396,19
PART,3,3672270,14179,4
PART,4,6611730,7197,29
PART,5,4764324,34221,19
PART,6,3947432,42682,8
PART,7,4929946,626,5
PART,8,4335676,16498,31
PART,9,6527919,43408,11
PART,0,4109567,9647,9
PART,1,4686136,54210,16
PART,2,5328108,22376,19
PART,3,3671649,14179,4
PART,4,6612973,7254,29
PART,5,4765432,34112,19
PART,6,3950702,42661,8
PART,7,4930243,616,5
PART,8,4334838,16490,31
PART,9,6530811,43451,11
PART,0,4107000,9629,9
PART,1,4686595,54277,16
PART,2,5329838,22398,19
PART,3,3671649,14178,4
PART,4,6613568,7244,29
PART,5,4765351,34111,19
PART,6,3955946,42691,8
PART,7,4930892,641,5
PART,8,4335486,12831,31
PART,9,6523271,43427,11
PART,0,4105567,9607,9
PART,1,4682352,54141,16
PART,2,5332244,22402,19
PART,3,3672027,14196,4
PART,4,6614270,7212,29
PART,5,4762514,34223,19
PART,6,3958622,42673,8
PART,7,4930324,630,5
PART,8,4335487,16497,31
PART,9,6529351,43479,11
PART,0,4106081,9596,9
PART,1,4689486,54185,16
PART,2,5433621,22499,19
