Type,Id,ExecTime,l2Miss,tlbMiss
IntINT,1,3324,108,0
IntINT,1,3270,95,0
IntINT,1,2865,82,0
IntINT,1,2865,82,0
IntINT,1,3054,85,0
IntINT,1,2946,85,0
IntINT,1,2973,84,0
IntINT,1,3027,82,0
IntINT,1,2892,84,0
IntINT,1,2919,84,0
IntINT,1,3027,83,0
IntINT,1,2865,83,0
IntINT,1,2973,83,0
IntINT,1,2919,82,0
IntINT,1,2973,85,0
IntINT,1,2729,83,0
IntINT,1,2784,83,0
IntINT,1,3027,83,0
IntINT,1,2730,83,0
IntINT,1,2946,82,0
IntINT,1,3000,83,0
IntINT,1,2784,83,0
IntINT,1,2648,82,0
IntINT,1,3108,82,0
IntINT,1,2676,85,0
IntINT,1,2702,85,0
IntINT,1,3054,84,0
IntINT,1,2837,83,0
IntINT,1,2649,83,0
IntINT,1,3081,83,0
IntINT,1,2865,82,0
IntINT,1,2541,84,0
IntINT,1,2892,82,0
IntINT,1,2784,85,0
IntINT,1,2838,85,0
IntINT,1,2919,85,0
IntINT,1,2919,95,0
IntINT,1,2757,76,0
IntINT,1,3054,83,0
IntINT,1,2838,83,0
IntINT,1,2756,84,0
IntINT,1,3000,83,0
IntINT,1,2648,82,0
IntINT,1,2703,84,0
IntINT,1,2946,85,0
IntINT,1,2729,84,0
IntINT,1,2757,84,0
IntINT,1,3081,82,0
IntINT,1,2838,83,0
IntINT,1,2676,82,0
IntINT,1,3676,82,0
IntINT,1,2892,83,0
IntINT,1,2757,82,0
IntINT,1,2946,82,0
IntINT,1,2838,84,0
IntINT,1,2703,83,0
IntINT,1,2891,85,0
IntINT,1,3108,82,0
IntINT,1,2919,82,0
IntINT,1,2703,83,0
IntINT,1,2946,82,0
IntINT,1,2730,82,0
IntINT,1,2838,82,0
IntINT,1,3163,82,0
IntINT,1,2811,85,0
IntINT,1,3055,83,0
IntINT,1,2946,83,0
IntINT,1,2810,83,0
IntINT,1,2946,82,0
IntINT,1,3136,82,0
IntINT,1,2784,82,0
IntINT,1,2649,82,0
IntINT,1,3000,83,0
IntINT,1,2757,82,0
IntINT,1,2783,84,0
IntINT,1,3027,85,0
IntINT,1,2784,83,0
IntINT,1,2703,84,0
IntINT,1,2784,78,0
IntINT,1,2433,78,0
IntINT,1,2919,82,0
IntINT,1,2946,82,0
IntINT,1,2757,82,0
IntINT,1,2865,82,0
IntINT,1,2892,85,0
IntINT,1,2756,83,0
IntINT,1,3027,83,0
IntINT,1,2973,82,0
IntINT,1,2703,83,0
IntINT,1,2892,84,0
IntINT,1,3054,82,0
IntINT,1,2730,83,0
IntINT,1,2783,83,0
IntINT,1,3081,82,0
IntINT,1,2783,86,0
IntINT,1,2730,83,0
IntINT,1,2892,83,0
IntINT,1,2756,84,0
IntINT,1,3162,82,0
IntINT,1,2892,83,0
IntINT,1,2973,83,0
IntINT,1,2729,82,0
IntINT,1,2892,82,0
IntINT,1,2757,82,0
IntINT,1,2594,84,0
IntINT,1,3108,83,0
IntINT,1,2703,83,0
IntINT,1,3054,84,0
IntINT,1,2946,84,0
IntINT,1,2703,82,0
IntINT,1,2784,83,0
IntINT,1,2811,83,0
IntINT,1,2757,82,0
IntINT,1,2892,82,0
IntINT,1,2946,84,0
IntINT,1,2784,83,0
IntINT,1,2703,84,0
IntINT,1,2811,82,0
IntINT,1,2757,82,0
IntINT,1,2811,85,0
IntINT,1,2513,76,0
IntINT,1,2811,83,0
IntINT,1,2973,84,0
IntINT,1,2973,83,0
IntINT,1,2703,85,0
IntINT,1,2891,83,0
IntINT,1,3027,84,0
IntINT,1,2756,82,0
IntINT,1,2865,82,0
IntINT,1,3108,82,0
IntINT,1,2892,83,0
IntINT,1,2703,84,0
IntINT,1,2946,82,0
IntINT,1,2730,83,0
IntINT,1,2919,86,0
IntINT,1,2973,83,0
IntINT,1,2757,83,0
IntINT,1,2675,83,0
IntINT,1,3054,82,0
IntINT,1,2837,83,0
IntINT,1,2568,82,0
IntINT,1,2919,82,0
IntINT,1,2756,83,0
