Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4106000,9551,9
PART,1,4678027,54279,16
PART,2,5306649,22228,19
PART,3,3671136,14194,4
PART,4,6613271,7232,29
PART,5,4763000,34111,19
PART,6,3994973,42932,8
PART,7,4929892,634,5
PART,8,4334702,16487,31
PART,9,6522513,43412,11
PART,0,4107190,9601,9
PART,1,4669973,54082,16
PART,2,5303865,22230,19
PART,3,3673108,14172,4
PART,4,6613324,7248,29
PART,5,4762676,34101,19
PART,6,3944729,42662,8
PART,7,4929135,612,5
PART,8,4335162,16480,31
PART,9,6522054,43440,11
PART,0,4105811,9555,9
PART,1,4673892,54283,16
PART,2,5301486,22239,19
PART,3,3671973,14175,4
PART,4,6612513,7265,29
PART,5,4762459,34124,19
PART,6,3945243,42669,8
PART,7,4930459,642,5
PART,8,4336190,16525,31
PART,9,6520892,43445,11
PART,0,4104163,9577,9
PART,1,4672351,54321,16
PART,2,5302838,22240,19
PART,3,3671379,14174,4
PART,4,6612405,7270,29
PART,5,4762271,34107,19
PART,6,3945514,42690,8
PART,7,4930027,654,5
PART,8,4336459,16510,31
PART,9,6520730,43469,11
PART,0,4121946,9545,9
PART,1,4673243,54384,16
PART,2,5304973,22248,19
PART,3,3670973,14193,4
PART,4,6610784,7244,29
PART,5,4762162,34088,19
PART,6,3946298,42686,8
PART,7,4929946,638,5
PART,8,4336000,16521,31
PART,9,6520730,43444,11
PART,0,4106027,9622,9
PART,1,4672351,54261,16
PART,2,5302243,22245,19
PART,3,3671432,14170,5
PART,4,6611000,7254,29
PART,5,4761622,34200,19
PART,6,3946054,42671,8
PART,7,4929514,627,5
PART,8,4335946,16534,31
PART,9,6520703,43404,11
PART,0,4106406,9653,9
PART,1,4668135,54319,16
PART,2,5303352,22241,19
PART,3,3671108,14187,4
PART,4,6610676,7257,29
PART,5,4760460,34173,19
PART,6,3946513,42684,8
PART,7,4930108,634,5
PART,8,4336000,16520,31
PART,9,6519108,43369,11
PART,0,4105568,9602,9
PART,1,4673487,54315,16
PART,2,5304865,22252,19
PART,3,3671271,14189,4
PART,4,6608919,7200,29
PART,5,4760838,34145,19
PART,6,3944649,42630,8
PART,7,4929838,637,5
PART,8,4335892,16521,31
PART,9,6520081,43444,11
PART,0,4107297,9616,9
PART,1,4679973,54363,16
PART,2,5314162,22301,19
PART,3,3671108,14179,4
PART,4,6613081,7229,29
PART,5,4764189,34191,19
PART,6,3945108,42657,8
PART,7,4930108,639,5
PART,8,4336406,16528,31
PART,9,6518919,43359,11
PART,0,4105136,9606,9
PART,1,4683378,54311,16
PART,2,5423783,22455,19
PART,3,3671324,14189,5
PART,4,6610865,7205,29
PART,5,4764082,34359,19
PART,6,3946027,42671,8
PART,7,4929973,635,5
PART,8,4337243,12950,31
PART,9,6521784,43382,11
PART,0,4105594,9588,9
PART,1,4673433,54210,16
PART,2,5417892,22399,19
PART,3,3671162,14198,4
PART,4,6613486,7230,29
PART,5,4763379,34174,19
PART,6,3944838,42668,8
PART,7,4929730,650,5
PART,8,4334973,16503,31
PART,9,6524217,43412,11
PART,0,4105027,9601,9
PART,1,4684000,54347,16
PART,2,5312433,22293,19
PART,3,3671243,14178,4
PART,4,6612784,7243,29
PART,5,4764108,34160,19
PART,6,3945892,42637,8
PART,7,4929702,629,5
PART,8,4335270,16507,31
PART,9,6524324,43469,11
PART,0,4105568,9548,9
PART,1,4677189,54210,16
