Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4105081,9607,9
PART,1,4680405,54206,16
PART,2,5304162,22232,19
PART,3,3671487,14175,4
PART,4,6611622,7260,29
PART,5,4762675,34149,19
PART,6,3995406,42918,8
PART,7,4930027,630,5
PART,8,4334460,16508,31
PART,9,6519135,43398,11
PART,0,4105919,9588,9
PART,1,4665621,54242,16
PART,2,5305243,22275,19
PART,3,3670567,14167,4
PART,4,6609811,7224,29
PART,5,4763324,34156,19
PART,6,3945162,42676,8
PART,7,4929676,644,5
PART,8,4334541,16500,31
PART,9,6519081,43454,11
PART,0,4104000,9596,9
PART,1,4667514,54129,16
PART,2,5304757,22233,19
PART,3,3671568,14172,4
PART,4,6610946,7261,29
PART,5,4762433,34097,19
PART,6,3944676,42667,8
PART,7,4929891,639,5
PART,8,4335621,16512,31
PART,9,6522459,43486,11
PART,0,4105000,9609,9
PART,1,4672595,54431,16
PART,2,5305541,22254,19
PART,3,3671216,14163,5
PART,4,6612919,7253,29
PART,5,4762027,34114,19
PART,6,3945460,42663,8
PART,7,4930352,650,5
PART,8,4336243,16493,31
PART,9,6521810,43442,11
PART,0,4106648,9589,9
PART,1,4665676,54064,16
PART,2,5411325,22403,19
PART,3,3671622,14179,4
PART,4,6611460,7250,29
PART,5,4762379,34092,19
PART,6,3946135,42664,8
PART,7,4930027,638,5
PART,8,4335595,16528,31
PART,9,6521405,43444,11
PART,0,4105973,9650,9
PART,1,4667351,54395,16
PART,2,5305189,22273,19
PART,3,3671055,14184,4
PART,4,6614513,7240,29
PART,5,4760649,34115,19
PART,6,3945216,42651,8
PART,7,4929892,637,5
PART,8,4336027,16510,31
PART,9,6521379,43428,11
PART,0,4104243,9584,9
PART,1,4676352,54400,16
PART,2,5302352,22229,19
PART,3,3671108,14179,4
PART,4,6612352,7247,29
PART,5,4763595,34091,19
PART,6,3946486,42693,8
PART,7,4930054,632,5
PART,8,4335891,16528,31
PART,9,6521108,43457,11
PART,0,4105676,9577,9
PART,1,4666513,54163,16
PART,2,5304865,22271,19
PART,3,3671324,14184,4
PART,4,6608811,7182,29
PART,5,4760676,34101,19
PART,6,3947541,42802,8
PART,7,4930000,631,5
PART,8,4336405,16512,31
PART,9,6521595,43455,11
PART,0,4109000,9615,9
PART,1,4685243,54374,16
PART,2,5312189,22305,19
PART,3,3673297,14163,4
PART,4,6613973,7229,29
PART,5,4762486,34029,19
PART,6,3946027,42672,8
PART,7,4930406,642,5
PART,8,4336190,16525,31
PART,9,6523271,43394,11
PART,0,4108189,9603,9
PART,1,4677892,54264,16
PART,2,5312244,22319,19
PART,3,3671676,14184,4
PART,4,6610216,7227,29
PART,5,4767000,34123,19
PART,6,3946568,42711,8
PART,7,4930243,638,5
PART,8,4335351,15162,31
PART,9,6522135,43464,11
PART,0,4107486,9569,9
PART,1,4668189,54101,16
PART,2,5312865,22277,19
PART,3,3670865,14151,4
PART,4,6610675,7215,29
PART,5,4763513,34115,19
PART,6,3946000,42674,8
PART,7,4929838,631,5
PART,8,4335081,16508,31
PART,9,6521460,43450,11
PART,0,4105405,9577,9
PART,1,4673379,54183,16
PART,2,5312811,22298,19
PART,3,3671784,14172,4
PART,4,6612270,7207,29
PART,5,4767135,34252,19
PART,6,3945703,42675,8
PART,7,4930135,629,5
PART,8,4334973,16504,31
PART,9,6522216,43464,11
PART,0,4104405,9589,9
PART,1,4681000,54476,16
PART,2,5316378,22301,19
PART,3,3671081,14172,4
PART,4,6612379,7217,29
PART,5,4762190,34118,19
PART,6,3948108,42681,8
PART,7,4929514,630,5
PART,8,4336460,16294,31
PART,9,6520216,43448,11
PART,0,4104189,9608,9
PART,1,4679513,54240,16
PART,2,5315405,22290,19
PART,3,3671703,14189,4
PART,4,6610135,7213,29
PART,5,4764297,34156,19
PART,6,3950486,42670,8
PART,7,4930162,642,5
PART,8,4334757,16492,31
PART,9,6520811,43420,11
PART,0,4110784,9612,9
PART,1,4672000,54358,16
PART,2,5310838,22270,19
PART,3,3671406,14191,4
PART,4,6612324,7243,29
PART,5,4765946,34082,19
PART,6,3955649,42694,8
PART,7,4929892,623,5
PART,8,4334730,16523,31
PART,9,6520081,43349,11
PART,0,4104135,9566,9
PART,1,4677432,54227,16
PART,2,5315621,22305,19
PART,3,3671838,14206,4
PART,4,6614568,7224,29
PART,5,4762243,34071,19
PART,6,3961405,42673,8
PART,7,4929838,642,5
PART,8,4334757,13653,31
PART,9,6525027,43472,11
PART,0,4108784,9599,9
PART,1,4670216,54222,16
PART,2,5311270,22287,19
PART,3,3673540,14173,4
PART,4,6610540,7229,29
PART,5,4761622,34094,19
PART,6,3958243,42666,8
PART,7,4929973,631,5
PART,8,4335351,16495,31
PART,9,6522676,43441,11
PART,0,4105784,9579,9
PART,1,4673702,54269,16
PART,2,5315567,22287,19
PART,3,3671702,14176,4
PART,4,6610243,7241,29
PART,5,4761460,34062,19
PART,6,3958433,42672,8
PART,7,4930757,652,5
PART,8,4334540,16494,31
PART,9,6521270,43399,11
PART,0,4108162,9638,9
PART,1,4680460,54422,16
PART,2,5415838,22392,19
PART,3,3671676,14175,4
PART,4,6612811,7202,29
PART,5,4763594,34154,19
PART,6,3958567,42666,8
PART,7,4930135,643,5
PART,8,4335568,16484,31
PART,9,6524865,43405,11
PART,0,4107621,9582,9
PART,1,4677297,54184,16
PART,2,5313622,22288,19
PART,3,3671919,14173,4
PART,4,6611649,7246,29
PART,5,4767946,34208,19
PART,6,3958946,42649,8
PART,7,4929595,630,5
PART,8,4334595,16502,31
PART,9,6523270,43449,11
PART,0,4104919,9572,9
PART,1,4671135,54205,16
PART,2,5310973,22281,19
PART,3,3670541,14176,4
PART,4,6610162,7231,29
PART,5,4763757,34144,19
PART,6,3958676,42649,8
PART,7,4930811,631,5
PART,8,4335460,16500,31
PART,9,6520541,43464,11
PART,0,4106757,9600,9
PART,1,4677919,54465,16
PART,2,5311540,22288,19
PART,3,3670784,14198,4
PART,4,6610703,7212,29
PART,5,4764486,34207,19
PART,6,3961027,42686,8
PART,7,4930081,652,5
PART,8,4334297,16494,31
PART,9,6520217,43351,11
PART,0,4110622,9620,9
PART,1,4671216,54340,16
PART,2,5311865,22296,19
PART,3,3671703,14169,4
PART,4,6615135,7218,29
PART,5,4761865,34170,19
PART,6,3958297,42686,8
PART,7,4930190,644,5
PART,8,4334973,16511,31
PART,9,6520622,43460,11
PART,0,4137621,9566,9
PART,1,4673162,54236,16
PART,2,5309324,22286,19
PART,3,3673432,14186,4
PART,4,6614297,7215,29
PART,5,4763081,34104,19
PART,6,3960676,42687,8
PART,7,4930108,637,5
PART,8,4335000,16487,31
PART,9,6522784,43379,11
PART,0,4106486,9571,9
PART,1,4671162,54402,16
PART,2,5315054,22305,19
PART,3,3671405,14189,4
PART,4,6613216,7213,29
PART,5,4770973,34263,19
PART,6,3959244,42690,8
PART,7,4930378,638,5
PART,8,4335513,16064,31
PART,9,6523108,43396,11
PART,0,4105081,9622,9
PART,1,4676540,54300,16
PART,2,5311486,22300,19
PART,3,3671243,14189,4
PART,4,6613243,7324,29
PART,5,4762973,34127,19
PART,6,3959946,42639,8
PART,7,4930000,632,5
PART,8,4335460,16520,31
PART,9,6522973,43477,11
PART,0,4107702,9607,9
PART,1,4680324,53998,16
PART,2,5312459,22292,19
PART,3,3667325,14182,4
PART,4,6612270,7241,29
PART,5,4761973,34157,19
PART,6,3959298,42655,8
PART,7,4929703,629,5
PART,8,4336054,16521,31
PART,9,6521784,43392,11
PART,0,4110567,9617,9
PART,1,4670919,54316,16
PART,2,5312729,22305,19
PART,3,3671378,14168,4
PART,4,6612243,7238,29
PART,5,4765837,34149,19
PART,6,3958837,42646,8
PART,7,4930054,632,5
PART,8,4336297,16532,31
PART,9,6521081,43451,11
PART,0,4106000,9564,9
PART,1,4669540,54293,16
PART,2,5418027,22408,19
PART,3,3671352,14183,4
PART,4,6608541,7160,29
PART,5,4762270,34048,19
PART,6,3960865,42743,8
PART,7,4929514,627,5
PART,8,4336595,16498,31
PART,9,6519324,43457,11
PART,0,4108541,9608,9
PART,1,4681946,54451,16
PART,2,5413729,22363,19
PART,3,3671351,14166,4
PART,4,6612054,7242,29
PART,5,4765216,34147,19
PART,6,3959054,42651,8
PART,7,4930054,635,5
PART,8,4335163,15512,31
PART,9,6519838,43393,11
PART,0,4105892,9577,9
PART,1,4671567,54334,16
PART,2,5313352,22271,19
PART,3,3671270,14177,4
PART,4,6611621,7225,29
PART,5,4770621,34197,19
PART,6,3959000,42669,8
PART,7,4929865,634,5
PART,8,4334541,16499,31
PART,9,6523487,43405,11
PART,0,4106054,9604,9
PART,1,4680081,54342,16
PART,2,5413892,22374,19
PART,3,3671433,14177,4
PART,4,6612352,7208,29
PART,5,4766297,34182,19
PART,6,3958730,42633,8
PART,7,4930271,635,5
PART,8,4334405,13729,31
PART,9,6524865,43409,11
PART,0,4107270,9592,9
PART,1,4675405,54339,16
PART,2,5311081,22260,19
PART,3,3671487,14189,4
PART,4,6613244,7262,29
PART,5,4763271,34103,19
PART,6,3957946,42658,8
PART,7,4929676,622,5
PART,8,4334540,16527,31
PART,9,6525108,43438,11
PART,0,4106892,9584,9
PART,1,4678486,54192,16
PART,2,5311919,22318,19
PART,3,3671676,14177,4
PART,4,6609540,7181,29
PART,5,4762649,34096,19
PART,6,3959244,42655,8
PART,7,4929703,642,5
PART,8,4334703,16496,31
PART,9,6520783,43462,11
PART,0,4105919,9566,9
PART,1,4681189,54456,16
PART,2,5412135,22397,19
PART,3,3670973,14183,4
PART,4,6612379,7192,29
PART,5,4762595,34067,19
PART,6,3957892,42631,8
PART,7,4930054,646,5
PART,8,4337162,14251,31
PART,9,6521270,43449,11
PART,0,4105514,9546,9
PART,1,4684000,54495,16
PART,2,5311108,22251,19
PART,3,3671730,14185,4
PART,4,6612459,7183,29
PART,5,4767513,34192,19
PART,6,3958351,42657,8
PART,7,4932703,654,5
PART,8,4336514,14129,31
PART,9,6521811,43418,11
PART,0,4106027,9602,9
PART,1,4677189,54463,16
PART,2,5313406,22291,19
PART,3,3671081,14162,4
PART,4,6609054,7207,29
PART,5,4766811,34220,19
PART,6,3959676,42687,8
PART,7,4930433,632,5
PART,8,4333946,15570,31
PART,9,6521946,43463,11
PART,0,4103270,9579,9
PART,1,4674811,54233,16
PART,2,5310324,22268,19
PART,3,3673541,14200,4
PART,4,6610649,7249,29
PART,5,4769378,34441,19
PART,6,3957973,42661,8
PART,7,4929811,632,5
PART,8,4335081,16512,31
PART,9,6520135,43447,11
PART,0,4104378,9576,9
PART,1,4684729,54418,16
PART,2,5312946,22291,19
PART,3,3670919,14170,5
PART,4,6613973,7280,29
PART,5,4763622,34180,19
PART,6,3960324,42668,8
PART,7,4930081,640,5
PART,8,4335676,16530,31
PART,9,6519243,43446,11
PART,0,4107325,9581,9
PART,1,4682405,54282,16
PART,2,5313648,22314,19
PART,3,3671730,14181,4
PART,4,6614432,7271,29
PART,5,4765460,34142,19
PART,6,3958865,42688,8
PART,7,4929730,628,5
PART,8,4336892,15245,31
PART,9,6523054,43435,11
PART,0,4106973,9603,9
