Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4105622,9625,9
PART,1,4680729,54414,16
PART,2,5301055,22193,19
PART,3,3670676,14183,4
PART,4,6612135,7252,29
PART,5,4760432,34059,19
PART,6,3996055,42946,8
PART,7,4929513,635,5
PART,8,4334757,16486,31
PART,9,6519892,43480,11
PART,0,4104459,9555,9
PART,1,4672135,54438,16
PART,2,5302162,22243,19
PART,3,3670838,14171,4
PART,4,6612027,7253,29
PART,5,4761216,34211,19
PART,6,3945244,42665,8
PART,7,4929892,636,5
PART,8,4335162,16530,31
PART,9,6519054,43315,11
PART,0,4104352,9572,9
PART,1,4663838,54219,16
PART,2,5302406,22200,19
PART,3,3671027,14181,4
PART,4,6612027,7278,29
PART,5,4762162,34208,19
PART,6,3945946,42671,8
PART,7,4929891,625,5
PART,8,4335243,16513,31
PART,9,6521460,43412,11
PART,0,4104784,9565,9
PART,1,4663513,54207,16
PART,2,5301325,22231,19
PART,3,3671595,14183,4
PART,4,6613756,7265,29
PART,5,4762676,34100,19
PART,6,3945676,42654,8
PART,7,4929865,639,5
PART,8,4335595,16538,31
PART,9,6521405,43436,11
PART,0,4105621,9568,9
PART,1,4665946,54215,16
PART,2,5302649,22240,19
PART,3,3671217,14158,4
PART,4,6611513,7223,29
PART,5,4758676,34102,19
PART,6,3944973,42669,8
PART,7,4929973,633,5
PART,8,4335703,16572,31
PART,9,6521595,43465,11
PART,0,4107622,9633,9
PART,1,4664108,54254,16
PART,2,5301378,22232,19
PART,3,3672081,14187,4
PART,4,6611919,7275,29
PART,5,4760676,34103,19
PART,6,3945919,42709,8
PART,7,4929568,631,5
PART,8,4336324,16531,31
PART,9,6520864,43373,11
PART,0,4104783,9591,9
PART,1,4672163,54190,16
PART,2,5303054,22243,19
PART,3,3671000,14166,4
PART,4,6612432,7218,29
PART,5,4761595,34127,19
PART,6,3944811,42661,8
PART,7,4929784,635,5
PART,8,4336892,16542,31
PART,9,6520135,43464,11
PART,0,4104243,9580,9
PART,1,4668189,54375,16
PART,2,5408946,22355,19
PART,3,3671513,14182,4
PART,4,6612567,7248,29
PART,5,4760729,34168,19
PART,6,3945378,42658,8
PART,7,4929945,634,5
PART,8,4334973,16496,31
PART,9,6520270,43403,11
PART,0,4107081,9606,9
PART,1,4670487,54294,16
PART,2,5412811,22399,19
PART,3,3671540,14186,4
PART,4,6612810,7270,29
PART,5,4763675,34227,19
PART,6,3945946,42685,8
PART,7,4930027,631,5
PART,8,4336486,16520,31
PART,9,6522324,43374,11
PART,0,4105108,9610,9
PART,1,4682649,54271,16
PART,2,5308919,22267,19
PART,3,3668757,14175,4
