Type,Id,ExecTime,l2Miss,tlbMiss
SC,1,7540,178,1
SC,1,2864,70,0
SC,1,2649,67,0
SC,1,2486,66,0
SC,1,2513,68,0
SC,1,2297,66,0
SC,1,2324,67,0
SC,1,2324,66,0
SC,1,2567,67,0
SC,1,2351,67,0
SC,1,2352,66,0
SC,1,2352,67,0
SC,1,2325,67,0
SC,1,2325,67,0
SC,1,2325,67,0
SC,1,2243,68,0
SC,1,2352,68,0
SC,1,2379,67,0
SC,1,2379,68,0
SC,1,2352,67,0
SC,1,2352,67,0
SC,1,2379,67,0
SC,1,2297,66,0
SC,1,2325,67,0
SC,1,2351,67,0
SC,1,2324,66,0
SC,1,2324,66,0
SC,1,2297,67,0
SC,1,2297,68,0
SC,1,2460,66,0
SC,1,2378,67,0
SC,1,2297,67,0
SC,1,2351,67,0
SC,1,2378,67,0
SC,1,2378,68,0
SC,1,2324,67,0
SC,1,2297,67,0
SC,1,2351,66,0
SC,1,2351,67,0
SC,1,2351,68,0
SC,1,2351,67,0
SC,1,2351,66,0
SC,1,2351,67,0
SC,1,2486,67,0
SC,1,2351,67,0
SC,1,2378,67,0
SC,1,2351,67,0
SC,1,2351,67,0
SC,1,2595,67,0
SC,1,2324,67,0
SC,1,2297,68,0
SC,1,2351,66,0
SC,1,2324,66,0
SC,1,2324,66,0
SC,1,2351,66,0
SC,1,2513,68,0
SC,1,2351,67,0
SC,1,2324,66,0
SC,1,2351,66,0
SC,1,2324,67,0
SC,1,2324,66,0
SC,1,2324,66,0
SC,1,2567,66,0
SC,1,2324,67,0
SC,1,2351,68,0
SC,1,2324,67,0
SC,1,2405,68,0
SC,1,2378,66,0
SC,1,2351,67,0
SC,1,2270,66,0
SC,1,2297,67,0
SC,1,2405,67,0
SC,1,2676,74,0
SC,1,2325,65,0
SC,1,2460,64,0
SC,1,2432,67,0
SC,1,2297,66,0
SC,1,2324,66,0
SC,1,2351,67,0
SC,1,2351,67,0
SC,1,2324,66,0
SC,1,2378,67,0
SC,1,2324,66,0
SC,1,2351,67,0
SC,1,2324,67,0
SC,1,2487,68,0
SC,1,2514,66,0
SC,1,2325,66,0
SC,1,2325,66,0
SC,1,2298,66,0
SC,1,2352,66,0
SC,1,2352,66,0
SC,1,2325,66,0
SC,1,2325,66,0
SC,1,2352,66,0
SC,1,2352,66,0
SC,1,2352,67,0
SC,1,2379,66,0
SC,1,2352,66,0
SC,1,2298,67,0
SC,1,2568,66,0
SC,1,2405,68,0
SC,1,2243,66,0
SC,1,2324,68,0
SC,1,2324,67,0
SC,1,2324,66,0
SC,1,2513,66,0
SC,1,2540,66,0
SC,1,2325,66,0
SC,1,2352,66,0
SC,1,2297,66,0
SC,1,2297,66,0
SC,1,2324,68,0
SC,1,2351,66,0
SC,1,2460,66,0
