Type,Id,ExecTime,l2Miss,tlbMiss
ExtINT,1,13378,148,2
ExtINT,1,4783,40,0
ExtINT,1,6513,61,0
ExtINT,1,7405,68,0
ExtINT,1,6757,61,0
ExtINT,1,6216,57,0
ExtINT,1,6243,64,0
ExtINT,1,6189,55,0
ExtINT,1,6000,56,0
ExtINT,1,6406,56,0
ExtINT,1,5865,54,0
ExtINT,1,6459,56,0
ExtINT,1,6000,53,0
ExtINT,1,6297,59,0
ExtINT,1,5945,54,0
ExtINT,1,6244,56,0
ExtINT,1,6081,57,0
ExtINT,1,6540,58,0
ExtINT,1,6027,58,0
ExtINT,1,6433,58,0
ExtINT,1,6108,57,0
ExtINT,1,6216,56,0
ExtINT,1,6352,57,0
ExtINT,1,6325,59,0
ExtINT,1,6108,58,0
ExtINT,1,6513,59,0
ExtINT,1,6082,56,0
ExtINT,1,6217,57,0
ExtINT,1,6135,56,0
ExtINT,1,6243,57,0
ExtINT,1,5973,56,0
ExtINT,1,6297,57,0
ExtINT,1,6135,58,0
ExtINT,1,6460,57,0
ExtINT,1,6027,57,0
ExtINT,1,6378,57,0
ExtINT,1,6108,56,0
ExtINT,1,6162,60,0
ExtINT,1,6433,58,0
ExtINT,1,6324,59,0
ExtINT,1,6541,61,0
ExtINT,1,6297,60,0
ExtINT,1,6514,59,0
ExtINT,1,6190,60,0
ExtINT,1,6324,59,0
ExtINT,1,6351,60,0
ExtINT,1,6378,59,0
ExtINT,1,6405,60,0
ExtINT,1,6703,61,0
ExtINT,1,6216,60,0
ExtINT,1,6676,60,0
ExtINT,1,6270,60,0
ExtINT,1,6405,59,0
ExtINT,1,6000,59,0
ExtINT,1,6541,58,0
ExtINT,1,6162,60,0
ExtINT,1,16514,181,0
ExtINT,1,14730,96,0
ExtINT,1,15135,97,0
ExtINT,1,14757,91,0
ExtINT,1,15270,96,0
ExtINT,1,14541,90,0
ExtINT,1,14595,90,0
ExtINT,1,14432,90,0
ExtINT,1,14784,94,0
ExtINT,1,14460,90,0
ExtINT,1,14730,93,0
ExtINT,1,14729,89,0
ExtINT,1,14567,91,0
ExtINT,1,14432,90,0
ExtINT,1,14567,93,0
ExtINT,1,14487,89,0
ExtINT,1,14757,94,0
ExtINT,1,14487,89,0
ExtINT,1,14757,91,0
ExtINT,1,14432,90,0
ExtINT,1,14838,98,0
ExtINT,1,15811,101,0
ExtINT,1,15324,93,0
ExtINT,1,14973,92,0
ExtINT,1,14622,90,0
ExtINT,1,15514,91,0
ExtINT,1,14433,91,0
ExtINT,1,14244,87,0
ExtINT,1,13757,85,0
ExtINT,1,14298,89,0
ExtINT,1,13676,82,0
ExtINT,1,14352,89,0
ExtINT,1,13865,87,0
ExtINT,1,14487,89,0
ExtINT,1,13622,84,0
