Type,Id,ExecTime,l2Miss,tlbMiss
IPI,1,4838,64,0
IPI,1,4757,47,0
IPI,1,4054,33,0
IPI,1,4325,36,0
IPI,1,3919,33,0
IPI,1,4406,36,0
IPI,1,4000,33,0
IPI,1,4351,37,0
IPI,1,4027,33,0
IPI,1,4406,39,0
IPI,1,3946,33,0
IPI,1,4217,39,0
IPI,1,4324,39,0
IPI,1,4432,38,0
IPI,1,4351,39,0
IPI,1,4324,37,0
IPI,1,4000,37,0
IPI,1,4216,39,0
IPI,1,4000,35,0
IPI,1,4325,39,0
IPI,1,4297,35,0
IPI,1,4513,36,0
IPI,1,4028,35,0
IPI,1,4352,37,0
IPI,1,3946,35,0
IPI,1,4324,37,0
IPI,1,4027,35,0
IPI,1,4243,37,0
IPI,1,4054,35,0
IPI,1,4649,36,0
IPI,1,4135,35,0
IPI,1,4486,38,0
IPI,1,4297,39,0
IPI,1,4162,39,0
IPI,1,4432,39,0
IPI,1,4270,39,0
IPI,1,4810,40,0
IPI,1,3892,34,0
IPI,1,4243,38,0
IPI,1,4027,38,0
IPI,1,4136,39,0
IPI,1,3973,37,0
IPI,1,4163,38,0
IPI,1,3946,39,0
IPI,1,4297,38,0
IPI,1,4000,37,0
IPI,1,4351,38,0
IPI,1,4000,38,0
IPI,1,4162,39,0
IPI,1,4189,37,0
IPI,1,4298,40,0
IPI,1,4027,39,0
IPI,1,4190,38,0
IPI,1,3811,33,0
IPI,1,3676,32,0
IPI,1,3648,30,0
IPI,1,4000,34,0
IPI,1,3730,29,0
IPI,1,3838,33,0
IPI,1,3649,31,0
IPI,1,3892,33,0
IPI,1,3676,29,0
IPI,1,3838,33,0
IPI,1,3594,30,0
IPI,1,3946,34,0
IPI,1,3649,30,0
IPI,1,3919,33,0
IPI,1,3648,31,0
IPI,1,3946,33,0
IPI,1,3865,29,0
IPI,1,4541,46,0
IPI,1,3676,30,0
IPI,1,4595,33,0
IPI,1,3216,26,0
IPI,1,3406,27,0
IPI,1,3405,29,0
IPI,1,3432,27,0
IPI,1,3892,33,0
IPI,1,3243,22,0
IPI,1,3216,23,0
IPI,1,3541,28,0
IPI,1,3190,24,0
IPI,1,3513,28,0
IPI,1,3054,24,0
IPI,1,3486,29,0
IPI,1,3027,24,0
IPI,1,3730,28,0
IPI,1,2973,24,0
IPI,1,3676,28,0
IPI,1,3298,28,0
IPI,1,4216,42,0
IPI,1,3378,30,0
IPI,1,3838,30,0
IPI,1,3297,28,0
IPI,1,3567,28,0
IPI,1,3243,27,0
IPI,1,3514,28,0
IPI,1,3190,27,0
IPI,1,3702,28,0
IPI,1,3459,27,0
IPI,1,3811,29,0
IPI,1,3216,27,0
IPI,1,3568,28,0
IPI,1,3325,27,0
IPI,1,3567,28,0
IPI,1,3216,27,0
IPI,1,3513,28,0
IPI,1,3459,27,0
IPI,1,3567,29,0
IPI,1,4054,38,0
IPI,1,3729,28,0
IPI,1,3243,27,0
IPI,1,3702,28,0
IPI,1,3216,27,0
IPI,1,3703,28,0
IPI,1,3379,27,0
IPI,1,3567,29,0
IPI,1,3216,27,0
IPI,1,3730,28,0
IPI,1,4325,31,0
IPI,1,3568,25,0
IPI,1,3756,27,0
IPI,1,3108,26,0
IPI,1,3162,27,0
IPI,1,3838,29,0
IPI,1,2783,22,0
IPI,1,3244,28,0
IPI,1,3433,26,0
IPI,1,3756,36,0
IPI,1,3838,30,0
IPI,1,3405,27,0
IPI,1,3594,29,0
IPI,1,3216,27,0
IPI,1,3541,28,0
IPI,1,3351,28,0
IPI,1,3514,28,0
IPI,1,3189,27,0
IPI,1,3729,28,0
IPI,1,3460,27,0
IPI,1,3622,29,0
IPI,1,3243,27,0
IPI,1,3513,28,0
IPI,1,3514,28,0
IPI,1,3595,28,0
IPI,1,3216,27,0
IPI,1,3783,28,0
IPI,1,3649,29,0
