Type,Id,ExecTime,l2Miss,tlbMiss
SC,1,8703,96,1
SC,1,4244,35,0
SC,1,3540,32,0
SC,1,4189,42,0
SC,1,4027,36,0
SC,1,3675,31,0
SC,1,3919,31,0
SC,1,3946,35,0
SC,1,3811,32,0
SC,1,3595,29,0
SC,1,3838,32,0
SC,1,3892,35,0
SC,1,3730,32,0
SC,1,3838,34,0
SC,1,3865,34,0
SC,1,3973,36,0
SC,1,4081,38,0
SC,1,3865,34,0
SC,1,3919,35,0
SC,1,3946,35,0
SC,1,3892,36,0
SC,1,3730,32,0
SC,1,3946,34,0
SC,1,3784,35,0
SC,1,3973,34,0
SC,1,3838,32,0
SC,1,4027,34,0
SC,1,3784,33,0
SC,1,3811,34,0
SC,1,3919,32,0
SC,1,4000,34,0
SC,1,3730,33,0
SC,1,3892,34,0
SC,1,3730,32,0
SC,1,3946,39,0
SC,1,3649,36,0
SC,1,3784,37,0
SC,1,3675,35,0
SC,1,3811,37,0
SC,1,3649,36,0
SC,1,3865,37,0
SC,1,3702,35,0
SC,1,3784,37,0
SC,1,3676,36,0
SC,1,3892,37,0
SC,1,3676,35,0
SC,1,3811,37,0
SC,1,3648,36,0
SC,1,3864,37,0
SC,1,3649,35,0
SC,1,3919,38,0
SC,1,3675,36,0
SC,1,3865,37,0
SC,1,3838,36,0
SC,1,3811,37,0
SC,1,3513,32,0
SC,1,3514,31,0
SC,1,3378,26,0
SC,1,3460,29,0
SC,1,3081,25,0
SC,1,3324,29,0
SC,1,3162,25,0
SC,1,3432,29,0
SC,1,3054,25,0
SC,1,3217,29,0
SC,1,3298,24,0
SC,1,3297,30,0
SC,1,3135,25,0
SC,1,3379,29,0
SC,1,3162,24,0
SC,1,3432,29,0
SC,1,3162,25,0
SC,1,4487,36,0
SC,1,3730,31,0
SC,1,3622,28,0
SC,1,3243,26,0
SC,1,2946,23,0
SC,1,2918,21,0
SC,1,2892,23,0
SC,1,4081,21,0
SC,1,3811,24,0
SC,1,2703,21,0
SC,1,2946,22,0
SC,1,2675,21,0
SC,1,3027,23,0
SC,1,2730,22,0
SC,1,3162,23,0
SC,1,2676,21,0
SC,1,3054,23,0
SC,1,2702,21,0
SC,1,3217,23,0
SC,1,2730,21,0
SC,1,4000,42,0
SC,1,2838,23,0
SC,1,3567,26,0
SC,1,2838,23,0
SC,1,3405,27,0
SC,1,2838,23,0
SC,1,3405,26,0
SC,1,2837,23,0
SC,1,3352,26,0
SC,1,2892,24,0
SC,1,3406,27,0
SC,1,2946,23,0
SC,1,3541,26,0
SC,1,2811,23,0
SC,1,3595,26,0
SC,1,2919,23,0
SC,1,3649,26,0
SC,1,3055,23,0
SC,1,3540,26,0
SC,1,3838,41,0
SC,1,3648,27,0
SC,1,2811,23,0
SC,1,3405,26,0
SC,1,2865,23,0
SC,1,3459,28,0
SC,1,2973,25,0
SC,1,3459,28,0
SC,1,2946,24,0
SC,1,3621,28,0
SC,1,3054,24,0
SC,1,3486,28,0
SC,1,3000,24,0
SC,1,2892,23,0
SC,1,3189,25,0
SC,1,3297,20,0
SC,1,3270,25,0
SC,1,3081,24,0
SC,1,3108,24,0
SC,1,3595,36,0
SC,1,3649,31,0
SC,1,2946,24,0
SC,1,3567,29,0
SC,1,3108,24,0
SC,1,3649,28,0
SC,1,2864,23,0
SC,1,3378,26,0
SC,1,2838,23,0
SC,1,3540,26,0
SC,1,3000,23,0
SC,1,3567,26,0
SC,1,2837,23,0
SC,1,3676,26,0
SC,1,2946,24,0
SC,1,3622,26,0
SC,1,3000,23,0
SC,1,3541,26,0
SC,1,2811,23,0
SC,1,4216,42,0
SC,1,2729,21,0
SC,1,3459,28,0
SC,1,2865,21,0
SC,1,3513,28,0
SC,1,2703,21,0
SC,1,4324,32,0
SC,1,2730,20,0
SC,1,3379,27,0
SC,1,2810,21,0
SC,1,3622,28,0
SC,1,2729,21,0
SC,1,3649,28,0
SC,1,2729,21,0
SC,1,3730,30,0
SC,1,2892,21,0
SC,1,3676,28,0
SC,1,2703,21,0
SC,1,3595,28,0
SC,1,3675,36,0
SC,1,3676,28,0
SC,1,3297,26,0
SC,1,3729,28,0
SC,1,2568,22,0
SC,1,2081,16,0
SC,1,4162,32,0
SC,1,2946,23,0
SC,1,3189,22,0
SC,1,3027,23,0
SC,1,2919,22,0
SC,1,2973,25,0
SC,1,3135,22,0
SC,1,3000,24,0
SC,1,2919,22,0
SC,1,2946,24,0
SC,1,2892,23,0
SC,1,3000,24,0
SC,1,2892,22,0
SC,1,2919,24,0
SC,1,3946,43,0
SC,1,3675,31,0
SC,1,3757,38,0
SC,1,4108,33,0
SC,1,3486,25,0
SC,1,3757,31,0
SC,1,3432,27,0
SC,1,3973,36,0
SC,1,3378,25,0
SC,1,3784,33,0
SC,1,3243,26,0
SC,1,3405,32,0
SC,1,3351,25,0
SC,1,3622,31,0
SC,1,3459,26,0
SC,1,3405,31,0
SC,1,3324,26,0
SC,1,3514,31,0
SC,1,3244,26,0
SC,1,4540,47,0
SC,1,3189,24,0
SC,1,4811,40,0
SC,1,9702,30,0
SC,1,4135,43,0
SC,1,3351,27,0
SC,1,2757,23,0
SC,1,3730,30,0
SC,1,4487,39,0
SC,1,3568,25,0
SC,1,3568,29,0
SC,1,3298,23,0
SC,1,3459,29,0
SC,1,4135,34,0
SC,1,2919,18,0
SC,1,2838,22,0
SC,1,3486,27,0
SC,1,2865,22,0
SC,1,3352,27,0
SC,1,3487,32,0
SC,1,4189,35,0
SC,1,3487,25,0
SC,1,4514,44,0
SC,1,3162,24,0
SC,1,4406,42,0
SC,1,4189,27,0
SC,1,5000,43,0
SC,1,4108,32,0
SC,1,4649,37,0
SC,1,4162,23,0
SC,1,5217,35,0
SC,1,2892,20,0
SC,1,3595,26,0
SC,1,3108,21,0
SC,1,4027,31,0
SC,1,3216,21,0
SC,1,4162,31,0
SC,1,3108,21,0
SC,1,5027,47,0
SC,1,4514,28,0
SC,1,3946,32,0
SC,1,3649,22,0
SC,1,4216,30,0
SC,1,3892,23,0
SC,1,4270,30,0
SC,1,4189,31,0
SC,1,4595,33,0
SC,1,3162,24,0
SC,1,4109,34,0
SC,1,3379,22,0
SC,1,4136,32,0
SC,1,3730,21,0
SC,1,4297,34,0
SC,1,3648,21,0
SC,1,4487,34,0
SC,1,3190,21,0
SC,1,4298,33,0
SC,1,4379,40,0
SC,1,4406,33,0
SC,1,3513,24,0
SC,1,3432,25,0
SC,1,3459,21,0
SC,1,3811,21,0
SC,1,3298,23,0
SC,1,3919,26,0
SC,1,3513,23,0
SC,1,3216,22,0
SC,1,3891,23,0
SC,1,3649,28,0
SC,1,3730,25,0
SC,1,4190,32,0
SC,1,3892,27,0
SC,1,3621,26,0
SC,1,3838,25,0
SC,1,3892,23,0
SC,1,3892,26,0
SC,1,6487,37,0
SC,1,3379,20,0
SC,1,3703,28,0
SC,1,4135,28,0
SC,1,4108,23,0
SC,1,2757,20,0
SC,1,3946,22,0
SC,1,4000,21,0
SC,1,4054,22,0
SC,1,4378,23,0
SC,1,4811,29,0
SC,1,5135,28,0
SC,1,3405,22,0
SC,1,4378,25,0
SC,1,3486,22,0
SC,1,3946,26,0
SC,1,3594,22,0
SC,1,4108,25,0
SC,1,4487,28,0
SC,1,4189,25,0
SC,1,8730,44,0
SC,1,4811,24,0
SC,1,5378,26,0
SC,1,4378,23,0
SC,1,4081,24,0
SC,1,3702,22,0
SC,1,4676,25,0
SC,1,3811,29,0
SC,1,3432,25,0
SC,1,3216,25,0
SC,1,3460,26,0
SC,1,3082,23,0
SC,1,3730,26,0
SC,1,3594,22,0
SC,1,4135,22,0
SC,1,2945,19,0
SC,1,2919,20,0
SC,1,3891,24,0
SC,1,3108,16,0
SC,1,4540,37,0
SC,1,3973,25,0
SC,1,3865,23,0
SC,1,3189,19,0
SC,1,3837,24,0
SC,1,3108,21,0
SC,1,3892,22,0
SC,1,3730,19,0
SC,1,2810,17,0
SC,1,4297,30,0
SC,1,3486,22,0
SC,1,4216,33,0
SC,1,2324,16,0
SC,1,3135,21,0
SC,1,2325,16,0
SC,1,3027,21,0
SC,1,2487,16,0
SC,1,3135,21,0
SC,1,2324,16,0
SC,1,3621,31,0
SC,1,3027,23,0
SC,1,3324,26,0
SC,1,2891,23,0
SC,1,3135,23,0
SC,1,3324,23,0
SC,1,3216,23,0
SC,1,2919,22,0
SC,1,3108,25,0
SC,1,3621,27,0
SC,1,3027,25,0
SC,1,3216,25,0
SC,1,3190,24,0
SC,1,3108,23,0
SC,1,3189,24,0
SC,1,3162,23,0
SC,1,3136,24,0
SC,1,3108,23,0
SC,1,3189,24,0
SC,1,5919,34,0
SC,1,3811,29,0
SC,1,3378,23,0
SC,1,3216,22,0
SC,1,4784,24,0
SC,1,3648,25,0
SC,1,2865,19,0
SC,1,3271,20,0
SC,1,3135,21,0
SC,1,3000,19,0
SC,1,2837,21,0
