Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4057838,1098,9
PART,1,4032784,1360,16
PART,2,3839892,3045,19
PART,3,3664648,233,4
PART,4,6493135,1512,29
PART,5,4645622,2130,19
PART,6,3988189,1199,8
PART,7,4927135,180,5
PART,8,4329189,9917,31
PART,9,6510163,7006,11
PART,0,4038676,827,9
PART,1,3998973,728,16
PART,2,3717730,455,19
PART,3,3660109,140,4
PART,4,6474189,1189,29
PART,5,4596162,1579,19
PART,6,3935622,4651,8
PART,7,4925243,142,5
PART,8,4327054,9887,31
PART,9,6462189,1223,11
PART,0,4019270,490,9
PART,1,3986918,574,16
PART,2,3717433,446,19
PART,3,3663514,130,4
PART,4,6456270,1012,29
PART,5,4582486,1402,19
PART,6,3934540,4617,8
PART,7,4924892,134,5
PART,8,4327108,9880,31
PART,9,6461405,1091,12
PART,0,4018216,447,9
PART,1,3987703,557,16
PART,2,3717487,443,19
PART,3,3664973,127,4
PART,4,6455811,997,29
PART,5,4579919,1393,19
PART,6,3934027,4614,8
PART,7,4924487,118,5
PART,8,4327109,9881,31
PART,9,6460864,1018,11
PART,0,4016919,428,9
PART,1,3989189,564,16
PART,2,3716757,428,19
PART,3,3659027,128,4
PART,4,6454810,1001,29
PART,5,4581784,1407,19
PART,6,3933649,4619,8
PART,7,4924622,135,5
PART,8,4326946,9878,31
PART,9,6460568,1013,11
PART,0,4015811,412,9
PART,1,3984324,554,16
PART,2,3717460,429,19
PART,3,3663271,126,4
PART,4,6455730,985,29
PART,5,4578568,1381,19
PART,6,3933594,4616,8
PART,7,4925108,116,5
PART,8,4326676,9878,31
PART,9,6461784,1032,11
PART,0,4016081,412,9
PART,1,3984892,560,16
PART,2,3716811,423,19
PART,3,3658865,122,4
PART,4,6455649,994,29
PART,5,4580946,1408,19
PART,6,3933703,4618,8
PART,7,4925162,123,5
PART,8,4326703,9879,31
PART,9,6460513,1002,11
PART,0,4016433,414,9
PART,1,3986919,554,16
PART,2,3801243,422,19
PART,3,3663838,125,4
PART,4,6452837,981,29
PART,5,4577567,1386,19
PART,6,3933892,4616,8
PART,7,4924757,133,5
PART,8,4327189,9876,31
PART,9,6460703,976,11
PART,0,4029811,628,9
PART,1,4000567,680,16
PART,2,3725594,585,19
