Type,Id,ExecTime,l2Miss,tlbMiss
IntINT,1,5621,71,0
IntINT,1,2406,18,0
IntINT,1,4892,48,0
IntINT,1,2270,15,0
IntINT,1,2325,15,0
IntINT,1,4595,45,0
IntINT,1,2027,15,0
IntINT,1,2298,18,0
IntINT,1,2000,15,0
IntINT,1,2027,16,0
IntINT,1,2298,17,0
IntINT,1,2027,15,0
IntINT,1,2000,15,0
IntINT,1,2298,17,0
IntINT,1,2027,15,0
IntINT,1,2000,15,0
IntINT,1,2298,17,0
IntINT,1,4243,45,0
IntINT,1,2000,15,0
IntINT,1,2324,17,0
IntINT,1,2000,15,0
IntINT,1,1973,15,0
IntINT,1,2000,15,0
IntINT,1,2027,15,0
IntINT,1,2000,15,0
IntINT,1,1973,16,0
IntINT,1,2027,15,0
IntINT,1,2055,15,0
IntINT,1,2054,15,0
IntINT,1,2000,15,0
IntINT,1,2000,15,0
IntINT,1,1973,15,0
IntINT,1,2027,15,0
IntINT,1,2027,16,0
IntINT,1,2027,15,0
IntINT,1,2000,15,0
IntINT,1,3973,39,0
IntINT,1,2027,12,0
IntINT,1,2054,15,0
IntINT,1,2000,15,0
IntINT,1,2000,16,0
IntINT,1,2000,15,0
IntINT,1,2027,15,0
IntINT,1,2000,16,0
IntINT,1,2000,15,0
IntINT,1,2000,15,0
IntINT,1,2027,15,0
IntINT,1,2027,15,0
IntINT,1,2027,16,0
IntINT,1,2000,15,0
IntINT,1,2000,15,0
IntINT,1,2027,16,0
IntINT,1,1973,15,0
IntINT,1,2000,15,0
IntINT,1,1973,15,0
IntINT,1,1973,15,0
IntINT,1,3297,36,0
IntINT,1,2027,15,0
IntINT,1,2027,15,0
IntINT,1,2000,16,0
IntINT,1,2027,15,0
IntINT,1,1946,15,0
IntINT,1,1973,15,0
IntINT,1,1973,15,0
IntINT,1,2000,16,0
IntINT,1,2000,15,0
IntINT,1,2027,15,0
IntINT,1,2027,16,0
IntINT,1,2027,15,0
IntINT,1,2028,15,0
IntINT,1,2027,15,0
