Type,Id,ExecTime,l2Miss,tlbMiss
SC,1,8594,99,1
SC,1,2189,17,0
SC,1,4351,43,0
SC,1,2081,14,0
SC,1,2027,14,0
SC,1,3919,37,0
SC,1,1865,14,0
SC,1,2243,17,0
SC,1,1918,14,0
SC,1,1892,14,0
SC,1,2352,16,0
SC,1,1919,14,0
SC,1,1919,14,0
SC,1,2325,16,0
SC,1,1892,14,0
SC,1,1865,14,0
SC,1,2243,16,0
SC,1,1865,14,0
SC,1,4027,43,0
SC,1,1892,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1865,14,0
SC,1,1891,14,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1919,14,0
SC,1,1919,14,0
SC,1,1892,14,0
SC,1,1919,14,0
SC,1,1919,15,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,3271,38,0
SC,1,1892,14,0
SC,1,1891,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1892,14,0
SC,1,1864,14,0
SC,1,1865,14,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1892,15,0
SC,1,1892,14,0
SC,1,1919,14,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,3378,38,0
SC,1,1865,14,0
SC,1,1864,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1892,15,0
SC,1,1892,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,3081,18,0
SC,1,1892,12,0
SC,1,1865,12,0
SC,1,1892,14,0
SC,1,3378,37,0
SC,1,1891,14,0
SC,1,1892,13,0
SC,1,1892,13,0
SC,1,1892,14,0
SC,1,1865,13,0
SC,1,1838,13,0
