Type,Id,ExecTime,l2Miss,tlbMiss
PART,1,4092486,1382,16
PART,2,3485621,3048,19
PART,3,3662838,209,4
PART,4,6462783,1218,29
PART,5,4632865,2047,19
PART,6,3984460,1155,15
PART,7,4927865,157,4
PART,8,4330622,9911,31
PART,9,6509405,7003,11
PART,0,4052514,1126,9
PART,1,4064621,1008,16
PART,2,3362081,492,19
PART,3,3658567,114,4
PART,4,6467648,1198,29
PART,5,4588297,1578,19
PART,6,3933108,4804,8
PART,7,4927000,125,4
PART,8,4329027,9885,31
PART,9,6462649,1119,11
PART,0,4023595,588,9
PART,1,4053540,713,16
PART,2,3362811,495,19
PART,3,3658513,121,4
PART,4,6455243,1040,29
PART,5,4564919,1308,19
PART,6,3931622,4871,13
PART,7,4927405,139,4
PART,8,4328838,9878,31
PART,9,6462784,1068,11
PART,0,4016351,478,9
PART,1,4048324,735,16
PART,2,3362649,480,19
PART,3,3658514,114,4
PART,4,6449784,1016,29
PART,5,4563594,1302,19
PART,6,3930297,4862,8
PART,7,4926595,136,4
PART,8,4328811,9878,31
PART,9,6462459,974,11
PART,0,4017487,474,9
PART,1,4050568,730,16
PART,2,3360244,442,19
PART,3,3658378,113,4
PART,4,6452081,1036,29
PART,5,4565054,1303,19
PART,6,3930622,4859,15
PART,7,4927000,140,4
PART,8,4328784,9877,31
PART,9,6462162,993,11
PART,0,4015270,461,9
PART,1,4047459,696,16
PART,2,3362027,480,19
PART,3,3658297,115,4
PART,4,6452352,1017,29
PART,5,4562216,1274,19
PART,6,3930244,4862,8
PART,7,4926513,137,4
PART,8,4328838,9874,31
PART,9,6461540,876,11
PART,0,4016351,460,9
PART,1,4042405,724,16
PART,2,3361486,474,19
PART,3,3658541,112,4
PART,4,6450702,1025,29
PART,5,4564270,1289,19
PART,6,3930865,4864,8
PART,7,4927000,139,4
PART,8,4328703,9879,31
PART,9,6460189,881,11
PART,0,4015892,459,9
PART,1,4047676,721,16
PART,2,3359973,451,19
