Id,ExecTime,l2Miss,tlbMiss
0,4050865,1089,9
1,4085406,1322,16
2,3735162,3038,19
3,3662432,199,4
4,6472216,1261,29
5,4641243,2097,19
6,3986541,1161,8
7,4926567,168,5
8,4330432,9915,31
9,6511324,6994,11
0,4038891,859,9
1,4072270,1055,16
2,3615729,491,19
3,3661000,103,5
4,6472837,1194,29
5,4591270,1551,19
6,3935351,4639,8
7,4926000,146,5
8,4329459,9889,31
9,6461757,1098,11
0,4028352,681,9
1,4051351,721,16
2,3616757,495,19
3,3662081,113,5
4,6456946,1033,29
5,4569027,1304,19
6,3934216,4803,8
7,4925540,120,5
8,4329081,9881,31
9,6459648,950,11
0,4019000,534,9
1,4049865,726,16
2,3615757,487,19
3,3662784,119,4
4,6455460,1022,29
5,4569324,1317,19
6,3932973,4784,8
7,4925757,141,5
8,4328838,9880,31
9,6461757,943,11
0,4023297,570,9
1,4050838,717,16
2,3613946,466,19
3,3662325,113,4
4,6456865,1025,29
5,4570027,1318,19
6,3932784,4782,8
7,4925783,141,5
8,4329432,9878,31
9,6461189,896,11
0,4022406,543,9
1,4043919,700,16
2,3616027,486,19
3,3662081,108,5
4,6457135,1023,29
5,4568135,1288,19
6,3932892,4776,8
7,4925324,139,5
8,4328973,9873,31
9,6460352,879,11
0,4020298,549,9
1,4042595,709,16
2,3615297,477,19
3,3662432,110,5
4,6454568,1009,29
5,4571027,1330,19
6,3932189,4778,8
7,4926081,143,5
8,4328865,9875,31
9,6460567,885,11
0,4019892,525,9
1,4057595,714,16
2,3613865,444,19
3,3665216,110,4
4,6457595,1019,29
5,4567838,1295,19
6,3932757,4775,8
7,4924865,134,5
8,4329190,9878,31
9,6459189,838,11
0,4029135,654,9
1,4049811,734,16
2,3618730,553,19
3,3664838,125,4
4,6457973,1043,29
5,4573973,1369,19
6,3933459,4784,8
7,4925540,140,5
8,4329027,9877,31
9,6462675,1172,11
0,4024757,597,9
1,4042486,692,16
2,3615487,488,19
3,3662325,119,4
4,6457595,1022,29
5,4570459,1309,19
6,3932351,4764,8
7,4925433,136,5
8,4328919,9877,31
9,6459054,871,11
0,4019649,527,9
1,4056243,680,16
2,3613649,452,19
3,3664811,107,5
4,6456270,1016,29
5,4567837,1313,19
6,3932487,4776,8
7,4925324,119,5
8,4328703,9875,31
9,6458514,833,11
0,4019675,509,9
1,4044081,665,16
2,3614784,473,19
3,3662514,111,4
4,6456379,1025,29
5,4566162,1267,19
6,3933486,4774,8
7,4925297,137,5
8,4328865,9876,31
9,6459649,894,11
0,4018730,524,9
1,4054648,686,16
2,3614811,474,19
3,3662081,108,5
4,6456378,1001,29
5,4569162,1294,19
6,3934243,4779,8
7,4925676,137,5
8,4328649,9875,31
9,6459000,828,11
0,4016811,495,9
1,4046135,693,16
2,3613136,444,19
3,3662027,105,4
4,6456351,1019,29
5,4565108,1284,19
6,3937487,4778,8
7,4925703,120,5
8,4328487,9875,31
9,6458513,844,11
0,4017784,513,9
1,4048270,674,16
2,3614892,471,19
3,3664810,112,5
4,6455270,1007,29
5,4564459,1268,19
6,3941757,4779,8
7,4925513,137,5
8,4328622,9875,31
9,6459189,830,11
0,4017379,497,9
1,4046000,696,16
2,3614946,470,19
3,3662541,113,5
4,6455513,1004,29
5,4565838,1280,19
6,3945028,4776,8
7,4925568,138,5
8,4328864,9875,31
9,6458865,830,11
0,4028946,660,9
1,4052675,730,16
2,3617162,538,19
3,3664757,123,4
4,6458729,1057,29
5,4573081,1375,19
6,3946486,4788,8
7,4925622,145,5
8,4329216,9885,31
9,6464270,1340,11
0,4024622,589,9
1,4047513,673,16
2,3615622,491,19
3,3664784,117,4
4,6456217,1026,29
5,4565676,1286,19
6,3946189,4783,8
7,4925486,131,5
8,4328973,9877,31
9,6461297,969,11
0,4017054,499,9
1,4052973,694,16
2,3614703,477,19
3,3664378,108,5
4,6454838,1007,29
5,4568378,1291,19
6,3945838,4783,8
7,4925189,120,5
8,4328757,9876,31
9,6461054,931,11
0,4017486,495,9
1,4048460,680,16
2,3613838,459,19
3,3664811,106,4
4,6458540,1018,29
5,4565054,1272,19
6,3946081,4791,8
7,4924838,116,5
8,4328919,9876,31
9,6460433,884,11
0,4018109,515,9
1,4048027,657,16
2,3615108,475,19
3,3664838,111,5
4,6456621,1018,29
5,4565459,1268,19
6,3945811,4786,8
7,4924865,115,5
8,4328865,9874,31
9,6458432,840,11
0,4019405,505,9
1,4048784,682,16
2,3614540,473,19
3,3664865,114,4
4,6455162,1014,29
5,4568432,1299,19
6,3945919,4785,8
7,4925324,135,5
8,4328594,9875,31
9,6458297,844,11
0,4018460,516,9
1,4045784,670,16
2,3663567,452,19
3,3662378,112,5
4,6454865,1015,29
5,4568297,1291,19
6,3945676,4787,8
7,4925325,133,5
8,4328702,9874,31
9,6459135,853,11
0,4018351,505,9
1,4042892,656,16
2,3615054,477,19
3,3662190,110,4
4,6458541,1030,29
5,4564486,1272,19
6,3945918,4782,8
7,4924973,114,5
8,4329432,9872,31
9,6458162,780,11
0,4028081,645,9
1,4050945,726,16
2,3617648,537,19
3,3662270,124,5
4,6459459,1030,29
5,4572460,1377,19
6,3946082,4794,8
7,4925433,125,5
8,4329270,9879,31
9,6463054,1184,11
0,4025648,594,9
1,4044243,683,16
2,3614162,460,19
3,3665081,114,4
4,6456865,1028,29
5,4569216,1301,19
6,3946298,4768,8
7,4925351,134,5
8,4328622,9872,31
9,6460054,846,11
0,4019081,528,9
1,4042622,663,16
2,3665298,480,19
3,3664973,110,5
4,6454567,998,29
5,4567595,1279,19
6,3945648,4764,8
