Type,Id,ExecTime,l2Miss,tlbMiss
ExtINT,1,18946,252,2
ExtINT,1,8270,87,0
ExtINT,1,8514,83,0
ExtINT,1,8352,78,0
ExtINT,1,8189,81,0
ExtINT,1,8135,77,0
ExtINT,1,8189,82,0
ExtINT,1,8000,77,0
ExtINT,1,9108,83,0
ExtINT,1,8486,80,0
ExtINT,1,8729,81,0
ExtINT,1,8243,78,0
ExtINT,1,9108,89,0
ExtINT,1,9000,85,0
ExtINT,1,7730,70,0
ExtINT,1,8378,83,0
ExtINT,1,8108,72,0
ExtINT,1,8811,86,0
ExtINT,1,7892,71,0
ExtINT,1,8919,85,0
ExtINT,1,7676,71,0
ExtINT,1,8405,83,0
ExtINT,1,7648,71,0
ExtINT,1,8649,84,0
ExtINT,1,7973,73,0
ExtINT,1,8595,84,0
ExtINT,1,7757,71,0
ExtINT,1,8621,83,0
ExtINT,1,7675,70,0
ExtINT,1,8595,84,0
ExtINT,1,7784,72,0
ExtINT,1,9378,89,0
ExtINT,1,8297,77,0
ExtINT,1,8595,81,0
ExtINT,1,8270,76,0
ExtINT,1,8216,80,0
ExtINT,1,7973,74,0
ExtINT,1,8352,80,0
ExtINT,1,7973,76,0
ExtINT,1,8270,79,0
ExtINT,1,8162,78,0
ExtINT,1,10649,75,0
ExtINT,1,8433,68,0
ExtINT,1,9757,69,0
ExtINT,1,9946,73,0
ExtINT,1,6649,55,0
ExtINT,1,8297,65,0
ExtINT,1,6270,55,0
ExtINT,1,7541,64,0
ExtINT,1,6135,54,0
ExtINT,1,7757,72,0
ExtINT,1,8216,84,0
ExtINT,1,7297,67,0
ExtINT,1,20919,241,0
ExtINT,1,15568,109,0
ExtINT,1,16892,132,0
ExtINT,1,21000,139,0
ExtINT,1,17270,113,0
ExtINT,1,16135,108,0
ExtINT,1,15000,100,0
ExtINT,1,16108,114,0
ExtINT,1,15486,105,0
ExtINT,1,15865,107,0
ExtINT,1,15405,106,0
ExtINT,1,15973,113,0
ExtINT,1,14973,101,0
ExtINT,1,15784,108,0
ExtINT,1,15460,107,0
ExtINT,1,15756,108,0
ExtINT,1,15946,111,0
ExtINT,1,15784,112,0
ExtINT,1,14865,98,0
ExtINT,1,16189,112,0
ExtINT,1,15324,105,0
ExtINT,1,15325,109,0
ExtINT,1,15162,104,0
ExtINT,1,16405,112,0
ExtINT,1,14622,96,0
ExtINT,1,15756,110,0
ExtINT,1,15379,104,0
ExtINT,1,15594,108,0
ExtINT,1,15135,103,0
ExtINT,1,15973,111,0
ExtINT,1,15054,97,0
ExtINT,1,15729,110,0
ExtINT,1,15135,104,0
ExtINT,1,15756,109,0
ExtINT,1,14811,102,0
ExtINT,1,15622,113,0
ExtINT,1,14973,100,0
ExtINT,1,15108,104,0
ExtINT,1,15514,106,0
ExtINT,1,15027,103,0
ExtINT,1,15351,106,0
ExtINT,1,15513,106,0
ExtINT,1,15514,100,0
ExtINT,1,15351,103,0
ExtINT,1,15540,108,0
ExtINT,1,15027,103,0
ExtINT,1,15459,106,0
ExtINT,1,15243,107,0
ExtINT,1,17243,107,0
ExtINT,1,15459,96,0
ExtINT,1,15216,104,0
ExtINT,1,14379,95,0
ExtINT,1,14946,103,0
ExtINT,1,15000,100,0
ExtINT,1,15486,108,0
ExtINT,1,17648,115,0
ExtINT,1,14676,93,0
ExtINT,1,15027,101,0
ExtINT,1,14054,91,0
ExtINT,1,15054,104,0
ExtINT,1,14243,90,0
ExtINT,1,15352,101,0
ExtINT,1,14109,89,0
ExtINT,1,15351,101,0
ExtINT,1,14054,91,0
ExtINT,1,14946,101,0
ExtINT,1,14460,89,0
ExtINT,1,15163,102,0
ExtINT,1,14108,91,0
ExtINT,1,15514,101,0
ExtINT,1,14325,90,0
ExtINT,1,14811,101,0
ExtINT,1,15324,105,0
ExtINT,1,13946,91,0
ExtINT,1,14811,102,0
ExtINT,1,14486,93,0
ExtINT,1,14946,98,0
ExtINT,1,14217,93,0
ExtINT,1,15054,101,0
ExtINT,1,14081,91,0
ExtINT,1,15945,106,0
ExtINT,1,14297,92,0
ExtINT,1,14919,98,0
ExtINT,1,14432,93,0
ExtINT,1,14892,99,0
ExtINT,1,13811,91,0
ExtINT,1,14865,101,0
ExtINT,1,14298,94,0
ExtINT,1,14838,98,0
ExtINT,1,14162,92,0
ExtINT,1,15054,100,0
ExtINT,1,14973,98,0
ExtINT,1,15216,105,0
ExtINT,1,13351,88,0
ExtINT,1,15324,105,0
ExtINT,1,14081,91,0
ExtINT,1,14676,99,0
ExtINT,1,13972,90,0
ExtINT,1,15027,106,0
ExtINT,1,13892,90,0
ExtINT,1,15325,104,0
ExtINT,1,14216,92,0
ExtINT,1,15081,100,0
ExtINT,1,16702,104,0
ExtINT,1,15054,96,0
ExtINT,1,14189,95,0
ExtINT,1,14594,100,0
ExtINT,1,13784,93,0
ExtINT,1,14433,95,0
ExtINT,1,14433,95,0
ExtINT,1,15973,104,0
ExtINT,1,17216,110,0
ExtINT,1,13757,87,0
ExtINT,1,14865,103,0
ExtINT,1,14108,88,0
ExtINT,1,15027,100,0
ExtINT,1,13784,90,0
ExtINT,1,15270,103,0
ExtINT,1,14352,88,0
ExtINT,1,15109,101,0
ExtINT,1,14352,91,0
ExtINT,1,15108,101,0
ExtINT,1,14027,90,0
ExtINT,1,15135,104,0
ExtINT,1,14378,87,0
ExtINT,1,14973,103,0
ExtINT,1,14135,90,0
ExtINT,1,14946,101,0
ExtINT,1,15433,99,0
ExtINT,1,16000,108,0
ExtINT,1,15487,104,0
ExtINT,1,15757,111,0
ExtINT,1,14540,92,0
ExtINT,1,15730,109,0
ExtINT,1,15649,102,0
ExtINT,1,15945,107,0
ExtINT,1,15784,104,0
ExtINT,1,15918,106,0
ExtINT,1,15649,105,0
ExtINT,1,15216,103,0
ExtINT,1,14757,103,0
ExtINT,1,15189,99,0
ExtINT,1,15000,99,0
ExtINT,1,14676,96,0
ExtINT,1,14568,97,0
ExtINT,1,14973,100,0
ExtINT,1,14541,97,0
ExtINT,1,14946,103,0
ExtINT,1,15649,110,0
ExtINT,1,15162,99,0
ExtINT,1,29838,109,0
ExtINT,1,15648,106,0
ExtINT,1,15676,107,0
ExtINT,1,15811,108,0
ExtINT,1,22351,107,0
ExtINT,1,15405,105,0
ExtINT,1,18000,112,0
ExtINT,1,16189,107,0
ExtINT,1,14081,92,0
ExtINT,1,15189,101,0
ExtINT,1,14270,91,0
ExtINT,1,14919,102,0
ExtINT,1,14000,87,0
ExtINT,1,14621,103,0
ExtINT,1,14540,93,0
ExtINT,1,14541,100,0
ExtINT,1,18216,119,0
ExtINT,1,16243,108,0
ExtINT,1,15054,97,0
ExtINT,1,15567,102,0
ExtINT,1,15351,102,0
ExtINT,1,15027,101,0
ExtINT,1,15027,101,0
ExtINT,1,15865,106,0
ExtINT,1,15378,100,0
ExtINT,1,15432,97,0
ExtINT,1,15081,98,0
