Type,Id,ExecTime,l2Miss,tlbMiss
IPI,1,9162,106,0
IPI,1,2730,19,0
IPI,1,6162,55,0
IPI,1,7838,78,0
IPI,1,6783,63,0
IPI,1,6432,58,0
IPI,1,8000,83,0
IPI,1,7000,62,0
IPI,1,7136,69,0
IPI,1,6865,62,0
IPI,1,6838,67,0
IPI,1,6838,62,0
IPI,1,6919,68,0
IPI,1,6730,64,0
IPI,1,6946,67,0
IPI,1,7000,61,0
IPI,1,7108,69,0
IPI,1,6459,63,0
IPI,1,6541,57,0
IPI,1,7162,68,0
IPI,1,6514,54,0
IPI,1,6892,68,0
IPI,1,6621,55,0
IPI,1,6946,69,0
IPI,1,6540,55,0
IPI,1,7000,69,0
IPI,1,6378,55,0
IPI,1,7189,68,0
IPI,1,6513,55,0
IPI,1,7027,68,0
IPI,1,6352,55,0
IPI,1,7162,68,0
IPI,1,6649,55,0
IPI,1,7082,66,0
IPI,1,6541,55,0
IPI,1,7081,68,0
IPI,1,7244,59,0
IPI,1,6297,62,0
IPI,1,6676,58,0
IPI,1,6541,66,0
IPI,1,6756,60,0
IPI,1,6540,65,0
IPI,1,6703,58,0
IPI,1,6675,69,0
IPI,1,6594,56,0
IPI,1,6000,53,0
IPI,1,6325,50,0
IPI,1,5784,53,0
IPI,1,5919,48,0
IPI,1,6405,55,0
IPI,1,4757,37,0
IPI,1,6352,53,0
IPI,1,5243,41,0
IPI,1,5676,48,0
IPI,1,5190,41,0
IPI,1,5946,52,0
IPI,1,7216,74,0
IPI,1,6000,51,0
IPI,1,6703,71,0
IPI,1,5892,53,0
IPI,1,6892,75,0
IPI,1,5730,52,0
IPI,1,10108,71,0
IPI,1,7352,55,0
IPI,1,5324,49,0
IPI,1,6487,56,0
IPI,1,5757,48,0
IPI,1,5540,50,0
IPI,1,5621,49,0
IPI,1,6027,53,0
IPI,1,5054,45,0
IPI,1,6027,53,0
IPI,1,5513,50,0
IPI,1,5757,49,0
IPI,1,5622,49,0
IPI,1,6541,63,0
IPI,1,5433,46,0
IPI,1,6514,54,0
IPI,1,6081,50,0
IPI,1,5622,47,0
IPI,1,5622,48,0
IPI,1,5919,52,0
IPI,1,5081,44,0
IPI,1,6162,54,0
IPI,1,5919,49,0
IPI,1,5594,50,0
IPI,1,5676,48,0
IPI,1,6324,54,0
IPI,1,5378,44,0
IPI,1,6270,53,0
IPI,1,5459,48,0
IPI,1,5973,51,0
IPI,1,5676,49,0
IPI,1,6162,54,0
IPI,1,5811,49,0
IPI,1,5459,48,0
IPI,1,6216,51,0
IPI,1,4946,43,0
IPI,1,6243,51,0
IPI,1,5540,48,0
IPI,1,5595,48,0
IPI,1,5487,48,0
IPI,1,5892,51,0
IPI,1,5135,44,0
IPI,1,5865,51,0
IPI,1,5513,46,0
IPI,1,5540,47,0
IPI,1,5676,47,0
IPI,1,5271,43,0
IPI,1,5541,50,0
IPI,1,4784,42,0
IPI,1,5783,50,0
IPI,1,5189,45,0
IPI,1,6189,63,0
IPI,1,5568,45,0
IPI,1,7919,55,0
IPI,1,5676,52,0
IPI,1,4919,37,0
IPI,1,5324,47,0
IPI,1,5243,38,0
IPI,1,5567,45,0
IPI,1,4946,38,0
IPI,1,5351,48,0
IPI,1,4919,39,0
IPI,1,5648,48,0
IPI,1,4946,38,0
IPI,1,5514,49,0
IPI,1,4919,38,0
IPI,1,5513,48,0
IPI,1,4865,38,0
IPI,1,5433,48,0
IPI,1,4784,39,0
IPI,1,5459,49,0
IPI,1,5973,56,0
IPI,1,5325,42,0
IPI,1,5568,45,0
IPI,1,5325,43,0
IPI,1,5838,47,0
IPI,1,4459,38,0
IPI,1,5973,49,0
IPI,1,4973,41,0
IPI,1,5568,44,0
IPI,1,5378,42,0
IPI,1,5973,48,0
IPI,1,4567,38,0
IPI,1,5784,47,0
IPI,1,5054,41,0
IPI,1,5486,45,0
IPI,1,5162,41,0
IPI,1,5811,48,0
IPI,1,4405,39,0
IPI,1,10027,60,0
IPI,1,4136,34,0
IPI,1,5730,51,0
IPI,1,4811,37,0
IPI,1,5594,49,0
IPI,1,4946,39,0
IPI,1,5838,52,0
IPI,1,4081,35,0
