Type,Id,ExecTime,l2Miss,tlbMiss
IntINT,1,8460,104,0
IntINT,1,7946,77,0
IntINT,1,6568,60,0
IntINT,1,7352,74,0
IntINT,1,7379,68,0
IntINT,1,6757,58,0
IntINT,1,7027,67,0
IntINT,1,6945,63,0
IntINT,1,6730,65,0
IntINT,1,6486,59,0
IntINT,1,6919,66,0
IntINT,1,6811,62,0
IntINT,1,6892,65,0
IntINT,1,6514,61,0
IntINT,1,7297,67,0
IntINT,1,7324,67,0
IntINT,1,6729,58,0
IntINT,1,7054,66,0
IntINT,1,6270,55,0
IntINT,1,7000,68,0
IntINT,1,6298,54,0
IntINT,1,7162,67,0
IntINT,1,6703,54,0
IntINT,1,6784,68,0
IntINT,1,6595,53,0
IntINT,1,6973,66,0
IntINT,1,6243,54,0
IntINT,1,7054,65,0
IntINT,1,6459,54,0
IntINT,1,6865,66,0
IntINT,1,6325,54,0
IntINT,1,6946,66,0
IntINT,1,6324,53,0
IntINT,1,7162,66,0
IntINT,1,6675,58,0
IntINT,1,6514,63,0
IntINT,1,7109,58,0
IntINT,1,6568,60,0
IntINT,1,7027,58,0
IntINT,1,6595,64,0
IntINT,1,7189,59,0
IntINT,1,7838,67,0
IntINT,1,7567,59,0
IntINT,1,7352,63,0
IntINT,1,8405,55,0
IntINT,1,8675,55,0
IntINT,1,7784,52,0
IntINT,1,6081,36,0
IntINT,1,6459,55,0
IntINT,1,5055,40,0
IntINT,1,5595,49,0
IntINT,1,5270,41,0
IntINT,1,6190,50,0
IntINT,1,4649,37,0
IntINT,1,6108,52,0
IntINT,1,6730,69,0
IntINT,1,5946,51,0
IntINT,1,7162,73,0
IntINT,1,5973,50,0
IntINT,1,6784,65,0
IntINT,1,5622,49,0
IntINT,1,6162,55,0
IntINT,1,5271,46,0
IntINT,1,6190,55,0
IntINT,1,5433,48,0
IntINT,1,5676,47,0
IntINT,1,5595,47,0
IntINT,1,6162,52,0
IntINT,1,5189,43,0
IntINT,1,6054,51,0
IntINT,1,5567,47,0
IntINT,1,5270,47,0
IntINT,1,5486,48,0
IntINT,1,6405,59,0
IntINT,1,5243,44,0
IntINT,1,6433,53,0
IntINT,1,5595,48,0
IntINT,1,5730,48,0
IntINT,1,5946,47,0
IntINT,1,6081,49,0
IntINT,1,5054,43,0
IntINT,1,6027,52,0
IntINT,1,5703,47,0
IntINT,1,5649,49,0
IntINT,1,5567,48,0
IntINT,1,6378,52,0
IntINT,1,5135,43,0
IntINT,1,6325,52,0
IntINT,1,5595,47,0
IntINT,1,5649,49,0
IntINT,1,5675,47,0
IntINT,1,6649,60,0
IntINT,1,5676,47,0
IntINT,1,5325,46,0
IntINT,1,6000,50,0
IntINT,1,5027,43,0
IntINT,1,5973,50,0
IntINT,1,5703,46,0
IntINT,1,5514,46,0
IntINT,1,5487,46,0
IntINT,1,5676,51,0
IntINT,1,4702,41,0
IntINT,1,5892,50,0
IntINT,1,5108,45,0
IntINT,1,6243,46,0
IntINT,1,7946,50,0
IntINT,1,6243,48,0
IntINT,1,4676,40,0
IntINT,1,5864,49,0
IntINT,1,5189,44,0
IntINT,1,5459,44,0
IntINT,1,5432,51,0
IntINT,1,5919,52,0
IntINT,1,5406,46,0
IntINT,1,5244,45,0
IntINT,1,4676,36,0
IntINT,1,5541,45,0
IntINT,1,4892,36,0
IntINT,1,5405,45,0
IntINT,1,5892,40,0
IntINT,1,5433,43,0
IntINT,1,4865,37,0
IntINT,1,5216,46,0
IntINT,1,4946,38,0
IntINT,1,5351,46,0
IntINT,1,4946,37,0
IntINT,1,5270,47,0
IntINT,1,5271,37,0
IntINT,1,5297,46,0
IntINT,1,7838,38,0
IntINT,1,4811,46,0
IntINT,1,6000,48,0
IntINT,1,4838,40,0
IntINT,1,5567,45,0
IntINT,1,5216,41,0
IntINT,1,5783,46,0
IntINT,1,4324,37,0
IntINT,1,5730,45,0
IntINT,1,4973,40,0
IntINT,1,5594,43,0
IntINT,1,4973,40,0
IntINT,1,5784,46,0
IntINT,1,4459,38,0
IntINT,1,5946,46,0
IntINT,1,5000,40,0
IntINT,1,5216,42,0
IntINT,1,5243,40,0
IntINT,1,5756,47,0
IntINT,1,4432,37,0
IntINT,1,6324,57,0
IntINT,1,3892,33,0
IntINT,1,5865,50,0
IntINT,1,4865,34,0
IntINT,1,5622,48,0
IntINT,1,4784,35,0
IntINT,1,5864,50,0
IntINT,1,3973,32,0
IntINT,1,5919,50,0
IntINT,1,4919,35,0
IntINT,1,5621,46,0
IntINT,1,4946,35,0
IntINT,1,7946,52,0
IntINT,1,5216,39,0
IntINT,1,5351,43,0
IntINT,1,4244,37,0
IntINT,1,5379,43,0
IntINT,1,5108,40,0
IntINT,1,4946,40,0
IntINT,1,5081,40,0
IntINT,1,6000,54,0
IntINT,1,4594,34,0
IntINT,1,5865,50,0
IntINT,1,5027,38,0
IntINT,1,5540,48,0
IntINT,1,4973,38,0
IntINT,1,5810,49,0
IntINT,1,4649,34,0
IntINT,1,5676,48,0
IntINT,1,4946,38,0
IntINT,1,5027,44,0
IntINT,1,5000,38,0
IntINT,1,5757,48,0
IntINT,1,4622,34,0
IntINT,1,5973,49,0
IntINT,1,4811,38,0
IntINT,1,5325,44,0
IntINT,1,4892,38,0
IntINT,1,7216,57,0
IntINT,1,5109,42,0
IntINT,1,6081,49,0
IntINT,1,5784,45,0
IntINT,1,6162,52,0
IntINT,1,5729,41,0
IntINT,1,6919,58,0
IntINT,1,5487,37,0
IntINT,1,6000,47,0
IntINT,1,6568,53,0
IntINT,1,5135,42,0
IntINT,1,5459,45,0
IntINT,1,5892,45,0
IntINT,1,5541,45,0
IntINT,1,4919,38,0
IntINT,1,6189,44,0
IntINT,1,5351,42,0
IntINT,1,4513,39,0
IntINT,1,5432,42,0
IntINT,1,6324,58,0
IntINT,1,6162,52,0
IntINT,1,6108,42,0
IntINT,1,12973,46,0
IntINT,1,6648,57,0
IntINT,1,6811,55,0
IntINT,1,5946,49,0
IntINT,1,9729,39,0
IntINT,1,5946,49,0
IntINT,1,8027,51,0
IntINT,1,7189,52,0
IntINT,1,5730,47,0
IntINT,1,4406,34,0
IntINT,1,5973,49,0
IntINT,1,4270,33,0
IntINT,1,5702,46,0
IntINT,1,5189,36,0
IntINT,1,5486,43,0
IntINT,1,4919,37,0
IntINT,1,8649,62,0
IntINT,1,4676,35,0
IntINT,1,5621,43,0
IntINT,1,5270,43,0
IntINT,1,5324,43,0
IntINT,1,4973,39,0
IntINT,1,5513,41,0
IntINT,1,5108,41,0
IntINT,1,5919,44,0
IntINT,1,4811,35,0
IntINT,1,5000,40,0
IntINT,1,4730,34,0
IntINT,1,5567,42,0
IntINT,1,4513,30,0
IntINT,1,5351,42,0
IntINT,1,4811,35,0
IntINT,1,5135,39,0
IntINT,1,4648,34,0
IntINT,1,5730,42,0
IntINT,1,5271,32,0
IntINT,1,5649,45,0
IntINT,1,5460,46,0
IntINT,1,5622,44,0
IntINT,1,5702,46,0
IntINT,1,5513,43,0
IntINT,1,5595,46,0
IntINT,1,5595,43,0
IntINT,1,5271,46,0
IntINT,1,5595,45,0
IntINT,1,4973,38,0
IntINT,1,5567,42,0
IntINT,1,4973,38,0
IntINT,1,5297,41,0
IntINT,1,4757,35,0
IntINT,1,5621,41,0
IntINT,1,4703,34,0
IntINT,1,5514,41,0
IntINT,1,4757,34,0
IntINT,1,6000,48,0
IntINT,1,4514,37,0
IntINT,1,5108,38,0
IntINT,1,4730,37,0
IntINT,1,5514,47,0
IntINT,1,5703,46,0
IntINT,1,9054,49,0
IntINT,1,5190,35,0
IntINT,1,5595,43,0
IntINT,1,4622,36,0
IntINT,1,5000,39,0
IntINT,1,6784,41,0
IntINT,1,5541,37,0
IntINT,1,5081,36,0
IntINT,1,5324,40,0
IntINT,1,5540,46,0
IntINT,1,3919,28,0
IntINT,1,5568,45,0
IntINT,1,4621,30,0
IntINT,1,6540,46,0
IntINT,1,5784,49,0
IntINT,1,5622,42,0
IntINT,1,7324,46,0
IntINT,1,6136,45,0
IntINT,1,6162,45,0
IntINT,1,5973,51,0
IntINT,1,5487,39,0
IntINT,1,6054,49,0
IntINT,1,5703,46,0
IntINT,1,5973,51,0
IntINT,1,5162,42,0
IntINT,1,6270,55,0
IntINT,1,5055,37,0
IntINT,1,6081,52,0
IntINT,1,5108,40,0
IntINT,1,5541,48,0
IntINT,1,5081,41,0
IntINT,1,5946,52,0
IntINT,1,4648,36,0
IntINT,1,7405,48,0
IntINT,1,7838,47,0
IntINT,1,8135,45,0
IntINT,1,5676,38,0
IntINT,1,7162,41,0
IntINT,1,6351,42,0
IntINT,1,7216,40,0
IntINT,1,5297,43,0
IntINT,1,5540,41,0
IntINT,1,5378,44,0
IntINT,1,5783,43,0
IntINT,1,5162,42,0
IntINT,1,5729,43,0
IntINT,1,5297,45,0
IntINT,1,5405,39,0
IntINT,1,5270,43,0
IntINT,1,5756,43,0
IntINT,1,4892,40,0
IntINT,1,5514,42,0
IntINT,1,6028,55,0
IntINT,1,8919,51,0
IntINT,1,6946,57,0
IntINT,1,5838,44,0
IntINT,1,5027,42,0
IntINT,1,6351,45,0
IntINT,1,5081,40,0
IntINT,1,5513,43,0
IntINT,1,5108,43,0
IntINT,1,5541,44,0
IntINT,1,5703,48,0
IntINT,1,5000,38,0
IntINT,1,6568,62,0
IntINT,1,5055,37,0
IntINT,1,6595,60,0
IntINT,1,5298,39,0
IntINT,1,6081,54,0
IntINT,1,5162,39,0
IntINT,1,6136,57,0
IntINT,1,5189,39,0
IntINT,1,5378,46,0
IntINT,1,5054,38,0
IntINT,1,5918,46,0
IntINT,1,5541,40,0
IntINT,1,4811,36,0
IntINT,1,6082,41,0
IntINT,1,5216,39,0
IntINT,1,5027,36,0
IntINT,1,5973,46,0
IntINT,1,5622,41,0
IntINT,1,4568,32,0
IntINT,1,5298,40,0
IntINT,1,4757,34,0
IntINT,1,5324,41,0
IntINT,1,4810,32,0
IntINT,1,5378,41,0
IntINT,1,4892,34,0
IntINT,1,5406,41,0
IntINT,1,8081,44,0
IntINT,1,5649,40,0
IntINT,1,5379,44,0
IntINT,1,5108,37,0
IntINT,1,6000,42,0
IntINT,1,5433,35,0
IntINT,1,6217,45,0
IntINT,1,5189,38,0
IntINT,1,5757,44,0
IntINT,1,5946,40,0
IntINT,1,6081,47,0
IntINT,1,5163,35,0
IntINT,1,5892,51,0
IntINT,1,6567,60,0
IntINT,1,8729,58,0
IntINT,1,6919,45,0
IntINT,1,5541,43,0
IntINT,1,4432,37,0
IntINT,1,5405,39,0
IntINT,1,6594,46,0
IntINT,1,5838,39,0
IntINT,1,5324,41,0
IntINT,1,5838,51,0
IntINT,1,5190,42,0
IntINT,1,5811,43,0
IntINT,1,6379,46,0
IntINT,1,4973,35,0
IntINT,1,5595,43,0
IntINT,1,5784,40,0
IntINT,1,5702,45,0
IntINT,1,5513,40,0
IntINT,1,5676,44,0
IntINT,1,5352,39,0
IntINT,1,5433,43,0
IntINT,1,5568,41,0
IntINT,1,5433,43,0
IntINT,1,5243,38,0
IntINT,1,5486,43,0
IntINT,1,5459,45,0
IntINT,1,5946,54,0
IntINT,1,8108,53,0
IntINT,1,6487,50,0
IntINT,1,5595,46,0
IntINT,1,6892,61,0
IntINT,1,6297,47,0
IntINT,1,12000,49,0
IntINT,1,6135,52,0
IntINT,1,6081,47,0
IntINT,1,5324,44,0
IntINT,1,5972,51,0
IntINT,1,6000,46,0
IntINT,1,5405,44,0
IntINT,1,5513,44,0
IntINT,1,5378,46,0
IntINT,1,5540,46,0
IntINT,1,5784,46,0
IntINT,1,5378,45,0
