Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4050135,1102,9
PART,1,4088621,1355,16
PART,2,3734811,3048,19
PART,3,3663594,219,4
PART,4,6472675,1284,29
PART,5,4641432,2086,19
PART,6,3986810,1167,8
PART,7,4926568,166,5
PART,8,4330432,9915,31
PART,9,6509865,7009,11
PART,0,4036109,815,9
PART,1,4064081,1059,16
PART,2,3615324,495,19
PART,3,3661838,109,4
PART,4,6476352,1225,29
PART,5,4595540,1593,19
PART,6,3935649,4536,8
PART,7,4925108,137,5
PART,8,4329027,9884,31
PART,9,6462460,1102,11
PART,0,4029621,708,9
PART,1,4043541,724,16
PART,2,3616460,500,19
PART,3,3664676,118,4
PART,4,6461838,1075,29
PART,5,4575135,1382,19
PART,6,3933568,4585,8
PART,7,4925081,132,5
PART,8,4329054,9882,31
PART,9,6461405,1027,11
PART,0,4023243,560,9
PART,1,4045189,743,16
PART,2,3615540,487,19
PART,3,3664648,115,4
PART,4,6459271,1046,29
PART,5,4572297,1334,19
PART,6,3933054,4674,8
PART,7,4924811,128,5
PART,8,4329108,9878,31
PART,9,6460703,900,11
PART,0,4021081,546,9
PART,1,4048081,733,16
PART,2,3613676,448,19
PART,3,3662514,118,5
PART,4,6458919,1038,29
PART,5,4572892,1340,19
PART,6,3932919,4671,8
PART,7,4925027,113,5
PART,8,4329324,9881,31
PART,9,6460513,926,11
PART,0,4022406,535,9
PART,1,4043216,710,16
PART,2,3615325,473,19
PART,3,3662811,117,5
PART,4,6459082,1042,29
PART,5,4567676,1289,19
PART,6,3932298,4678,8
PART,7,4924756,131,5
PART,8,4329486,9878,31
PART,9,6460730,929,11
PART,0,4021054,545,9
PART,1,4044568,729,16
PART,2,3614567,461,19
PART,3,3662513,113,5
PART,4,6458189,1034,29
PART,5,4571270,1318,19
PART,6,3932703,4658,8
PART,7,4925081,134,5
PART,8,4329108,9873,31
PART,9,6460540,943,11
PART,0,4019081,515,9
PART,1,4040892,718,16
PART,2,3663243,441,19
PART,3,3664811,116,4
PART,4,6459460,1043,29
PART,5,4568838,1310,19
PART,6,3932649,4662,8
PART,7,4924919,113,5
PART,8,4329459,9880,31
PART,9,6460162,891,11
PART,0,4047352,833,9
PART,1,4087135,955,16
PART,2,3629838,705,19
PART,3,3663567,147,5
PART,4,6485054,1301,29
PART,5,4596378,1596,19
PART,6,3942892,4987,8
PART,7,4927648,195,5
PART,8,4338622,9998,31
PART,9,6482325,1984,11
PART,0,4036270,756,9
PART,1,4075594,910,16
PART,2,3620595,554,19
PART,3,3665054,123,4
PART,4,6481297,1273,29
PART,5,4593730,1529,19
PART,6,3944460,4961,8
PART,7,4929135,175,5
PART,8,4339459,9964,31
PART,9,6473513,1078,11
PART,0,4039919,789,9
PART,1,4078351,832,17
PART,2,3619919,498,19
PART,3,3663028,124,5
PART,4,6478784,1204,29
PART,5,4587108,1463,19
PART,6,3942838,4935,8
PART,7,4926567,171,5
PART,8,4335136,9966,31
PART,9,6480676,980,11
PART,0,4038865,761,9
PART,1,4068378,814,16
PART,2,3621865,535,19
PART,3,3662811,127,5
PART,4,6471621,1154,29
PART,5,4584271,1430,19
PART,6,3945352,4952,8
PART,7,4927379,165,5
PART,8,4333865,9940,31
PART,9,6471162,1076,11
PART,0,4030514,654,9
PART,1,4076891,796,16
PART,2,3619757,511,19
PART,3,3664973,128,5
PART,4,6475730,1187,29
PART,5,4586324,1476,19
PART,6,3942567,4902,8
PART,7,4928108,163,5
PART,8,4337378,9982,31
PART,9,6475352,988,11
PART,0,4026351,636,9
PART,1,4076540,779,16
PART,2,3615432,458,19
PART,3,3662432,115,5
PART,4,6475162,1163,29
PART,5,4590648,1502,19
PART,6,3948243,4922,8
PART,7,4926648,174,5
PART,8,4336109,9972,31
PART,9,6470459,941,11
PART,0,4025649,622,9
PART,1,4072838,822,16
PART,2,3620244,518,19
PART,3,3662405,116,4
PART,4,6476946,1165,29
PART,5,4578892,1391,19
PART,6,3951838,4945,8
PART,7,4926459,160,5
PART,8,4336081,9956,31
PART,9,6472487,1008,11
PART,0,4029541,642,9
PART,1,4091216,883,16
PART,2,3621919,513,19
PART,3,3662513,123,4
PART,4,6469784,1131,29
PART,5,4576784,1374,19
PART,6,3953189,4940,8
PART,7,4926486,161,5
PART,8,4337730,9947,31
PART,9,6472730,1074,11
PART,0,4033054,725,9
PART,1,4072595,976,16
PART,2,3624892,624,19
PART,3,3662757,132,4
PART,4,6477946,1215,29
