Type,Id,ExecTime,l2Miss,tlbMiss
SC,1,9703,107,1
SC,1,2513,15,0
SC,1,5567,56,0
SC,1,2162,18,0
SC,1,2216,15,0
SC,1,5081,51,0
SC,1,1892,15,0
SC,1,2217,18,0
SC,1,1919,15,0
SC,1,1919,15,0
SC,1,2379,17,0
SC,1,1919,15,0
SC,1,1946,15,0
SC,1,2243,18,0
SC,1,1892,15,0
SC,1,1919,15,0
SC,1,2216,17,0
SC,1,5270,62,0
SC,1,1919,16,0
SC,1,2351,17,0
SC,1,1919,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1919,15,0
SC,1,1919,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1891,15,0
SC,1,1946,16,0
SC,1,1946,15,0
SC,1,1946,15,0
SC,1,1973,15,0
SC,1,1919,15,0
SC,1,1919,16,0
SC,1,1892,15,0
SC,1,8487,64,0
SC,1,3000,24,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1919,15,0
SC,1,1919,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1919,15,0
SC,1,1892,16,0
SC,1,1891,15,0
SC,1,1919,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1919,16,0
SC,1,1919,15,0
SC,1,1919,15,0
SC,1,1946,15,0
SC,1,1919,15,0
SC,1,1919,15,0
SC,1,4027,44,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1891,15,0
SC,1,1892,15,0
SC,1,1892,16,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1865,15,0
SC,1,1919,15,0
SC,1,1891,16,0
SC,1,1865,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,2243,16,0
SC,1,1919,14,0
SC,1,1919,14,0
SC,1,4108,44,0
SC,1,1919,15,0
SC,1,1892,15,0
SC,1,1891,15,0
SC,1,1892,15,0
SC,1,1891,16,0
SC,1,1892,15,0
SC,1,1919,15,0
SC,1,1892,15,0
SC,1,1919,15,0
SC,1,1892,16,0
SC,1,1865,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1919,15,0
SC,1,1891,15,0
SC,1,1919,15,0
SC,1,1919,15,0
SC,1,3919,44,0
SC,1,1919,15,0
SC,1,1946,16,0
SC,1,1892,15,0
SC,1,1919,15,0
SC,1,1892,15,0
SC,1,1919,15,0
SC,1,1919,16,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1919,15,0
SC,1,1891,15,0
SC,1,1919,15,0
SC,1,1864,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1919,16,0
SC,1,4135,44,0
SC,1,1918,15,0
SC,1,1919,15,0
SC,1,1946,15,0
SC,1,1919,16,0
SC,1,1891,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1865,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1919,15,0
SC,1,1892,15,0
SC,1,1919,15,0
SC,1,1892,16,0
SC,1,1891,15,0
SC,1,1892,15,0
SC,1,1919,15,0
SC,1,1892,15,0
SC,1,4136,45,0
SC,1,1919,15,0
SC,1,1918,15,0
SC,1,1919,15,0
SC,1,1945,15,0
SC,1,1919,15,0
SC,1,1891,15,0
SC,1,1919,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1919,15,0
SC,1,1892,16,0
SC,1,1919,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1919,16,0
SC,1,1919,15,0
SC,1,1892,15,0
SC,1,4081,44,0
SC,1,1919,15,0
SC,1,1919,15,0
SC,1,2027,14,0
SC,1,1892,14,0
SC,1,1919,14,0
SC,1,1919,15,0
SC,1,1892,15,0
SC,1,1919,15,0
SC,1,1892,15,0
SC,1,1891,15,0
SC,1,1892,16,0
SC,1,1892,15,0
SC,1,1919,15,0
SC,1,1919,15,0
SC,1,1919,15,0
SC,1,1892,16,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,4324,45,0
SC,1,1891,15,0
SC,1,1892,15,0
SC,1,1918,15,0
SC,1,1892,15,0
SC,1,1919,15,0
SC,1,1919,15,0
SC,1,1919,15,0
SC,1,1946,16,0
SC,1,1892,15,0
SC,1,1919,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1892,16,0
SC,1,1892,15,0
SC,1,1865,15,0
SC,1,1864,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,6162,47,0
SC,1,4270,32,0
SC,1,2189,16,0
SC,1,3081,20,0
SC,1,3405,29,0
SC,1,1919,15,0
SC,1,3406,26,0
SC,1,2000,15,0
SC,1,4297,39,0
SC,1,2027,16,0
SC,1,3325,27,0
SC,1,1919,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1892,15,0
SC,1,1919,15,0
SC,1,1864,15,0
SC,1,1892,15,0
SC,1,5190,56,0
