Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4051216,1110,9
PART,1,4079811,1328,16
PART,2,3734297,3044,19
PART,3,3663243,203,4
PART,4,6471838,1240,29
PART,5,4638649,2063,19
PART,6,3986379,1154,8
PART,7,4926217,162,5
PART,8,4330676,9912,31
PART,9,6511378,6994,11
PART,0,4036837,812,9
PART,1,4074432,1048,16
PART,2,3614676,473,19
PART,3,3661730,106,4
PART,4,6476189,1194,29
PART,5,4589459,1551,19
PART,6,3935027,4721,8
PART,7,4925514,119,5
PART,8,4328946,9882,31
PART,9,6461243,966,11
PART,0,4027216,664,9
PART,1,4051945,733,16
PART,2,3615703,491,19
PART,3,3662460,114,4
PART,4,6459027,1037,29
PART,5,4567054,1276,19
PART,6,3932811,4674,8
PART,7,4925216,136,5
PART,8,4329216,9881,31
PART,9,6458946,921,11
PART,0,4018864,527,9
PART,1,4045486,751,16
PART,2,3616000,488,19
PART,3,3664703,112,5
PART,4,6455297,1026,29
PART,5,4566108,1291,19
PART,6,3933783,4670,8
PART,7,4925162,135,5
PART,8,4328811,9877,31
PART,9,6458649,856,11
PART,0,4019784,531,9
PART,1,4047811,743,16
PART,2,3613136,438,19
PART,3,3662784,109,4
PART,4,6457621,1026,29
PART,5,4568946,1290,19
PART,6,3932460,4656,8
PART,7,4925298,135,5
PART,8,4329190,9878,31
PART,9,6459081,900,11
PART,0,4019865,530,9
PART,1,4049135,727,16
PART,2,3614513,469,19
PART,3,3662351,110,4
PART,4,6455811,1021,29
PART,5,4565595,1245,19
PART,6,3933378,4658,8
PART,7,4925108,132,5
PART,8,4329135,9871,31
PART,9,6458702,880,11
PART,0,4019919,525,9
PART,1,4046757,743,16
PART,2,3615162,471,19
PART,3,3664730,110,4
PART,4,6453351,999,29
PART,5,4565298,1267,19
PART,6,3932864,4661,8
PART,7,4925189,116,5
PART,8,4328837,9876,31
PART,9,6460081,834,11
PART,0,4020027,518,9
PART,1,4046135,732,17
PART,2,3613324,439,19
PART,3,3664486,106,4
PART,4,6457270,1019,29
PART,5,4567649,1263,19
PART,6,3932433,4657,8
PART,7,4924811,112,5
PART,8,4328946,9876,31
PART,9,6458973,846,11
PART,0,4035189,732,9
PART,1,4070244,899,16
PART,2,3621810,597,19
PART,3,3663540,135,4
PART,4,6468000,1142,29
PART,5,4574162,1334,19
PART,6,3937703,4822,8
PART,7,4926838,161,5
PART,8,4331594,9920,31
PART,9,6467648,1394,11
PART,0,4029919,667,9
PART,1,4064784,832,16
PART,2,3617567,505,19
PART,3,3662513,125,5
PART,4,6466648,1103,29
PART,5,4575325,1374,19
PART,6,3937540,4792,8
PART,7,4926540,164,5
PART,8,4331216,9913,31
PART,9,6464892,967,11
PART,0,4024405,593,9
PART,1,4056513,756,16
PART,2,3614379,465,19
PART,3,3662702,123,4
PART,4,6462190,1084,29
PART,5,4568459,1298,19
PART,6,3938243,4806,8
PART,7,4926486,151,5
PART,8,4332270,9897,31
PART,9,6466270,923,11
PART,0,4019486,567,9
PART,1,4054351,733,16
PART,2,3615162,480,19
PART,3,3664892,117,5
PART,4,6465892,1087,29
PART,5,4567081,1274,19
PART,6,3939730,4798,8
PART,7,4926406,162,5
PART,8,4330513,9898,31
PART,9,6462649,904,11
PART,0,4021459,566,9
PART,1,4051108,746,16
PART,2,3615324,485,19
PART,3,3664135,116,4
PART,4,6460865,1038,29
PART,5,4569621,1301,19
PART,6,3938513,4782,8
PART,7,4926270,162,5
PART,8,4329946,9897,31
PART,9,6461621,872,11
PART,0,4018189,522,9
PART,1,4055757,761,16
PART,2,3613081,448,19
PART,3,3661918,110,4
PART,4,6464189,1057,29
PART,5,4566703,1290,19
PART,6,3941595,4776,8
PART,7,4926973,163,5
PART,8,4330730,9909,31
PART,9,6460973,857,11
PART,0,4019162,536,9
PART,1,4059243,762,16
PART,2,3616163,489,19
PART,3,3664432,114,4
PART,4,6459973,1077,29
PART,5,4565162,1281,19
PART,6,3947703,4807,8
PART,7,4926298,164,5
PART,8,4331568,9911,31
PART,9,6464216,820,11
PART,0,4017270,508,9
PART,1,4054730,777,16
PART,2,3616162,483,19
PART,3,3663324,114,4
PART,4,6460000,1051,29
PART,5,4560324,1234,19
PART,6,3947865,4799,8
PART,7,4926351,160,5
PART,8,4332054,9904,31
PART,9,6464946,903,11
PART,0,4033217,719,9
PART,1,4066082,856,16
PART,2,3618487,563,19
PART,3,3664973,123,4
PART,4,6469622,1181,29
PART,5,4573649,1392,19
PART,6,3951541,4855,8
PART,7,4927297,184,5
PART,8,4333189,9951,31
PART,9,6469973,1340,11
PART,0,4025648,598,9
PART,1,4065459,697,16
PART,2,3614649,475,19
PART,3,3661757,121,5
PART,4,6465270,1108,29
PART,5,4565216,1303,19
PART,6,3953487,4820,8
PART,7,4928757,171,5
PART,8,4333405,9917,31
PART,9,6463081,904,11
PART,0,4019162,520,9
PART,1,4049027,606,16
PART,2,3615757,476,19
PART,3,3664379,111,4
PART,4,6458270,1062,29
PART,5,4563270,1249,19
PART,6,3952973,4817,8
PART,7,4926622,160,5
PART,8,4332946,9918,31
PART,9,6464243,877,11
PART,0,4019865,525,9
PART,1,4045703,639,16
PART,2,3614621,473,19
