Type,Id,ExecTime,l2Miss,tlbMiss
IntINT,1,4865,62,0
IntINT,1,3324,20,0
IntINT,1,2217,16,0
IntINT,1,3108,20,0
IntINT,1,2108,15,0
IntINT,1,2108,15,0
IntINT,1,2135,15,0
IntINT,1,2892,18,0
IntINT,1,2136,15,0
IntINT,1,2108,16,0
IntINT,1,2730,17,0
IntINT,1,2054,15,0
IntINT,1,6351,67,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2108,15,0
IntINT,1,2891,17,0
IntINT,1,2108,16,0
IntINT,1,2081,15,0
IntINT,1,3054,17,0
IntINT,1,2108,15,0
IntINT,1,2108,15,0
IntINT,1,2081,15,0
IntINT,1,2135,15,0
IntINT,1,2054,15,0
IntINT,1,2108,16,0
IntINT,1,2108,15,0
IntINT,1,2135,15,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2109,15,0
IntINT,1,5703,59,0
IntINT,1,2109,15,0
IntINT,1,2135,16,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,3405,19,0
IntINT,1,2081,12,0
IntINT,1,2081,15,0
IntINT,1,2135,15,0
IntINT,1,2054,16,0
IntINT,1,2082,15,0
IntINT,1,2081,15,0
IntINT,1,2081,16,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2108,15,0
IntINT,1,2108,15,0
IntINT,1,2081,16,0
IntINT,1,2108,15,0
IntINT,1,2081,15,0
IntINT,1,5784,62,0
IntINT,1,2081,15,0
IntINT,1,2108,15,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2108,16,0
IntINT,1,2108,15,0
IntINT,1,2081,15,0
IntINT,1,2054,16,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2108,15,0
IntINT,1,2081,16,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2109,16,0
IntINT,1,2081,15,0
IntINT,1,2135,15,0
IntINT,1,5811,61,0
IntINT,1,2108,15,0
IntINT,1,2082,16,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2081,16,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,2973,17,0
IntINT,1,2054,13,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2081,16,0
IntINT,1,2082,15,0
IntINT,1,2081,15,0
IntINT,1,2108,15,0
IntINT,1,2135,15,0
IntINT,1,5919,61,0
IntINT,1,2108,15,0
IntINT,1,2054,15,0
IntINT,1,2054,16,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2081,17,0
IntINT,1,2081,15,0
IntINT,1,2108,15,0
IntINT,1,2135,15,0
IntINT,1,2135,16,0
IntINT,1,2108,15,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,6054,62,0
IntINT,1,2162,15,0
IntINT,1,2108,15,0
IntINT,1,2027,15,0
IntINT,1,2054,15,0
IntINT,1,2027,15,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2081,16,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2162,14,0
IntINT,1,2081,12,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,2082,16,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2054,16,0
IntINT,1,2054,15,0
IntINT,1,6135,60,0
IntINT,1,2108,15,0
IntINT,1,2135,15,0
IntINT,1,2108,16,0
IntINT,1,2027,15,0
IntINT,1,2081,15,0
IntINT,1,2054,16,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2081,16,0
IntINT,1,2108,15,0
IntINT,1,2135,15,0
IntINT,1,2027,16,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,2055,15,0
IntINT,1,2081,15,0
IntINT,1,6189,62,0
IntINT,1,2109,15,0
IntINT,1,2081,15,0
IntINT,1,2108,16,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2027,15,0
IntINT,1,2054,16,0
IntINT,1,2055,15,0
IntINT,1,2054,15,0
IntINT,1,2054,16,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,2675,15,0
IntINT,1,2054,13,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,6027,61,0
IntINT,1,2081,16,0
IntINT,1,2108,15,0
IntINT,1,2081,15,0
IntINT,1,2108,15,0
IntINT,1,2109,15,0
IntINT,1,2081,15,0
IntINT,1,2108,15,0
IntINT,1,2054,15,0
IntINT,1,2054,16,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2081,16,0
IntINT,1,2081,15,0
IntINT,1,7189,70,0
IntINT,1,6000,48,0
IntINT,1,2459,16,0
IntINT,1,4675,35,0
IntINT,1,2027,15,0
IntINT,1,2190,17,0
IntINT,1,4784,34,0
IntINT,1,2541,18,0
IntINT,1,5433,43,0
IntINT,1,2109,15,0
IntINT,1,3433,30,0
IntINT,1,2027,16,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,2054,16,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2892,17,0
IntINT,1,2054,13,0
IntINT,1,2081,15,0
IntINT,1,6568,66,0
IntINT,1,4837,41,0
IntINT,1,5622,40,0
IntINT,1,4865,41,0
IntINT,1,2028,15,0
IntINT,1,2027,15,0
IntINT,1,5378,15,0
IntINT,1,3919,29,0
IntINT,1,2514,18,0
IntINT,1,4271,30,0
IntINT,1,2054,15,0
IntINT,1,2081,16,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,2108,15,0
IntINT,1,2081,15,0
IntINT,1,5919,62,0
IntINT,1,2703,18,0
IntINT,1,3108,23,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,5837,57,0
IntINT,1,2162,16,0
IntINT,1,4108,31,0
IntINT,1,2109,15,0
IntINT,1,2054,15,0
IntINT,1,2027,15,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2054,16,0
IntINT,1,2081,15,0
IntINT,1,2027,15,0
IntINT,1,6865,62,0
IntINT,1,2081,12,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2054,16,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,6054,60,0
IntINT,1,2162,15,0
IntINT,1,3675,29,0
IntINT,1,2351,17,0
IntINT,1,2054,15,0
IntINT,1,2081,16,0
IntINT,1,2027,15,0
IntINT,1,2054,15,0
IntINT,1,2054,16,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,6594,58,0
IntINT,1,4757,38,0
IntINT,1,4324,33,0
IntINT,1,4324,32,0
IntINT,1,2676,18,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2433,17,0
IntINT,1,2027,15,0
IntINT,1,2054,16,0
IntINT,1,2054,15,0
IntINT,1,4135,32,0
IntINT,1,4027,30,0
IntINT,1,5190,39,0
IntINT,1,2162,15,0
IntINT,1,3027,27,0
IntINT,1,2081,15,0
IntINT,1,2054,16,0
IntINT,1,2054,15,0
IntINT,1,6217,57,0
IntINT,1,5811,45,0
IntINT,1,5135,39,0
IntINT,1,4460,32,0
IntINT,1,2919,15,0
IntINT,1,2054,13,0
IntINT,1,2541,18,0
IntINT,1,2054,15,0
IntINT,1,2459,18,0
IntINT,1,5946,49,0
IntINT,1,2270,17,0
IntINT,1,3568,28,0
IntINT,1,2081,15,0
IntINT,1,2108,15,0
IntINT,1,2108,15,0
IntINT,1,2054,15,0
IntINT,1,2027,15,0
IntINT,1,2054,15,0
IntINT,1,2054,16,0
IntINT,1,2054,15,0
IntINT,1,7162,54,0
IntINT,1,4757,33,0
IntINT,1,4378,21,0
IntINT,1,4054,21,0
IntINT,1,3892,19,0
IntINT,1,3810,20,0
IntINT,1,3946,21,0
IntINT,1,5379,43,0
IntINT,1,2136,15,0
IntINT,1,3432,28,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2352,17,0
IntINT,1,2027,15,0
IntINT,1,2108,16,0
IntINT,1,2109,15,0
IntINT,1,2108,15,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,5378,53,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2379,18,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,3514,19,0
IntINT,1,2054,12,0
IntINT,1,2054,15,0
IntINT,1,6081,58,0
IntINT,1,2162,16,0
IntINT,1,3649,28,0
IntINT,1,2054,15,0
IntINT,1,2784,18,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2054,16,0
IntINT,1,5838,54,0
IntINT,1,4783,33,0
IntINT,1,4703,37,0
IntINT,1,3352,20,0
IntINT,1,2324,17,0
IntINT,1,3162,20,0
IntINT,1,2054,15,0
IntINT,1,2946,21,0
IntINT,1,5676,44,0
IntINT,1,2216,15,0
IntINT,1,4027,30,0
IntINT,1,2055,15,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2352,17,0
IntINT,1,2081,16,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2054,16,0
IntINT,1,12351,53,0
IntINT,1,4729,32,0
IntINT,1,2784,15,0
IntINT,1,2081,15,0
IntINT,1,4649,33,0
IntINT,1,2487,17,0
IntINT,1,2054,15,0
IntINT,1,4702,33,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,3054,17,0
IntINT,1,2054,13,0
IntINT,1,2054,15,0
IntINT,1,6324,54,0
IntINT,1,2162,15,0
IntINT,1,3783,31,0
IntINT,1,2027,16,0
IntINT,1,2027,15,0
IntINT,1,2081,15,0
IntINT,1,5892,53,0
IntINT,1,3460,28,0
IntINT,1,2217,16,0
IntINT,1,2054,15,0
IntINT,1,4189,32,0
IntINT,1,2595,18,0
IntINT,1,4594,33,0
IntINT,1,2783,18,0
IntINT,1,5189,38,0
IntINT,1,2297,16,0
IntINT,1,3054,27,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2109,16,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2379,17,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,6432,61,0
IntINT,1,5432,41,0
IntINT,1,20730,45,0
IntINT,1,4676,32,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,9594,16,0
IntINT,1,4838,34,0
IntINT,1,2135,15,0
IntINT,1,4703,34,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
