Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4052081,1128,9
PART,1,4086324,1378,16
PART,2,3735649,3051,19
PART,3,3666405,192,4
PART,4,6468918,1246,29
PART,5,4640081,2066,19
PART,6,3986784,1160,8
PART,7,4926297,157,5
PART,8,4330595,9913,31
PART,9,6510135,7001,11
PART,0,4038108,855,9
PART,1,4068324,1039,16
PART,2,3614189,461,19
PART,3,3661325,104,4
PART,4,6475027,1214,29
PART,5,4587189,1508,19
PART,6,3936541,4645,8
PART,7,4924865,147,5
PART,8,4328865,9888,31
PART,9,6462351,1135,11
PART,0,4029054,672,9
PART,1,4052946,741,16
PART,2,3665000,486,19
PART,3,3662352,116,5
PART,4,6460108,1068,29
PART,5,4566946,1294,19
PART,6,3933162,4615,8
PART,7,4924838,118,5
PART,8,4328892,9881,31
PART,9,6460865,968,11
PART,0,4023540,548,9
PART,1,4045270,751,16
PART,2,3615405,479,19
PART,3,3662325,112,4
PART,4,6458595,1032,29
PART,5,4564838,1271,19
PART,6,3933108,4596,8
PART,7,4924865,113,5
PART,8,4329081,9876,31
PART,9,6459406,957,11
PART,0,4023163,573,9
PART,1,4055243,750,16
PART,2,3613000,436,19
PART,3,3662568,116,4
PART,4,6459378,1040,29
PART,5,4564703,1284,19
PART,6,3932324,4581,8
PART,7,4925054,115,5
PART,8,4328891,9879,31
PART,9,6459811,964,11
PART,0,4022892,545,9
PART,1,4047406,722,16
PART,2,3614594,458,19
PART,3,3662567,114,5
PART,4,6458892,1042,29
PART,5,4562567,1236,19
PART,6,3933568,4578,8
PART,7,4925108,132,5
PART,8,4328783,9877,31
PART,9,6459405,927,11
PART,0,4024000,554,9
PART,1,4048460,739,16
PART,2,3614919,458,19
PART,3,3662757,117,5
PART,4,6458513,1025,29
PART,5,4564892,1268,19
PART,6,3932973,4582,8
PART,7,4925243,133,5
PART,8,4328892,9872,31
PART,9,6458189,779,11
PART,0,4019730,532,9
PART,1,4046216,735,16
PART,2,3612216,424,19
PART,3,3662379,115,4
PART,4,6458838,1035,29
PART,5,4565270,1263,19
PART,6,3932676,4596,8
PART,7,4925027,132,5
PART,8,4329486,9881,31
PART,9,6458730,829,11
PART,0,4035162,734,9
PART,1,4061216,867,16
PART,2,3618784,554,19
PART,3,3663379,128,5
PART,4,6472000,1199,29
PART,5,4572405,1386,19
