Type,Id,ExecTime,l2Miss,tlbMiss
IPI,1,8432,103,0
IPI,1,3027,24,0
IPI,1,6541,73,0
IPI,1,2487,21,0
IPI,1,2108,16,0
IPI,1,2108,16,0
IPI,1,2108,16,0
IPI,1,2919,19,0
IPI,1,2082,16,0
IPI,1,2108,17,0
IPI,1,2702,18,0
IPI,1,2108,16,0
IPI,1,2108,16,0
IPI,1,2865,18,0
IPI,1,2054,16,0
IPI,1,6541,68,0
IPI,1,2108,16,0
IPI,1,2108,17,0
IPI,1,2081,16,0
IPI,1,2729,18,0
IPI,1,2081,16,0
IPI,1,2081,16,0
IPI,1,2081,16,0
IPI,1,2081,16,0
IPI,1,2082,16,0
IPI,1,2081,17,0
IPI,1,2108,16,0
IPI,1,2136,16,0
IPI,1,2054,16,0
IPI,1,2081,16,0
IPI,1,2054,16,0
IPI,1,2108,16,0
IPI,1,2054,16,0
IPI,1,2054,17,0
IPI,1,4757,57,0
IPI,1,2108,16,0
IPI,1,3243,20,0
IPI,1,2081,13,0
IPI,1,2054,16,0
IPI,1,2081,16,0
IPI,1,2054,17,0
IPI,1,2081,16,0
IPI,1,2081,16,0
IPI,1,2054,17,0
IPI,1,2054,16,0
IPI,1,2081,16,0
IPI,1,2109,16,0
IPI,1,2081,16,0
IPI,1,2108,17,0
IPI,1,2055,16,0
IPI,1,2081,16,0
IPI,1,2054,17,0
IPI,1,2054,16,0
IPI,1,2054,16,0
IPI,1,5000,57,0
IPI,1,2054,16,0
IPI,1,2081,17,0
IPI,1,2108,16,0
IPI,1,2081,16,0
IPI,1,2054,17,0
IPI,1,2081,16,0
IPI,1,2081,16,0
IPI,1,2081,16,0
IPI,1,2054,16,0
IPI,1,2081,17,0
IPI,1,2054,16,0
IPI,1,2081,16,0
IPI,1,2081,17,0
IPI,1,2108,16,0
IPI,1,2081,16,0
IPI,1,2054,16,0
IPI,1,2054,16,0
IPI,1,2054,17,0
IPI,1,4837,56,0
IPI,1,2081,16,0
IPI,1,2081,17,0
