Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4051946,1120,9
PART,1,4095486,1445,16
PART,2,3734216,3046,19
PART,3,3663298,211,4
PART,4,6470108,1265,29
PART,5,4640946,2104,19
PART,6,3986703,1169,8
PART,7,4926459,166,5
PART,8,4330162,9911,31
PART,9,6513108,7011,11
PART,0,4039595,899,9
PART,1,4072351,1049,16
PART,2,3616108,508,19
PART,3,3662676,121,5
PART,4,6474406,1208,29
PART,5,4595432,1628,19
PART,6,3935649,4648,8
PART,7,4925459,144,5
PART,8,4329135,9878,31
PART,9,6460811,1156,11
PART,0,4027487,659,9
PART,1,4054297,726,16
PART,2,3616216,496,19
PART,3,3662351,115,4
PART,4,6460729,1071,29
PART,5,4568568,1320,19
PART,6,3933892,4681,8
PART,7,4925081,120,5
PART,8,4328703,9877,31
PART,9,6461135,1042,11
PART,0,4020054,523,9
PART,1,4045135,723,16
PART,2,3615811,496,19
PART,3,3664919,109,5
PART,4,6459487,1059,29
PART,5,4572027,1331,19
PART,6,3934595,4677,8
PART,7,4925217,132,5
PART,8,4329270,9877,31
PART,9,6459595,1005,11
PART,0,4020513,523,9
PART,1,4051540,712,16
PART,2,3663838,456,19
PART,3,3662351,110,4
PART,4,6460082,1058,29
PART,5,4572622,1326,19
PART,6,3932973,4675,8
PART,7,4925189,134,5
PART,8,4329189,9878,31
PART,9,6459459,1002,11
PART,0,4020378,512,9
PART,1,4046027,707,16
PART,2,3615838,486,19
PART,3,3662217,112,4
PART,4,6458622,1052,29
PART,5,4567919,1293,19
PART,6,3933702,4653,8
PART,7,4925027,132,5
PART,8,4328919,9878,31
PART,9,6459432,933,11
PART,0,4019837,517,9
PART,1,4042325,717,16
PART,2,3615298,486,19
PART,3,3662406,116,5
PART,4,6456756,1047,29
PART,5,4570541,1326,19
PART,6,3933757,4673,8
PART,7,4925351,133,5
PART,8,4328973,9883,31
PART,9,6459297,975,11
PART,0,4017432,498,9
PART,1,4047054,708,16
PART,2,3614054,461,19
PART,3,3664865,115,4
PART,4,6459703,1053,29
PART,5,4569351,1314,19
PART,6,3932135,4653,8
PART,7,4925433,117,5
PART,8,4328757,9879,31
PART,9,6459406,951,11
PART,0,4032541,672,9
PART,1,4043216,843,16
PART,2,3620352,589,19
PART,3,3665000,129,4
PART,4,6467460,1157,29
PART,5,4577865,1409,19
PART,6,3938405,4895,8
PART,7,4927189,187,5
PART,8,4333027,9942,31
PART,9,6466054,1511,11
PART,0,4026379,623,9
PART,1,4068514,815,16
PART,2,3618595,530,19
PART,3,3662541,122,5
PART,4,6464378,1124,29
PART,5,4574189,1391,19
PART,6,3939595,4899,8
PART,7,4926460,166,5
PART,8,4331324,9918,31
PART,9,6464946,1113,11
PART,0,4020946,549,9
PART,1,4063297,759,16
PART,2,3666730,494,19
PART,3,3662351,119,4
PART,4,6463027,1110,29
PART,5,4571757,1348,19
PART,6,3938919,4900,8
PART,7,4926162,159,5
PART,8,4331297,9914,31
PART,9,6463622,997,11
PART,0,4025109,583,9
PART,1,4055081,741,16
PART,2,3615298,492,19
PART,3,3662378,119,4
PART,4,6465594,1099,29
PART,5,4572703,1340,19
PART,6,3939540,4885,8
PART,7,4926649,163,5
PART,8,4332487,9902,31
PART,9,6462351,968,11
PART,0,4019162,533,9
PART,1,4052892,745,16
PART,2,3617838,504,19
PART,3,3664811,121,4
PART,4,6460487,1070,29
PART,5,4571243,1333,19
PART,6,3938864,4863,8
PART,7,4926027,153,5
PART,8,4331514,9915,31
PART,9,6461622,953,11
PART,0,4017297,522,9
PART,1,4060216,774,16
PART,2,3615190,478,19
PART,3,3662325,111,5
PART,4,6462270,1078,29
PART,5,4571865,1336,19
PART,6,3943162,4881,8
PART,7,4926000,154,5
PART,8,4332513,9912,31
PART,9,6461216,920,11
PART,0,4016703,500,9
PART,1,4054568,701,16
PART,2,3615703,484,19
PART,3,3662568,112,5
PART,4,6460567,1073,29
PART,5,4567730,1274,19
PART,6,3947027,4881,8
PART,7,4926135,138,5
PART,8,4330919,9910,31
PART,9,6463432,960,11
PART,0,4015162,488,9
PART,1,4051216,712,16
PART,2,3615109,479,19
PART,3,3662433,117,4
PART,4,6458757,1058,29
PART,5,4562486,1256,19
PART,6,3950757,4880,8
PART,7,4925973,150,5
PART,8,4331055,9912,31
PART,9,6461433,980,11
PART,0,4029973,658,9
PART,1,4046054,794,16
PART,2,3618676,555,19
PART,3,3662568,121,5
PART,4,6469108,1161,29
PART,5,4569135,1327,19
PART,6,3952865,4907,8
PART,7,4926648,153,5
PART,8,4331243,9922,31
PART,9,6466513,1336,11
PART,0,4020838,565,9
PART,1,4046811,645,16
PART,2,3617514,505,19
PART,3,3664622,122,4
PART,4,6466298,1102,29
PART,5,4565027,1280,19
PART,6,3950811,4901,8
PART,7,4926486,152,5
PART,8,4330433,9912,31
PART,9,6464514,937,11
PART,0,4019460,521,9
PART,1,4049757,645,16
PART,2,3615216,484,19
PART,3,3662649,118,4
PART,4,6459270,1058,29
PART,5,4568081,1297,19
PART,6,3951000,4863,8
PART,7,4926622,156,5
PART,8,4331514,9921,31
PART,9,6464784,1006,11
PART,0,4016460,484,9
PART,1,4048298,622,16
PART,2,3615081,473,19
PART,3,3662297,117,4
PART,4,6462324,1079,29
PART,5,4562649,1238,19
PART,6,3953054,4912,8
PART,7,4926676,137,5
PART,8,4331757,9912,31
PART,9,6460783,931,11
PART,0,4017676,515,9
PART,1,4056676,613,16
PART,2,3616702,505,19
PART,3,3664729,117,5
PART,4,6461406,1063,29
PART,5,4564838,1271,19
PART,6,3952108,4896,8
PART,7,4925865,138,5
PART,8,4330405,9906,31
PART,9,6461027,891,11
PART,0,4019054,521,9
PART,1,4048054,623,16
PART,2,3669108,490,19
PART,3,3662622,119,5
PART,4,6460811,1062,29
PART,5,4564595,1269,19
PART,6,3951676,4886,8
PART,7,4925433,144,5
PART,8,4331622,9915,31
PART,9,6463324,880,11
PART,0,4017297,502,9
PART,1,4055000,618,17
PART,2,3664459,466,19
PART,3,3662162,119,5
PART,4,6460298,1061,29
PART,5,4562000,1243,19
PART,6,3951324,4884,8
PART,7,4925946,153,5
PART,8,4331675,9920,31
PART,9,6462054,818,11
PART,0,4019595,541,9
PART,1,4042243,611,16
PART,2,3617487,494,19
PART,3,3664270,114,4
PART,4,6459676,1063,29
PART,5,4563216,1254,19
PART,6,3949406,4877,8
PART,7,4925594,151,5
PART,8,4329973,9912,31
PART,9,6463000,988,11
PART,0,4024865,595,9
PART,1,4054622,663,16
PART,2,3618568,555,19
PART,3,3662865,131,4
PART,4,6464298,1117,29
PART,5,4567190,1293,19
PART,6,3952135,4903,8
PART,7,4926297,154,5
PART,8,4331892,9935,31
PART,9,6464406,1284,11
PART,0,4021432,561,9
PART,1,4055865,645,16
PART,2,3617054,492,19
PART,3,3662459,108,4
PART,4,6461757,1096,29
PART,5,4566784,1291,19
PART,6,3952270,4903,8
PART,7,4926730,150,5
PART,8,4331027,9911,31
PART,9,6464487,905,11
PART,0,4020324,542,9
PART,1,4052081,626,16
PART,2,3617406,511,19
PART,3,3664324,113,4
PART,4,6465108,1111,29
PART,5,4565811,1290,19
PART,6,3952270,4890,8
PART,7,4927081,166,5
PART,8,4332324,9915,31
PART,9,6462973,870,11
PART,0,4018811,519,9
PART,1,4043838,588,16
PART,2,3615217,473,19
PART,3,3662567,115,4
PART,4,6462324,1092,29
PART,5,4566514,1258,19
PART,6,3952649,4901,8
PART,7,4926919,170,5
PART,8,4333190,9930,31
PART,9,6462757,964,11
PART,0,4016757,488,9
PART,1,4037216,622,16
PART,2,3614270,462,19
PART,3,3662540,117,5
PART,4,6461135,1078,29
PART,5,4562486,1246,19
PART,6,3951000,4881,8
PART,7,4926513,142,5
PART,8,4331919,9896,31
PART,9,6460811,879,11
PART,0,4019459,531,9
PART,1,4049163,618,16
PART,2,3618379,506,19
PART,3,3662460,123,4
PART,4,6461216,1083,29
PART,5,4562595,1255,19
PART,6,3952108,4898,8
PART,7,4926271,144,5
PART,8,4330406,9902,31
PART,9,6461433,928,11
PART,0,4021297,533,9
PART,1,4050486,627,16
PART,2,3665324,481,19
PART,3,3664567,117,5
PART,4,6458811,1048,29
PART,5,4563459,1251,19
PART,6,3952757,4886,8
PART,7,4925973,150,5
PART,8,4331892,9913,31
PART,9,6463244,928,11
PART,0,4016919,491,9
PART,1,4047811,627,16
PART,2,3614946,471,19
PART,3,3662270,112,5
PART,4,6460379,1064,29
PART,5,4561837,1222,19
PART,6,3951568,4874,8
PART,7,4925919,156,5
PART,8,4331378,9917,31
PART,9,6461432,880,11
PART,0,4023351,567,9
PART,1,4029676,656,16
PART,2,3618946,567,19
PART,3,3662811,129,4
PART,4,6462270,1106,29
PART,5,4568837,1302,19
PART,6,3950594,4880,8
PART,7,4926811,171,5
PART,8,4331946,9934,31
PART,9,6465379,1290,11
PART,0,4020810,556,9
PART,1,4051703,609,16
PART,2,3616351,502,19
PART,3,3665865,133,5
PART,4,6463757,1087,29
PART,5,4562270,1241,19
PART,6,3950811,4888,8
PART,7,4927135,171,5
PART,8,4330783,9912,31
PART,9,6462675,875,11
PART,0,4020865,516,9
PART,1,4054703,616,16
PART,2,3613973,463,19
PART,3,3662135,113,5
PART,4,6459298,1059,29
PART,5,4568243,1272,19
PART,6,3951081,4874,8
PART,7,4926487,156,5
PART,8,4331486,9918,31
PART,9,6460514,879,11
PART,0,4016567,489,9
PART,1,4048135,602,16
PART,2,3614919,469,19
PART,3,3662081,118,4
PART,4,6463162,1063,29
PART,5,4562271,1244,19
PART,6,3951919,4913,8
PART,7,4927702,149,5
PART,8,4331162,9913,31
PART,9,6461703,802,11
PART,0,4018838,528,9
PART,1,4051433,611,16
PART,2,3617378,511,19
PART,3,3664622,120,4
PART,4,6461189,1082,29
PART,5,4564730,1251,19
PART,6,3952270,4911,8
PART,7,4926027,158,5
PART,8,4331189,9919,31
PART,9,6463271,1048,11
PART,0,4021081,529,9
PART,1,4045297,626,16
PART,2,3668054,490,19
PART,3,3662378,116,5
PART,4,6460460,1079,29
PART,5,4563054,1256,19
PART,6,3952486,4920,8
