Type,Id,ExecTime,l2Miss,tlbMiss
ExtINT,1,12865,146,2
ExtINT,2,7919,63,1
ExtINT,3,7946,66,1
ExtINT,4,7378,58,1
ExtINT,5,8405,66,1
ExtINT,6,7433,60,1
ExtINT,7,7514,59,1
ExtINT,8,7595,59,1
ExtINT,9,7540,59,1
ExtINT,0,7595,61,1
ExtINT,1,11189,84,2
ExtINT,2,9460,73,2
ExtINT,3,9784,76,2
ExtINT,4,11054,93,2
ExtINT,5,10838,86,2
ExtINT,6,10027,80,2
ExtINT,7,9729,77,2
ExtINT,8,9703,76,2
ExtINT,9,10216,80,2
ExtINT,0,9729,74,2
ExtINT,1,10216,78,2
ExtINT,2,9784,75,2
ExtINT,3,9540,74,2
ExtINT,4,9946,77,2
ExtINT,5,11135,85,2
ExtINT,6,9919,78,2
ExtINT,7,9811,78,2
ExtINT,8,9675,73,2
ExtINT,9,9595,73,2
ExtINT,0,9676,77,2
ExtINT,1,10216,79,2
ExtINT,2,9459,72,2
ExtINT,3,9757,71,2
ExtINT,4,10027,77,2
ExtINT,5,10864,86,2
ExtINT,6,9784,77,2
ExtINT,7,9703,77,2
ExtINT,8,9811,75,2
ExtINT,9,9703,76,2
ExtINT,0,9703,76,2
ExtINT,1,10244,82,2
ExtINT,2,9784,75,2
ExtINT,3,9757,78,2
ExtINT,4,9891,74,2
ExtINT,5,10649,83,2
ExtINT,6,9595,75,2
ExtINT,7,9730,78,2
ExtINT,8,9594,74,2
ExtINT,9,9595,73,2
ExtINT,0,9649,75,2
ExtINT,1,9865,80,2
ExtINT,2,9919,77,2
ExtINT,3,9621,75,2
ExtINT,4,9595,77,2
ExtINT,5,10460,80,2
ExtINT,6,9622,76,2
ExtINT,7,9811,75,2
ExtINT,8,9622,73,2
ExtINT,9,9811,75,2
ExtINT,0,9810,76,2
ExtINT,1,10541,80,2
ExtINT,2,9864,74,2
ExtINT,3,9730,75,2
ExtINT,4,9649,73,2
ExtINT,5,9703,73,2
ExtINT,6,9757,74,2
ExtINT,7,9973,78,2
ExtINT,8,9757,74,2
ExtINT,9,9838,76,2
ExtINT,0,9648,74,2
ExtINT,1,11162,83,2
ExtINT,2,9649,73,2
ExtINT,3,9865,75,2
ExtINT,4,9649,74,2
ExtINT,5,9784,75,2
ExtINT,6,9459,74,2
ExtINT,7,9595,73,2
ExtINT,8,9865,76,2
ExtINT,9,9757,73,2
ExtINT,0,9541,74,2
ExtINT,1,10946,84,2
ExtINT,2,9703,74,2
ExtINT,3,9621,75,2
ExtINT,4,9784,73,2
ExtINT,5,9459,74,2
ExtINT,6,9567,73,2
ExtINT,7,9757,76,2
ExtINT,8,9676,74,2
ExtINT,9,9567,74,2
ExtINT,0,9946,76,2
ExtINT,1,10324,82,2
ExtINT,2,9513,72,2
ExtINT,3,9378,72,2
ExtINT,4,9459,72,2
ExtINT,5,9783,73,2
ExtINT,6,9540,73,2
ExtINT,7,9567,73,2
ExtINT,8,9730,73,2
ExtINT,9,9919,77,2
ExtINT,0,12568,86,2
ExtINT,1,11460,88,2
ExtINT,2,9567,72,2
ExtINT,3,9405,73,2
ExtINT,4,9460,73,2
ExtINT,5,9459,73,2
ExtINT,6,9540,73,2
ExtINT,7,9865,75,2
ExtINT,8,9513,73,2
ExtINT,9,9514,74,2
ExtINT,0,9594,74,2
