Type,Id,ExecTime,l2Miss,tlbMiss
IPI,1,2892,26,0
IPI,2,2324,20,0
IPI,3,3378,23,0
IPI,4,2351,20,0
IPI,5,3379,26,0
IPI,6,2324,21,0
IPI,7,3189,22,0
IPI,8,3081,20,0
IPI,9,2270,18,0
IPI,0,3270,23,0
IPI,1,2189,18,0
IPI,2,2783,21,0
IPI,3,3352,19,0
IPI,4,2810,20,0
IPI,5,2811,20,0
IPI,6,3379,22,0
IPI,7,2189,17,0
IPI,8,3406,21,0
IPI,9,2865,21,0
IPI,0,2216,17,0
IPI,1,2189,17,0
IPI,2,2729,19,0
IPI,3,2189,18,0
IPI,4,2811,19,0
IPI,5,2702,20,0
IPI,6,2810,19,0
IPI,7,2973,17,0
IPI,8,3243,21,0
IPI,9,2190,17,0
IPI,0,2810,19,0
IPI,1,2811,19,0
IPI,2,2216,17,0
IPI,3,2190,17,0
IPI,4,2784,21,0
IPI,5,2757,19,0
IPI,6,2190,17,0
IPI,7,2919,19,0
IPI,8,2703,19,0
IPI,9,3055,17,0
IPI,0,2189,18,0
IPI,1,2216,17,0
IPI,2,2676,19,0
IPI,3,2838,20,0
IPI,4,2946,21,0
IPI,5,2622,20,0
IPI,6,2352,19,0
IPI,7,2784,19,0
IPI,8,3162,20,0
IPI,9,2784,19,0
IPI,0,2189,18,0
IPI,1,3000,19,0
IPI,2,2892,21,0
IPI,3,2297,19,0
IPI,4,2811,20,0
IPI,5,2784,20,0
IPI,6,2324,18,0
IPI,7,2189,17,0
IPI,8,2783,20,0
IPI,9,3054,20,0
IPI,0,2730,19,0
IPI,1,2189,17,0
IPI,2,2243,17,0
IPI,3,2838,20,0
IPI,4,2243,18,0
IPI,5,2784,19,0
IPI,6,2216,18,0
IPI,7,2730,19,0
IPI,8,2865,19,0
IPI,9,2622,19,0
IPI,0,2243,18,0
IPI,1,2216,17,0
IPI,2,2216,17,0
IPI,3,2730,19,0
IPI,4,2216,17,0
IPI,5,2270,18,0
IPI,6,2189,17,0
IPI,7,2784,20,0
IPI,8,2918,19,0
IPI,9,2865,20,0
IPI,0,2703,19,0
IPI,1,2730,19,0
IPI,2,2892,19,0
IPI,3,2243,17,0
IPI,4,2216,19,0
IPI,5,2675,19,0
IPI,6,2730,19,0
IPI,7,2703,19,0
IPI,8,2757,20,0
