Type,Id,ExecTime,l2Miss,tlbMiss
IntINT,1,6432,77,1
IntINT,2,6135,67,1
IntINT,3,6811,68,1
IntINT,4,7460,68,1
IntINT,5,5541,56,1
IntINT,6,6675,56,1
IntINT,7,5432,72,2
IntINT,8,6135,54,1
IntINT,9,6406,51,1
IntINT,0,6406,95,2
IntINT,1,2703,17,0
IntINT,2,4109,27,0
IntINT,3,3135,20,0
IntINT,4,4216,30,0
IntINT,5,3243,20,0
IntINT,6,3270,20,0
IntINT,7,2594,19,0
IntINT,8,3379,22,0
IntINT,9,3297,20,0
IntINT,0,3135,20,0
IntINT,1,2486,17,0
IntINT,2,3352,20,0
IntINT,3,2379,17,0
IntINT,4,3703,24,0
IntINT,5,3243,21,0
IntINT,6,3216,24,0
IntINT,7,3298,23,0
IntINT,8,3270,22,0
IntINT,9,2973,19,0
IntINT,0,3243,21,0
IntINT,1,3027,20,0
IntINT,2,3000,21,0
IntINT,3,2540,18,0
IntINT,4,3784,22,0
IntINT,5,3351,22,0
IntINT,6,3108,20,0
IntINT,7,3163,22,0
IntINT,8,3108,22,0
IntINT,9,3297,21,0
IntINT,0,3027,19,0
IntINT,1,2730,17,0
IntINT,2,3270,23,0
IntINT,3,3027,19,0
IntINT,4,3648,21,0
IntINT,5,2541,18,0
IntINT,6,2892,20,0
IntINT,7,3244,21,0
IntINT,8,2757,18,0
IntINT,9,3270,20,0
IntINT,0,3108,21,0
IntINT,1,3000,18,0
IntINT,2,3405,20,0
IntINT,3,2379,14,0
IntINT,4,3027,19,0
IntINT,5,3108,20,0
IntINT,6,2838,17,0
IntINT,7,2919,18,0
IntINT,8,3189,20,0
IntINT,9,3162,19,0
IntINT,0,3594,21,0
IntINT,1,2405,16,0
IntINT,2,2378,15,0
IntINT,3,2973,19,0
IntINT,4,2865,19,0
IntINT,5,3000,18,0
IntINT,6,2864,17,0
IntINT,7,2892,19,0
IntINT,8,3081,20,0
IntINT,9,3162,19,0
IntINT,0,3189,20,0
IntINT,1,2406,16,0
IntINT,2,2405,17,0
IntINT,3,2892,18,0
IntINT,4,3297,20,0
IntINT,5,2459,16,0
IntINT,6,3000,19,0
IntINT,7,3216,19,0
IntINT,8,2892,19,0
IntINT,9,3352,20,0
IntINT,0,3460,22,0
IntINT,1,2919,18,0
IntINT,2,2919,20,0
IntINT,3,2325,16,0
IntINT,4,2973,17,0
IntINT,5,3270,19,0
IntINT,6,3081,19,0
IntINT,7,3162,20,0
IntINT,8,3081,20,0
IntINT,9,3027,18,0
IntINT,0,3432,21,0
IntINT,1,5189,63,2
IntINT,2,5568,46,1
IntINT,3,5325,61,2
IntINT,4,4919,62,2
IntINT,5,5243,43,1
IntINT,6,5217,63,2
IntINT,7,5054,63,2
IntINT,8,5756,40,1
IntINT,9,6027,64,2
IntINT,0,16460,98,2
IntINT,1,5243,69,2
IntINT,2,5757,54,1
IntINT,3,5298,63,2
IntINT,4,5054,73,2
IntINT,5,5541,51,1
IntINT,6,4946,65,2
IntINT,7,5621,64,2
IntINT,8,5460,51,1
IntINT,9,5027,60,2
IntINT,0,5054,62,2
IntINT,1,3514,21,0
IntINT,2,2811,17,0
IntINT,3,3081,19,0
IntINT,4,3406,21,0
IntINT,5,3324,22,0
IntINT,6,3351,21,0
IntINT,7,3270,19,0
IntINT,8,3459,20,0
IntINT,9,3189,19,0
IntINT,0,3324,20,0
IntINT,1,2811,17,0
IntINT,2,3297,20,0
IntINT,3,2703,18,0
IntINT,4,3379,19,0
IntINT,5,3054,17,0
IntINT,6,2811,20,0
IntINT,7,3027,21,0
IntINT,8,2973,20,0
