Type,Id,ExecTime,l2Miss,tlbMiss
PART,1,4076351,1256,15
PART,2,3733919,3001,18
PART,3,3661297,176,4
PART,4,6465027,1263,28
PART,5,4644082,2054,18
PART,6,3986756,1159,8
PART,7,4919244,143,3
PART,8,4331189,9890,30
PART,9,6507054,6977,10
PART,0,4051027,1117,8
PART,1,4070135,1031,15
PART,2,3617810,517,18
PART,3,3661027,96,4
PART,4,6462459,1161,28
PART,5,4600216,1610,18
PART,6,3934973,4458,8
PART,7,4918027,127,3
PART,8,4329459,9871,30
PART,9,6460595,1138,10
PART,0,4021460,603,8
PART,1,4050406,723,15
PART,2,3618595,521,18
PART,3,3661864,113,4
PART,4,6445541,1012,28
PART,5,4570108,1278,18
PART,6,3932730,4600,8
PART,7,4918324,122,3
PART,8,4329216,9858,30
PART,9,6458162,1057,10
PART,0,4019297,557,8
PART,1,4050892,758,15
PART,2,3618243,520,18
PART,3,3657892,111,4
PART,4,6444000,989,28
PART,5,4574297,1304,18
PART,6,3932757,4586,8
PART,7,4918594,124,3
PART,8,4329217,9863,30
PART,9,6458568,1050,10
PART,0,4018298,562,8
PART,1,4053324,737,15
PART,2,3615649,471,18
PART,3,3662054,110,4
PART,4,6445838,1001,28
PART,5,4574243,1300,18
PART,6,3932703,4591,8
PART,7,4918027,124,3
PART,8,4328972,9861,30
PART,9,6458378,1005,10
PART,0,4018163,549,8
PART,1,4043919,706,15
PART,2,3617676,508,18
PART,3,3662189,109,4
PART,4,6444109,993,28
PART,5,4568676,1246,18
PART,6,3932783,4595,8
PART,7,4918271,120,3
PART,8,4329108,9860,30
PART,9,6459486,954,10
PART,0,4017298,541,8
PART,1,4055163,766,15
PART,2,3617594,507,18
PART,3,3661946,107,4
PART,4,6442540,983,28
PART,5,4572243,1284,18
PART,6,3932027,4697,8
PART,7,4918108,117,3
PART,8,4328946,9860,30
PART,9,6459298,918,10
PART,0,4018352,542,8
PART,1,4053109,745,15
PART,2,3659379,469,18
PART,3,3658162,105,4
PART,4,6444352,993,28
PART,5,4573486,1279,18
PART,6,3932810,4696,8
PART,7,4918000,119,3
PART,8,4328892,9860,30
PART,9,6456892,926,10
PART,0,4020568,549,8
PART,1,4057595,774,15
PART,2,3620567,575,18
PART,3,3657838,113,4
PART,4,6451243,1053,28
PART,5,4571000,1285,18
PART,6,3933378,4791,8
PART,7,4918054,104,3
PART,8,4329189,9863,30
PART,9,6463000,1561,10
PART,0,4026351,649,8
PART,1,4051649,735,15
PART,2,3617568,515,18
PART,3,3657405,109,4
PART,4,6445459,1011,28
PART,5,4570703,1279,18
PART,6,3932595,4789,8
PART,7,4917892,120,3
PART,8,4328541,9863,30
PART,9,6458216,1003,10
PART,0,4020892,579,8
PART,1,4045108,709,15
PART,2,3616298,477,18
PART,3,3657648,110,4
PART,4,6444432,1014,28
PART,5,4570162,1269,18
PART,6,3932324,4791,8
PART,7,4918216,123,3
PART,8,4329163,9864,30
PART,9,6457460,1009,10
PART,0,4019081,554,8
PART,1,4047351,676,15
PART,2,3618243,518,18
PART,3,3661595,107,4
PART,4,6445054,1021,28
PART,5,4565919,1234,18
PART,6,3933378,4790,8
PART,7,4918433,121,3
PART,8,4329406,9863,30
PART,9,6457351,977,10
PART,0,4020486,582,8
PART,1,4049973,704,15
PART,2,3617352,505,18
PART,3,3661784,108,4
PART,4,6443757,1000,28
PART,5,4569460,1259,18
PART,6,3933513,4792,8
PART,7,4918568,121,3
PART,8,4329190,9859,30
PART,9,6456946,947,10
PART,0,4021054,571,8
PART,1,4051541,700,15
PART,2,3614784,460,18
PART,3,3658000,107,4
PART,4,6445108,1008,28
PART,5,4568460,1251,18
PART,6,3937352,4790,8
PART,7,4918027,125,3
PART,8,4328703,9861,30
PART,9,6457298,976,10
PART,0,4019216,562,8
PART,1,4042757,674,15
PART,2,3616324,490,18
PART,3,3661892,108,4
PART,4,6444702,1021,28
PART,5,4567324,1237,18
PART,6,3941595,4788,8
PART,7,4918514,107,3
PART,8,4328703,9856,30
PART,9,6459135,955,10
PART,0,4020081,567,8
PART,1,4052676,696,15
PART,2,3660189,500,18
PART,3,3661730,101,4
PART,4,6443568,1004,28
PART,5,4570433,1257,18
PART,6,3944324,4789,8
PART,7,4918595,124,3
PART,8,4329162,9861,30
PART,9,6456703,918,10
PART,0,4019594,558,8
PART,1,4049730,762,15
PART,2,3619054,543,18
PART,3,3658109,108,4
PART,4,6451000,1055,28
PART,5,4572594,1289,18
PART,6,3946568,4785,8
PART,7,4918028,120,3
PART,8,4329135,9859,30
PART,9,6463081,1630,10
PART,0,4027000,658,8
PART,1,4042297,674,15
PART,2,3616757,496,18
PART,3,3658027,122,4
PART,4,6448514,1036,28
PART,5,4569486,1257,18
PART,6,3945513,4785,8
PART,7,4918379,106,3
PART,8,4329325,9861,30
