Type,Id,ExecTime,l2Miss,tlbMiss
SC,1,5135,41,1
SC,2,5054,40,1
SC,3,5027,38,1
SC,4,4703,37,1
SC,5,5081,37,1
SC,6,5216,38,1
SC,7,3081,22,0
SC,8,4757,37,1
SC,9,4567,34,1
SC,0,2541,19,0
SC,1,5081,38,1
SC,2,5216,36,1
SC,3,5081,36,1
SC,4,4594,33,1
SC,5,5081,36,1
SC,6,5162,37,1
SC,7,2352,18,0
SC,8,4622,33,1
SC,9,5054,36,1
SC,0,2378,16,0
SC,1,5297,39,1
SC,2,4514,33,1
SC,3,4541,33,1
SC,4,4649,34,1
SC,5,4838,36,1
SC,6,5135,35,1
SC,7,2757,20,0
SC,8,4865,36,1
SC,9,4595,33,1
SC,0,2405,15,0
SC,1,5216,38,1
SC,2,4595,33,1
SC,3,4540,34,1
SC,4,4649,33,1
SC,5,4946,36,1
SC,6,5027,33,1
SC,7,2378,17,0
SC,8,5027,36,1
SC,9,4838,33,1
SC,0,2405,16,0
SC,1,5162,38,1
SC,2,4540,34,1
SC,3,4621,33,1
SC,4,5108,36,1
SC,5,5189,37,1
SC,6,4946,35,1
SC,7,2324,18,0
SC,8,4568,33,1
SC,9,4595,34,1
SC,0,2540,16,0
SC,1,4648,33,1
SC,2,4919,36,1
SC,3,4568,33,1
SC,4,4595,33,1
SC,5,4622,33,1
SC,6,4891,35,1
SC,7,2351,17,0
SC,8,4648,33,1
SC,9,4567,33,1
SC,0,2433,16,0
SC,1,4757,36,1
SC,2,4594,33,1
SC,3,4757,34,1
SC,4,4594,34,1
SC,5,4622,33,1
SC,6,4946,35,1
SC,7,2324,17,0
SC,8,4568,33,1
SC,9,4541,33,1
SC,0,2432,16,0
SC,1,4946,35,1
SC,2,4621,33,1
SC,3,4568,33,1
SC,4,4892,32,1
SC,5,4621,33,1
SC,6,5162,35,1
SC,7,2352,17,0
SC,8,4567,33,1
SC,9,4649,33,1
SC,0,2487,16,0
SC,1,4838,35,1
SC,2,4621,33,1
SC,3,4594,34,1
SC,4,4811,36,1
SC,5,4649,33,1
SC,6,4892,35,1
SC,7,2541,17,0
SC,8,4541,33,1
SC,9,4649,34,1
SC,0,2486,16,0
SC,1,4730,35,1
SC,2,4568,33,1
SC,3,4568,33,1
SC,4,4622,34,1
SC,5,4568,34,1
SC,6,4433,31,1
SC,7,2324,16,0
SC,8,4432,31,1
SC,9,4865,33,1
SC,0,5379,25,0
SC,1,4946,36,1
SC,2,4541,34,1
SC,3,4540,33,1
SC,4,4595,34,1
SC,5,4514,30,1
SC,6,4540,33,1
SC,7,2189,13,0
SC,8,4567,34,1
SC,9,4567,34,1
SC,0,2432,18,0
SC,1,5135,38,1
SC,2,4595,33,1
SC,3,4514,33,1
SC,4,4514,32,1
SC,5,4892,33,1
SC,6,4649,34,1
SC,7,2351,16,0
SC,8,4567,34,1
SC,9,4648,33,1
SC,0,2514,16,0
SC,1,4838,35,1
SC,2,4946,36,1
SC,3,4568,32,1
SC,4,4838,33,1
SC,5,4568,33,1
SC,6,4541,33,1
SC,7,2351,16,0
SC,8,4648,33,1
SC,9,4621,34,1
SC,0,2432,16,0
SC,1,4757,35,1
SC,2,4568,33,1
SC,3,4567,34,1
SC,4,4622,33,1
SC,5,4567,33,1
SC,6,4622,33,1
SC,7,2379,16,0
SC,8,4757,35,1
SC,9,4568,33,1
SC,0,2487,16,0
SC,1,4865,35,1
SC,2,4811,34,1
SC,3,4540,34,1
SC,4,4838,33,1
SC,5,4595,34,1
SC,6,5675,41,1
SC,7,2622,20,0
SC,8,4513,33,1
SC,9,4621,33,1
SC,0,2486,19,0
SC,1,4757,35,1
SC,2,4595,33,1
SC,3,4594,34,1
SC,4,4595,34,1
SC,5,5135,37,1
SC,6,5162,38,1
SC,7,2324,17,0
SC,8,4568,33,1
SC,9,4622,34,1
SC,0,2433,17,0
SC,1,4919,35,1
SC,2,4649,33,1
SC,3,4541,33,1
SC,4,4622,33,1
SC,5,4622,33,1
SC,6,5162,38,1
SC,7,2351,17,0
SC,8,4595,33,1
SC,9,4649,33,1
SC,0,2460,17,0
SC,1,4730,36,1
SC,2,4567,33,1
SC,3,4757,33,1
SC,4,4621,33,1
SC,5,4648,33,1
SC,6,5162,38,1
SC,7,2351,17,0
SC,8,4595,34,1
SC,9,4567,33,1
SC,0,2675,17,0
SC,1,4729,35,1
SC,2,4568,33,1
SC,3,4514,33,1
SC,4,4703,34,1
SC,5,4595,33,1
SC,6,5000,36,1
SC,7,2352,17,0
SC,8,4568,33,1
SC,9,4649,33,1
SC,0,2406,18,0
